policy,weight_col,requires_current_no_escape_gt_0,rows,dates,cities,wins,win_rate,cost_usd,pnl_usd,roi,exec_rows,exec_dates,exec_cost_usd,exec_pnl_usd,exec_roi,current_no_rows,capped_d2_rows,avg_weight,target_date,loss_cities
soft_balanced_escape_gt_0,soft_balanced,False,12,1,12,5,0.4166666666666667,24.723242,19.964039,0.8075008552576403,4,1,12.689616,21.938029,1.7288173472121289,10,2,0.4120540311778425,2026-06-12,"Ankara,Atlanta,Houston,Karachi,LA,Manila,SanFrancisco"
soft_balanced_baseline,soft_balanced,False,7,1,7,5,0.7142857142857143,11.079328,4.224373,0.38128422215368335,1,1,2.376912,3.565368,1.5,5,2,0.3165522155810079,2026-06-13,"Helsinki,Karachi"
soft_balanced_escape_gt_0,soft_balanced,False,7,1,7,5,0.7142857142857143,11.079328,4.224373,0.38128422215368335,1,1,2.376912,3.565368,1.5,5,2,0.3165522155810079,2026-06-13,"Helsinki,Karachi"
soft_balanced_baseline,soft_balanced,False,10,1,10,8,0.8,18.4457,34.556689,1.873427892340976,5,1,13.678282,30.711295,2.2452596759463814,8,2,0.3689139973877551,2026-06-14,"Lucknow,Shanghai"
soft_balanced_escape_gt_0,soft_balanced,False,10,1,10,8,0.8,18.4457,34.556689,1.873427892340976,5,1,13.678282,30.711295,2.2452596759463814,8,2,0.3689139973877551,2026-06-14,"Lucknow,Shanghai"
soft_balanced_baseline,soft_balanced,False,12,1,12,7,0.5833333333333334,21.610922,10.926558,0.5056035096382128,4,1,10.130505,13.835436,1.3657203120055257,9,3,0.36018203429846934,2026-06-15,"Lucknow,Munich,NYC,SanFrancisco,TelAviv"
soft_balanced_escape_gt_0,soft_balanced,False,11,1,11,7,0.6363636363636364,19.863932,12.673548,0.6380180923922706,4,1,10.130505,13.835436,1.3657203120055257,8,3,0.36116240105287567,2026-06-15,"Lucknow,Munich,NYC,SanFrancisco"
soft_balanced_baseline,soft_balanced,False,5,1,5,2,0.4,8.793165,0.392611,0.04464958163280941,2,1,5.427113,-0.422472,-0.07784474193379701,3,2,0.35172661718693876,2026-06-16,"Austin,Guangzhou,TelAviv"
soft_balanced_escape_gt_0,soft_balanced,False,5,1,5,2,0.4,8.793165,0.392611,0.04464958163280941,2,1,5.427113,-0.422472,-0.07784474193379701,3,2,0.35172661718693876,2026-06-16,"Austin,Guangzhou,TelAviv"
soft_balanced_baseline,soft_balanced,False,9,1,9,4,0.4444444444444444,12.813503,-6.323752,-0.49352245915689075,1,1,2.399176,-2.399176,-1.0,6,3,0.2847445171212899,2026-06-17,"Beijing,Chengdu,Istanbul,Karachi,Wuhan"
soft_balanced_escape_gt_0,soft_balanced,False,9,1,9,4,0.4444444444444444,12.813503,-6.323752,-0.49352245915689075,1,1,2.399176,-2.399176,-1.0,6,3,0.2847445171212899,2026-06-17,"Beijing,Chengdu,Istanbul,Karachi,Wuhan"
soft_balanced_baseline,soft_balanced,False,5,1,5,3,0.6,6.985726,-1.970247,-0.2820389539316321,1,1,2.796345,-2.796345,-1.0,2,3,0.27942905314285704,2026-06-18,"CapeTown,Manila"
soft_balanced_escape_gt_0,soft_balanced,False,5,1,5,3,0.6,6.985726,-1.970247,-0.2820389539316321,1,1,2.796345,-2.796345,-1.0,2,3,0.27942905314285704,2026-06-18,"CapeTown,Manila"
soft_balanced_baseline,soft_balanced,False,12,1,12,6,0.5,20.84744,7.399941,0.35495681659171313,4,1,11.3747,7.827349,0.6881367376093598,8,4,0.34745733570918363,2026-06-19,"BuenosAires,Busan,Houston,Karachi,Taipei,TelAviv"
soft_balanced_escape_gt_0,soft_balanced,False,11,1,11,6,0.5454545454545454,18.93261,9.314771,0.49199616163896154,3,1,9.45987,9.742179,1.0298428630090182,7,4,0.34422926882560295,2026-06-19,"BuenosAires,Busan,Houston,Karachi,Taipei"
soft_balanced_baseline,soft_balanced,False,8,1,8,4,0.5,13.226093,-2.481069,-0.187588947966733,3,1,7.902927,-2.803918,-0.35479492150216985,5,3,0.33065233495854585,2026-06-20,"Jeddah,Karachi,Manila,Tokyo"
soft_balanced_escape_gt_0,soft_balanced,False,8,1,8,4,0.5,13.226093,-2.481069,-0.187588947966733,3,1,7.902927,-2.803918,-0.35479492150216985,5,3,0.33065233495854585,2026-06-20,"Jeddah,Karachi,Manila,Tokyo"
soft_balanced_baseline,soft_balanced,False,9,1,9,3,0.3333333333333333,13.957599,-2.202549,-0.15780282632233486,2,1,4.780532,4.606207,0.9635343618513323,5,4,0.3101688705346434,2026-06-21,"Beijing,CapeTown,Denver,Jeddah,Singapore,TelAviv"
soft_balanced_escape_gt_0,soft_balanced,False,9,1,9,3,0.3333333333333333,13.957599,-2.202549,-0.15780282632233486,2,1,4.780532,4.606207,0.9635343618513323,5,4,0.3101688705346434,2026-06-21,"Beijing,CapeTown,Denver,Jeddah,Singapore,TelAviv"
soft_balanced_baseline,soft_balanced,False,3,1,3,0,0.0,1.613027,-1.613027,-1.0,0,0,0.0,0.0,,2,1,0.10753511909297052,2026-06-22,"NYC,Shanghai,Tokyo"
soft_balanced_escape_gt_0,soft_balanced,False,3,1,3,0,0.0,1.613027,-1.613027,-1.0,0,0,0.0,0.0,,2,1,0.10753511909297052,2026-06-22,"NYC,Shanghai,Tokyo"
soft_balanced_baseline,soft_balanced,False,6,1,6,3,0.5,9.792666,6.545799,0.6684389113240462,1,1,2.57985,9.70515,3.7619047619047623,5,1,0.3264221999999999,2026-06-23,"Chongqing,Jeddah,Karachi"
soft_balanced_escape_gt_0,soft_balanced,False,6,1,6,3,0.5,9.792666,6.545799,0.6684389113240462,1,1,2.57985,9.70515,3.7619047619047623,5,1,0.3264221999999999,2026-06-23,"Chongqing,Jeddah,Karachi"
