cushion,mode,journal_rows_scanned,settled_fact_matched_rows,fresh_book_replayable_rows_seen_before_dedupe,selected_rows,dates,cities,wins,win_rate,avg_fresh_ask,cost,pnl,roi,active_days,losing_days,max_daily_loss,le_minus_50pct_days_per_share
0.01,per_share,8451,7827,457,21,6,16,2,0.09523809523809523,0.0909047619047619,1.99452745,0.005472549999999944,0.002743782744128161,6,4,-0.3886007,4
0.02,per_share,8451,7827,214,23,6,17,2,0.08695652173913043,0.09756521739130436,2.3436276,-0.34362760000000003,-0.14662209985920974,6,4,-0.5596005,4
0.03,per_share,8451,7827,123,24,6,17,3,0.125,0.10179166666666667,2.5510988500000003,0.4489011499999999,0.1759638400526894,6,4,-0.5699455,3
0.05,per_share,8451,7827,76,25,6,17,4,0.16,0.10576,2.7604450000000003,1.239555,0.4490417305905388,6,3,-0.5699455,2
0.08,per_share,8451,7827,64,26,6,18,4,0.15384615384615385,0.10546153846153847,2.8628768,1.1371232,0.39719599530095046,6,3,-0.5699455,2
