target_date,city,bracket,condition_id,side,execution_policy,fill_rows,cost_usd,pnl_usd,final_yes,first_fill_ts_utc,last_fill_ts_utc
2026-07-02,Chicago,98-99,0xbfbeaba9bdaa3c74d80af1e02d4a8b0d3bbb69d74d181fd8ea94e6b4fae7a2c8,BUY_YES,low_price_yes_lottery_guarded_taker_v1,1,1.5,-1.5,0.0,2026-07-02T06:37:19+00:00,2026-07-02T06:37:19+00:00
2026-07-02,NYC,104-105,0xcfdf756c85f1f1eb9b77f4e404d798f44caf1eceb4694225ae49340681ff98c8,BUY_YES,low_price_yes_lottery_guarded_taker_v1,1,1.4944,-1.4944,0.0,2026-07-02T06:20:14+00:00,2026-07-02T06:20:14+00:00
2026-07-03,Ankara,30,0x248c206ea6293556fb642a77e66a4373788bf6bc0e283f340ee8e2b773b8f508,BUY_YES,low_price_yes_lottery_guarded_taker_v1,1,0.95055,-0.95055,0.0,2026-07-02T23:43:24+00:00,2026-07-02T23:43:24+00:00
2026-07-03,Chicago,94-95,0x5a3602e8dccdd14a679178d988636b8eb4d10a06b62bafabbe4b7c4f144295fd,BUY_YES,low_price_yes_lottery_maker_first_v1,1,0.80004,-0.80004,0.0,2026-07-03T08:21:22+00:00,2026-07-03T08:21:22+00:00
2026-07-03,Dallas,98-99,0x7dba8cd616d3efc37d0a7ccbef9d527c0cc084aa31213699daf4f83d035723a2,BUY_YES,low_price_yes_lottery_maker_first_v1,1,0.7931,-0.7931,0.0,2026-07-03T05:16:59+00:00,2026-07-03T05:16:59+00:00
2026-07-03,Houston,96-97,0xb9b602ec857ac7cac28182bf7a4f6e720e775df11685118e0af038dc2f210bbe,BUY_YES,low_price_yes_lottery_maker_first_v1,1,0.792,8.008000000000001,1.0,2026-07-03T05:08:23+00:00,2026-07-03T05:08:23+00:00
2026-07-03,LA,70-71,0x0f0b4c12c95dc27b62358c0ebe94adff8bc590821922155ab99a1cc60da076a0,BUY_YES,low_price_yes_lottery_maker_first_v1,1,0.7952,-0.7952,0.0,2026-07-03T10:05:38+00:00,2026-07-03T10:05:38+00:00
2026-07-03,London,28,0x0c72f4da72471bd307462ba3869451794939b38abeec24ba93dded5d809057c2,BUY_YES,low_price_yes_lottery_guarded_taker_v1,1,0.75,-0.75,0.0,2026-07-02T23:13:49+00:00,2026-07-02T23:13:49+00:00
2026-07-03,NYC,104-105,0x1070d39c0918fad2caa302da00a129f93320ca877ee3a41028010d5d9805b35b,BUY_YES,low_price_yes_lottery_maker_first_v1,1,0.80015,-0.80015,0.0,2026-07-03T07:30:23+00:00,2026-07-03T07:30:23+00:00
2026-07-03,TelAviv,32,0x86002c932af637d842a00897e4dc463822c70093a2854849fcea2eb2e6589b71,BUY_YES,low_price_yes_lottery_guarded_taker_v1,1,0.7865,-0.7865,0.0,2026-07-02T23:15:24+00:00,2026-07-02T23:15:24+00:00
2026-07-04,Busan,24,0x8a838c1937a0b1b060ac961fbf1f47bd34f00b56657a2d05a553b8c47bd514ed,BUY_YES,low_price_yes_lottery_maker_first_v1,2,0.80016,-0.80016,0.0,2026-07-03T16:31:53+00:00,2026-07-03T16:32:31+00:00
2026-07-04,Helsinki,21,0xa68d70ebc97a6eaa0104e3f5426e159b804a346aaeca0e7dfd9667cc53183291,BUY_YES,low_price_yes_lottery_maker_first_v1,2,0.8003,-0.8003,0.0,2026-07-03T21:35:50+00:00,2026-07-03T21:37:29+00:00
2026-07-04,Manila,36+,0xd8262bb5da03f5e34becb83baeaeceea3c417c10b9dc919350465a5f714390c0,BUY_YES,low_price_yes_lottery_maker_first_v1,2,0.8002400000000001,-0.8002400000000001,0.0,2026-07-03T15:46:08+00:00,2026-07-04T03:07:23+00:00
2026-07-04,Paris,32,0x57b69dd03c87a16976d7de87ee10bfa715f33bb054ef5b2456ab6bf53913eb71,BUY_YES,low_price_yes_lottery_maker_first_v1,4,0.799855,-0.799855,0.0,2026-07-04T04:06:49+00:00,2026-07-04T05:15:53+00:00
2026-07-05,Helsinki,17,0x0dbfb490ffbabee5f9d9d443f359c19aa4ca620aa0f14f7c56798fa22663e536,BUY_YES,low_price_yes_lottery_dynamic_maker_v1,3,1.335,9.665,1.0,2026-07-04T23:39:23+00:00,2026-07-05T00:58:08+00:00
2026-07-05,Shanghai,28,0x842f39b70701af7f0f400bf530e83a6559b4ef8d11e4212f29b57e6fdafa68e4,BUY_YES,low_price_yes_lottery_dynamic_maker_v1,5,3.4499999999999997,-3.4499999999999997,0.0,2026-07-04T23:24:10+00:00,2026-07-05T01:05:14+00:00
2026-07-05,Shanghai,28,0x842f39b70701af7f0f400bf530e83a6559b4ef8d11e4212f29b57e6fdafa68e4,BUY_YES,low_price_yes_lottery_maker_first_v1,1,0.324,-0.324,0.0,2026-07-05T00:47:26+00:00,2026-07-05T00:47:26+00:00
