case_id,mechanism,mechanism_label_zh,city,target_date,decision_snapshot_ts_utc,decision_hour_local,current_bracket,final_winning_bracket,unit,p_core,p_market_raw,current_yes_bid,current_yes_ask,current_yes_ask_size,overshoot,temp_tendency_1h_f,temp_tendency_3h_f,dewpoint_tendency_3h_f,observed_wind_speed_kt,wind_direction_deg,wind_direction_persistence_3h,wind_direction_shift_3h_deg,gust_kt,gust_excess_kt,precip_observed_1h,pressure_tendency_3h_hpa,solar_elevation_deg,forecast_peak_delta_hours_local,minutes_since_last_strict_new_high,current_exact_hold,core_hold_probability,market_hold_mid,market_hold_bid,market_hold_ask,core_tail_probability,market_tail_mid,market_yes_decimal_odds_mid,market_tail_decimal_odds_mid,core_minus_market_hold_probability,core_brier,market_brier,core_minus_market_brier,core_logloss,market_logloss,core_minus_market_logloss,attribution
e505e11c419b1b31f273,solar_reheat,太阳再加热,Madrid,2026-06-23,2026-06-23T14:30:22+00:00,16,40,41,C,0.7706426748668792,0.915,0.91,0.92,228.84,1,0.0,5.400000000000006,-3.6000000000000014,5.0,140.0,0.9462080526841286,10.0,,,False,-2.031833999999957,57.0562,-1,60.36666666666667,0,0.7706426748668792,0.915,0.91,0.92,0.2293573251331208,0.08499999999999996,1.0928961748633879,11.764705882352946,-0.14435732513312083,0.5938901323259785,0.8372250000000001,-0.24333486767402157,1.4724741197826632,2.465104022491821,-0.9926299027091579,market_only_high_confidence_tail_loss
c1d9c4bca7666611a9c7,solar_reheat,太阳再加热,Chengdu,2026-06-14,2026-06-14T07:30:47+00:00,15,32,33,C,0.7363629476014484,0.86,0.85,0.87,266.22,1,1.7999999999999972,5.3999999999999915,0.0,1.94,,0.819152044288992,,,,False,-2.031833999999957,56.5705,-1,30.783333333333335,0,0.7363629476014484,0.86,0.85,0.87,0.2636370523985516,0.14,1.1627906976744187,7.142857142857142,-0.1236370523985516,0.5422303906002934,0.7395999999999999,-0.1973696093997065,1.3331819232631246,1.9661128563728327,-0.6329309331097082,market_only_high_confidence_tail_loss
2333eafd99c0ba7e61c5,solar_reheat,太阳再加热,Beijing,2026-06-11,2026-06-11T07:00:53+00:00,15,31,32,C,0.7553295285092452,0.865,0.86,0.87,16.0,1,1.7999999999999972,3.5999999999999943,-1.7999999999999972,3.89,,0.9961946980917455,,,,False,-1.6931950000000242,50.886,-1,30.883333333333333,0,0.7553295285092452,0.865,0.86,0.87,0.24467047149075483,0.135,1.1560693641618498,7.4074074074074066,-0.10967047149075482,0.5705226966379986,0.748225,-0.17770230336200143,1.407842988104516,2.0024805005437076,-0.5946375124391916,market_only_high_confidence_tail_loss
5b452414723e2bb712aa,solar_reheat,太阳再加热,Austin,2026-06-12,2026-06-12T19:30:53+00:00,14,92-93,94-95,F,0.740864211431621,0.855,0.81,0.9,35.0,1,3.0,6.0,-1.0,5.0,140.0,0.8411685373007846,20.0,,,,,74.7174,-2,37.88333333333333,0,0.740864211431621,0.855,0.81,0.9,0.25913578856837904,0.14500000000000002,1.1695906432748537,6.896551724137931,-0.11413578856837903,0.5488797797801975,0.7310249999999999,-0.1821452202198024,1.3504030744826474,1.9310215365615626,-0.5806184620789152,market_only_high_confidence_tail_loss
c62cd8f470f605f11fd0,solar_reheat,太阳再加热,Lucknow,2026-06-27,2026-06-27T09:00:53+00:00,14,40,41,C,0.7792424751094883,0.875,0.86,0.89,59.1,1,1.7999999999999972,3.5999999999999943,-1.8000000000000114,4.0,330.0,0.3853017879907932,110.0,,,False,-3.047750999999995,57.7059,0,90.88333333333334,0,0.7792424751094883,0.875,0.86,0.89,0.2207575248905117,0.125,1.1428571428571428,8.0,-0.0957575248905117,0.6072188350147615,0.765625,-0.15840616498523852,1.5106903522398072,2.0794415416798357,-0.5687511894400286,market_only_high_confidence_tail_loss
219fb3af40967d816dec,solar_reheat,太阳再加热,BuenosAires,2026-06-27,2026-06-27T17:30:43+00:00,14,18,19,C,0.8891671405996393,0.94,0.93,0.95,208.87,1,3.6000000000000085,10.800000000000004,0.0,4.0,300.0,,60.0,,,False,-2.031834000000077,27.7529,-1,30.716666666666665,0,0.8891671405996393,0.94,0.93,0.95,0.1108328594003607,0.06000000000000005,1.0638297872340425,16.666666666666654,-0.05083285940036064,0.7906182039221388,0.8835999999999999,-0.09298179607786117,2.1997319836504516,2.8134107167600355,-0.6136787331095839,market_more_overconfident_tail_loss
4aa78b803d9a673f960b,solar_reheat,太阳再加热,Wuhan,2026-06-09,2026-06-09T07:30:53+00:00,15,29,30,C,0.7845841057058894,0.875,0.87,0.88,16.0,1,1.7999999999999972,5.400000000000006,7.200000000000003,3.89,240.0,0.989871835341472,20.0,,,False,-2.031834000000077,47.3811,0,30.883333333333333,0,0.7845841057058894,0.875,0.87,0.88,0.21541589429411057,0.125,1.1428571428571428,8.0,-0.09041589429411057,0.6155722189263103,0.765625,-0.1500527810736897,1.535184727315921,2.0794415416798357,-0.5442568143639148,market_only_high_confidence_tail_loss
a65a89bfcfcce4d1e2e7,warm_moist_advection,暖湿平流 proxy,Wellington,2026-06-04,2026-06-04T02:30:53+00:00,14,16,18,C,0.7484046026828141,0.855,0.85,0.86,35.71,1,-1.7999999999999972,1.7999999999999972,1.7999999999999972,17.0,10.0,0.9978877348641376,10.0,,,False,-2.031833999999957,19.4333,-8,60.88333333333333,0,0.7484046026828141,0.855,0.85,0.86,0.25159539731718594,0.14500000000000002,1.1695906432748537,6.896551724137931,-0.10659539731718592,0.5601094493168207,0.7310249999999999,-0.1709155506831792,1.3799330479750667,1.9310215365615626,-0.551088488586496,market_only_high_confidence_tail_loss
e8b6eb890253a50f0c48,warm_moist_advection,暖湿平流 proxy,Istanbul,2026-06-16,2026-06-16T12:30:53+00:00,15,23,24,C,0.978679877863107,0.9605,0.951,0.97,25.52,1,-1.8000000000000114,0.0,1.8000000000000045,16.0,20.0,0.9928257936785424,10.0,,,False,0.0,54.7592,3,430.8833333333333,0,0.978679877863107,0.9605,0.951,0.97,0.02132012213689305,0.03949999999999998,1.041124414367517,25.316455696202546,0.01817987786310693,0.957814303334146,0.9225602500000001,0.035254053334145885,3.8481039509535737,3.2314546070750616,0.6166493438785121,shared_high_confidence_tail_loss
731d2acd1ecff815dc36,warm_moist_advection,暖湿平流 proxy,Jeddah,2026-06-26,2026-06-26T10:30:38+00:00,13,37,38,C,0.8669920149594823,0.86,0.84,0.88,8.0,1,-3.5999999999999943,0.0,1.8000000000000045,15.0,300.0,0.9865073341588964,20.0,,,False,-1.0159170000000386,74.8602,0,150.63333333333333,0,0.8669920149594823,0.86,0.84,0.88,0.1330079850405177,0.14,1.1627906976744187,7.142857142857142,0.006992014959482318,0.7516751540035032,0.7395999999999999,0.01207515400350323,2.0173461146639564,1.9661128563728327,0.051233258291123684,shared_high_confidence_tail_loss
