config,scope,ask_band,variant,slippage,taker_fee,rows,wins,win_rate,cost,pnl,roi,avg_exec_price,avg_fee
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,0.02,True,155,113,0.7290322580645161,524.69,32.51776199999999,0.06197518915931309,0.6770193548387097,0.01005450064516129
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,0.05,False,155,113,0.7290322580645161,547.9399999999999,17.059999999999974,0.03113479578055987,0.7070193548387097,0.0
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,0.05,True,155,113,0.7290322580645161,547.9399999999999,9.714206999999977,0.017728596196663827,0.7070193548387097,0.009478442580645162
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,0.0,False,141,106,0.75177304964539,465.86,64.14,0.13768084832353067,0.6607943262411348,0.0
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,0.0,True,141,106,0.75177304964539,465.86,56.864879500000015,0.12206431009316106,0.6607943262411348,0.01031931985815603
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,0.01,False,141,106,0.75177304964539,472.90999999999997,57.089999999999996,0.12072064452009897,0.6707943262411348,0.0
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,0.01,True,141,106,0.75177304964539,472.90999999999997,49.93176449999999,0.1055840741367279,0.6707943262411348,0.010153525531914894
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,0.02,False,141,106,0.75177304964539,479.96,50.03999999999999,0.10425868822401865,0.6807943262411348,0.0
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,0.02,True,141,106,0.75177304964539,479.96,43.00569949999999,0.08960267418118176,0.6807943262411348,0.009977731205673761
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,0.05,False,141,106,0.75177304964539,501.11,28.88999999999998,0.05765201253217852,0.7107943262411348,0.0
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,0.05,True,141,106,0.75177304964539,501.11,22.269804499999978,0.04444095009079838,0.7107943262411348,0.009390348226950354
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,0.0,False,141,106,0.75177304964539,465.86,64.14,0.13768084832353067,0.6607943262411348,0.0
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,0.0,True,141,106,0.75177304964539,465.86,56.864879500000015,0.12206431009316106,0.6607943262411348,0.01031931985815603
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,0.01,False,141,106,0.75177304964539,472.90999999999997,57.089999999999996,0.12072064452009897,0.6707943262411348,0.0
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,0.01,True,141,106,0.75177304964539,472.90999999999997,49.93176449999999,0.1055840741367279,0.6707943262411348,0.010153525531914894
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,0.02,False,141,106,0.75177304964539,479.96,50.03999999999999,0.10425868822401865,0.6807943262411348,0.0
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,0.02,True,141,106,0.75177304964539,479.96,43.00569949999999,0.08960267418118176,0.6807943262411348,0.009977731205673761
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,0.05,False,141,106,0.75177304964539,501.11,28.88999999999998,0.05765201253217852,0.7107943262411348,0.0
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,0.05,True,141,106,0.75177304964539,501.11,22.269804499999978,0.04444095009079838,0.7107943262411348,0.009390348226950354
