config,scope,ask_low,ask_high,ask_band,variant,rows,dates,cities,wins,win_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,avg_ask,avg_edge,avg_p_win,positive_days,negative_days,best_day_roi,worst_day_roi
tmax_dist_clean_edge02,dev_cv,0.2,0.4,0.20-0.40,base,135,19,35,47,0.34814814814814815,211.02,23.979999999999997,0.11363851767604964,-0.14972853338003703,0.4171775374415794,0.3126222222222223,0.054569087855893275,0.3671913100781155,12,7,1.4691358024691359,-0.7715330134795522
tmax_dist_clean_edge02,dev_cv,0.2,0.4,0.20-0.40,no_trend3h_flat_block_missing,130,19,35,43,0.33076923076923076,202.76999999999998,12.229999999999995,0.06031464220545444,-0.17879442634425127,0.3458592815610189,0.3119538461538462,0.054512371185684146,0.36646621733953033,12,7,1.7027027027027026,-0.7715330134795522
tmax_dist_clean_edge02,dev_cv,0.2,0.4,0.20-0.40,no_trend3h_flat_keep_missing,130,19,35,43,0.33076923076923076,202.76999999999998,12.229999999999995,0.06031464220545444,-0.17879442634425127,0.3458592815610189,0.3119538461538462,0.054512371185684146,0.36646621733953033,12,7,1.7027027027027026,-0.7715330134795522
tmax_dist_clean_edge02,dev_cv,0.4,0.99,0.40-0.99,base,435,19,36,306,0.7034482758620689,1440.935,89.06499999999997,0.0618105605041171,0.013152993687514616,0.11519507732575267,0.6624988505747127,0.04522104977714232,0.7077199003518551,13,6,0.3418015922712228,-0.10279415534478341
tmax_dist_clean_edge02,dev_cv,0.4,0.99,0.40-0.99,no_trend3h_flat_block_missing,413,19,36,292,0.7070217917675545,1362.855,97.14499999999995,0.07128051039912534,0.01636795821327542,0.12925200645662183,0.6599782082324456,0.04514580977190675,0.7051240180043523,14,5,0.3205448985265499,-0.18658490802152425
tmax_dist_clean_edge02,dev_cv,0.4,0.99,0.40-0.99,no_trend3h_flat_keep_missing,413,19,36,292,0.7070217917675545,1363.2799999999997,96.71999999999996,0.07094654069596852,0.016015347078625328,0.1287323914939446,0.6601840193704601,0.04512165400954251,0.7053056733800026,14,5,0.3205448985265499,-0.18658490802152425
tmax_dist_clean_edge02,verified_forward,0.2,0.4,0.20-0.40,base,64,12,31,22,0.34375,100.285,9.714999999999996,0.09687390935832874,-0.250935589315137,0.5313918033028683,0.31339062500000003,0.06346800744834025,0.3768586324483403,5,7,2.1496062992125986,-1.0
tmax_dist_clean_edge02,verified_forward,0.2,0.4,0.20-0.40,no_trend3h_flat_block_missing,60,12,31,22,0.36666666666666664,94.185,15.815,0.16791421139247226,-0.19025060243684042,0.6049354982873357,0.31395,0.06464197737384327,0.37859197737384337,5,7,2.1496062992125986,-1.0
tmax_dist_clean_edge02,verified_forward,0.2,0.4,0.20-0.40,no_trend3h_flat_keep_missing,61,12,31,22,0.36065573770491804,95.185,14.815,0.15564427168146241,-0.19858345927987534,0.584630174826864,0.31208196721311476,0.0639430413212932,0.37602500853440807,5,7,2.1496062992125986,-1.0
tmax_dist_clean_edge02,verified_forward,0.4,0.99,0.40-0.99,base,155,12,36,113,0.7290322580645161,509.19,55.80999999999999,0.10960545179598968,0.008078085681068081,0.23237706189714025,0.6570193548387097,0.04573148479159691,0.7027508396303066,8,4,0.544799176107106,-0.28622412562455385
tmax_dist_clean_edge02,verified_forward,0.4,0.99,0.40-0.99,no_trend3h_flat_block_missing,141,12,36,106,0.75177304964539,465.86,64.13999999999999,0.13768084832353064,0.037433151477811503,0.25457298579107374,0.6607943262411348,0.04567471097257137,0.7064690372137061,10,2,0.5581177937052041,-0.28622412562455385
tmax_dist_clean_edge02,verified_forward,0.4,0.99,0.40-0.99,no_trend3h_flat_keep_missing,141,12,36,106,0.75177304964539,465.86,64.13999999999999,0.13768084832353064,0.037433151477811503,0.25457298579107374,0.6607943262411348,0.04567471097257137,0.7064690372137061,10,2,0.5581177937052041,-0.28622412562455385
