model,rows,active_dates,actual_survive_rate,mean_pred_survive,auc,brier,logloss,mean_edge_vs_ask
market_price_as_probability,2188,14,0.41773308957952465,0.4353103290676417,0.9455856740945832,0.09226919881170018,0.29471163793751604,0.0
weather_forecast_only_v1,2188,14,0.41773308957952465,0.4156608481017942,0.9049599978015107,0.12375176271874694,0.38909381158685263,-0.019649480965847444
base_current_yes_v9,2188,14,0.41773308957952465,0.4059489326091736,0.9381606202487728,0.09669630422746056,0.3185831828428439,-0.029361396458468123
peak_forming_hazard_v1,2188,14,0.41773308957952465,0.4209292050124126,0.945720503316627,0.09111762350541608,0.29443417206508493,-0.014381122898111179
