city,target_date,entry_snapshot_ts_utc,leg,bracket,entry_price,entry_cost_per_share,entry_p_model,entry_model_edge_per_share,win,hold_pnl_per_share,exit_triggered,exit_snapshot_ts_utc,exit_ts_beijing,exit_no_bid,exit_fee_per_share,exit_net_per_share,exit_p_leg_win_now,exit_p_no_hold_now,exit_pnl_per_share,exit_minutes_after_entry,overlay_delta_per_share,threshold
Chongqing,2026-07-04,2026-07-04T07:11:44Z,d1_no,33,0.837,0.84382,0.9452528917540488,0.1014328917540487,1.0,0.15617999999999999,True,2026-07-04T08:02:06Z,2026-07-04 16:02:06,0.996,0.0002,0.9958,0.952597633997664,0.952597633997664,0.15198,50.36666666666667,-0.0041999999999999815,0.0
Istanbul,2026-07-04,2026-07-04T07:11:44Z,d1_no,27,0.963,0.96478,0.9769923346531512,0.0122123346531511,1.0,0.03522000000000003,False,,,,,,,,0.03522000000000003,,0.0,0.0
Jeddah,2026-07-04,2026-07-04T08:02:06Z,d1_no,37,0.88,0.88528,0.951441051160332,0.066161051160332,1.0,0.11472000000000004,False,,,,,,,,0.11472000000000004,,0.0,0.0
Karachi,2026-07-04,2026-07-04T07:45:27Z,d1_no,34,0.47,0.48246,0.6097619992763824,0.1273019992763824,0.0,-0.48246,False,,,,,,,,-0.48246,,0.0,0.0
Karachi,2026-07-04,2026-07-04T08:02:06Z,d1_no,35,0.89,0.8949,0.9394949745280404,0.0445949745280404,1.0,0.10509999999999997,True,2026-07-04T10:33:47Z,2026-07-04 18:33:47,0.97,0.00146,0.96854,0.9583066259015797,0.9583066259015797,0.07363999999999993,151.68333333333334,-0.031460000000000043,0.0
Lucknow,2026-07-04,2026-07-04T07:11:44Z,d1_no,37,0.56,0.57232,0.8642664750990844,0.2919464750990843,1.0,0.42767999999999995,True,2026-07-04T10:50:37Z,2026-07-04 18:50:37,0.998,0.0001,0.9979,0.9879165726733984,0.9879165726733984,0.42557999999999996,218.88333333333333,-0.0020999999999999908,0.0
Manila,2026-07-04,2026-07-04T07:11:44Z,d1_no,35,0.924,0.92751,0.9341082837990732,0.0065982837990731,1.0,0.07249000000000005,True,2026-07-04T08:02:06Z,2026-07-04 16:02:06,0.965,0.00169,0.96331,0.9541657281270208,0.9541657281270208,0.035800000000000054,50.36666666666667,-0.03669,0.0
Moscow,2026-07-04,2026-07-04T07:11:44Z,d1_no,23,0.76,0.76912,0.9799532409776508,0.2108332409776507,1.0,0.23087999999999997,False,,,,,,,,0.23087999999999997,,0.0,0.0
Amsterdam,2026-07-05,2026-07-05T07:12:26Z,d1_no,20,0.62,0.63178,0.799271201549159,0.1674912015491589,0.0,-0.63178,False,,,,,,,,-0.63178,,0.0,0.0
Amsterdam,2026-07-05,2026-07-05T09:43:24Z,d1_no,21,0.53,0.54246,0.6956574311077142,0.1531974311077141,1.0,0.45753999999999995,False,,,,,,,,0.45753999999999995,,0.0,0.0
