threshold,rows,active_dates,cities,entry_cost,hold_pnl,hold_roi,exit_overlay_pnl,exit_overlay_roi,delta_pnl,delta_roi,delta_roi_ci_low,delta_roi_ci_high,entry_hit_rate,exit_rate,rescued_loser_rate,sold_winner_rate,avg_exit_minutes
0.0,85,6,23,55.359700000000004,3.6403,0.06575722050516891,4.03376,0.07286455670821915,0.39346000000000014,0.007107336203050235,-0.03082876476496246,0.04538395398396883,0.6941176470588235,0.3411764705882353,0.03529411764705882,0.3058823529411765,88.05804597701147
0.01,82,6,23,52.52748,4.47252,0.08514628914236892,3.937289999999999,0.07495676548732205,-0.5352300000000012,-0.010189523655046868,-0.05954486140684245,0.04673517676469701,0.6951219512195121,0.3170731707317073,0.024390243902439025,0.2926829268292683,91.1275641025641
0.02,78,6,23,49.074679999999994,3.92532,0.07998666522125056,3.4728399999999997,0.07076643189522581,-0.45248000000000044,-0.009220233326024754,-0.06204234651528342,0.047521510793851106,0.6794871794871795,0.3076923076923077,0.02564102564102564,0.28205128205128205,97.31111111111112
0.03,75,6,23,46.36991999999999,3.6300799999999995,0.07828523318565139,3.21847,0.06940857348902048,-0.4116099999999996,-0.008876659696630911,-0.0663968254713172,0.04830774080077322,0.6666666666666666,0.30666666666666664,0.02666666666666667,0.28,95.7123188405797
