window,policy,roi_delta_vs_all,roi_delta_ci_low,roi_delta_ci_high,rows_removed,winner_rows_removed
train_le_2026_06_20,remove_dist_lt0_keep_eq0,0.08528263721702989,-0.08040375973943188,0.26091745402265215,97,10
train_le_2026_06_20,remove_dist_le0_hot_only,0.13082499096657696,-0.033962953193776166,0.30365353265256845,108,10
recent_ge_2026_06_21,remove_dist_lt0_keep_eq0,0.18826759279524474,-0.14076924677341024,0.6389942901164942,34,5
recent_ge_2026_06_21,remove_dist_le0_hot_only,0.21962523247814758,-0.11031907980515167,0.6847390387212559,35,5
full,remove_dist_lt0_keep_eq0,0.09328038639649897,-0.0632297319499212,0.2589324949953123,131,15
full,remove_dist_le0_hot_only,0.13725714724089197,-0.013574642475435116,0.30446565779144186,143,15
