policy,blocks,total_trades,weighted_cost_usd,weighted_profit_usd,cost_weighted_roi,mean_block_roi,positive_blocks,bad_blocks_roi_le_minus50,avg_notional_retained
atlas_physical_trade_cap_soft_size,33,625,1087.9379486298665,78.19908643820479,0.07187825972674967,0.052014349266765056,18,4,0.3452788375425947
atlas_train_shrunk_trade_cap_soft_size,33,625,1315.7878736135956,51.78322738579439,0.03935530067136145,0.03804854072894178,17,5,0.41896064967444685
atlas_physical_soft_size,33,625,1968.75,7.715574372111931,0.003919021903294949,-0.01868582592406955,15,3,0.6282373593781206
trade_cap_soft_size,33,625,1692.911834857022,-4.28960496860968,-0.002533862000540605,-0.007795222796737932,16,6,0.5394591078060359
atlas_train_shrunk_soft_size,33,625,2397.244955039271,-73.49026878411712,-0.030656136591144988,-0.03671030865207342,16,4,0.7672181764481464
full_size_base_p40,33,625,3125.0,-180.43684245549855,-0.05773978958575954,-0.0698748203001707,15,4,1.0
