day_regime,early_trades,early_roi,early_win_rate,late_trades,late_roi,late_win_rate,d20230623_trades,d20230623_roi,d20230623_win_rate,all_with_0623_trades,all_with_0623_roi,all_with_0623_win_rate,daily_dates,daily_pos_dates,daily_neg_dates,daily_median_roi,daily_worst_roi,daily_best_roi
day_space_unknown,0,,,4,1.5151515151515151,0.75,2,0.42857142857142866,0.5,6,1.152958152958153,0.6666666666666666,2,2,0,0.9718614718614719,0.42857142857142866,1.5151515151515151
day_marginal_runway,44,0.319340170760049,0.3181818181818182,26,0.7449024827775261,0.4230769230769231,0,,,70,0.47740617236654054,0.35714285714285715,28,16,12,0.40196078431372545,-1.0,3.0740740740740744
day_open_runway,23,0.7669544247519648,0.391304347826087,19,-0.055611785874943705,0.21052631578947367,4,0.19047619047619052,0.25,46,0.3770702739038266,0.30434782608695654,24,11,13,-1.0,-1.0,4.555555555555555
day_forecast_busted,65,-0.10466339768890626,0.18461538461538463,38,-0.03495422394883266,0.21052631578947367,1,-1.0,0.0,104,-0.08780174384456298,0.19230769230769232,35,10,25,-1.0,-1.0,3.279625443978043
day_forecast_capped,69,-0.3434309562579579,0.15942028985507245,22,0.1533912579270481,0.22727272727272727,2,-1.0,0.0,93,-0.24002288502584984,0.17204301075268819,31,9,22,-1.0,-1.0,2.5714285714285707
