slice_type,slice,trades,active_dates,cities,win_rate,roi,profit_usd,cost_usd,avg_no_ask,avg_p_cross,avg_p_cap,avg_actual_margin_f,avg_pred_error_f
day_regime,day_space_unknown,4,1,4,0.75,1.5151515151515151,30.3030303030303,20.0,0.2675,0.5663547081565599,0.6765201668155719,0.7374999999999998,-0.5586716798316111
day_regime,day_marginal_runway,70,28,27,0.35714285714285715,0.47740617236654054,167.0921603282892,350.0,0.2432142857142857,0.6340115492833394,0.5657792490248603,0.14357142857142852,0.28227261739313486
day_regime,day_open_runway,42,23,18,0.30952380952380953,0.3948411389921729,82.9166391883563,210.0,0.24435714285714286,0.6813570069731858,0.5718253770155863,0.18452380952380956,0.43026798059486787
day_regime,day_forecast_busted,103,34,24,0.1941747572815534,-0.07894545009548105,-40.656906799172745,515.0,0.22523300970873789,0.6291175067721593,0.6860384686279591,-0.009708737864077633,0.3929005263122914
day_regime,day_forecast_capped,91,30,28,0.17582417582417584,-0.22332009129015423,-101.61064153702017,455.0,0.23429670329670335,0.611029264605621,0.6411885435484769,-0.14285714285714277,0.4654761036849729
intraday_state,reheating_after_dip,2,2,2,1.0,2.9367816091954024,29.367816091954026,10.0,0.274,0.6931646869819472,0.4477785871071285,1.4499999999999997,-0.4768396769956845
intraday_state,false_fade_risk,49,26,24,0.2653061224489796,0.330127554705447,80.88125090283452,245.0,0.23669387755102042,0.5987795967412531,0.6984029377038192,0.0979591836734696,0.1934231518209322
intraday_state,mature_fade,27,21,17,0.2962962962962963,0.32471803734632826,43.836935041754316,135.0,0.2356296296296296,0.591420178492177,0.7534485201076238,0.25370370370370365,0.017804162619568912
intraday_state,fresh_high,61,28,24,0.2459016393442623,0.045176941550476156,13.778967172895229,305.0,0.2372622950819672,0.6111315527994657,0.5931849216031945,-0.07950819672131135,0.45175715202461275
intraday_state,active_warming,107,34,30,0.24299065420560748,0.02884358730296476,15.431319207086148,535.0,0.23458878504672898,0.6546324897957786,0.5559450846369887,-0.12710280373831784,0.5907263169973993
intraday_state,slow_warming,9,7,6,0.2222222222222222,-0.012345679012345635,-0.5555555555555536,45.0,0.21111111111111114,0.7246865149070219,0.5147019856130459,0.3055555555555551,0.4411233663018548
intraday_state,plateau_near_high,44,23,17,0.20454545454545456,-0.1383508732646663,-30.437192118226584,220.0,0.23811363636363636,0.668880273920634,0.6889458348703777,0.19999999999999993,0.2995651625792228
intraday_state,pullback_uncertain,11,10,7,0.18181818181818182,-0.25925925925925924,-14.259259259259258,55.0,0.21990909090909092,0.5175910548015273,0.8418785110794922,-0.0818181818181814,0.13655311002615503
