holdout_dates,policy,avg_atlas_physical_multiplier,avg_atlas_train_shrunk_multiplier,avg_trade_cap_multiplier,day_regime_mix,trades,settled_trades,weighted_cost_usd,weighted_profit_usd,roi,win_rate,notional_retained
"2026-05-20,2026-05-21",full_size_base_p40,0.7214285714285714,0.8618594570989887,0.5202126483090385,"day_forecast_busted:6,day_marginal_runway:3,day_open_runway:5",14,14,70.0,19.285714285714285,0.2755102040816326,0.2857142857142857,1.0
"2026-05-20,2026-05-21",trade_cap_soft_size,0.7214285714285714,0.8618594570989887,0.5202126483090385,"day_forecast_busted:6,day_marginal_runway:3,day_open_runway:5",14,14,36.414885381632686,9.51879270041315,0.2613983979533363,0.2857142857142857,0.5202126483090384
"2026-05-20,2026-05-21",atlas_physical_soft_size,0.7214285714285714,0.8618594570989887,0.5202126483090385,"day_forecast_busted:6,day_marginal_runway:3,day_open_runway:5",14,14,50.5,17.833333333333336,0.3531353135313532,0.2857142857142857,0.7214285714285714
"2026-05-20,2026-05-21",atlas_physical_trade_cap_soft_size,0.7214285714285714,0.8618594570989887,0.5202126483090385,"day_forecast_busted:6,day_marginal_runway:3,day_open_runway:5",14,14,25.989091205106185,10.465117299547018,0.4026734608361716,0.2857142857142857,0.3712727315015169
"2026-05-20,2026-05-21",atlas_train_shrunk_soft_size,0.7214285714285714,0.8618594570989887,0.5202126483090385,"day_forecast_busted:6,day_marginal_runway:3,day_open_runway:5",14,14,60.330161996929206,16.232047766677887,0.26905360816873153,0.2857142857142857,0.8618594570989887
"2026-05-20,2026-05-21",atlas_train_shrunk_trade_cap_soft_size,0.7214285714285714,0.8618594570989887,0.5202126483090385,"day_forecast_busted:6,day_marginal_runway:3,day_open_runway:5",14,14,31.26311442297747,8.787518904732888,0.2810826453769532,0.2857142857142857,0.4466159203282496
"2026-05-21,2026-05-22",full_size_base_p40,0.6933333333333335,0.8206498117354527,0.5605067608407985,"day_forecast_busted:4,day_forecast_capped:4,day_marginal_runway:3,day_open_runway:4",15,15,75.0,-31.878306878306876,-0.42504409171075835,0.13333333333333333,1.0
"2026-05-21,2026-05-22",trade_cap_soft_size,0.6933333333333335,0.8206498117354527,0.5605067608407985,"day_forecast_busted:4,day_forecast_capped:4,day_marginal_runway:3,day_open_runway:4",15,15,42.038007063059894,-22.655369233290866,-0.5389258629531666,0.13333333333333333,0.5605067608407985
"2026-05-21,2026-05-22",atlas_physical_soft_size,0.6933333333333335,0.8206498117354527,0.5605067608407985,"day_forecast_busted:4,day_forecast_capped:4,day_marginal_runway:3,day_open_runway:4",15,15,52.0,-16.378306878306876,-0.3149674399674399,0.13333333333333333,0.6933333333333334
"2026-05-21,2026-05-22",atlas_physical_trade_cap_soft_size,0.6933333333333335,0.8206498117354527,0.5605067608407985,"day_forecast_busted:4,day_forecast_capped:4,day_marginal_runway:3,day_open_runway:4",15,15,28.136614355493055,-12.658225291028899,-0.44988445059871457,0.13333333333333333,0.3751548580732407
"2026-05-21,2026-05-22",atlas_train_shrunk_soft_size,0.6933333333333335,0.8206498117354527,0.5605067608407985,"day_forecast_busted:4,day_forecast_capped:4,day_marginal_runway:3,day_open_runway:4",15,15,61.54873588015893,-26.11837236767367,-0.42435270187398405,0.13333333333333333,0.8206498117354524
"2026-05-21,2026-05-22",atlas_train_shrunk_trade_cap_soft_size,0.6933333333333335,0.8206498117354527,0.5605067608407985,"day_forecast_busted:4,day_forecast_capped:4,day_marginal_runway:3,day_open_runway:4",15,15,34.2550677827128,-18.81142752673859,-0.5491575041119021,0.13333333333333333,0.45673423710283734
"2026-05-22,2026-05-23",full_size_base_p40,0.5972222222222223,0.721019213004791,0.5811585581241335,"day_forecast_busted:6,day_forecast_capped:7,day_marginal_runway:4,day_open_runway:1",18,18,90.0,12.94820437135428,0.143868937459492,0.2777777777777778,1.0
"2026-05-22,2026-05-23",trade_cap_soft_size,0.5972222222222223,0.721019213004791,0.5811585581241335,"day_forecast_busted:6,day_forecast_capped:7,day_marginal_runway:4,day_open_runway:1",18,18,52.304270231172026,7.504075769546883,0.1434696581441766,0.2777777777777778,0.5811585581241336
"2026-05-22,2026-05-23",atlas_physical_soft_size,0.5972222222222223,0.721019213004791,0.5811585581241335,"day_forecast_busted:6,day_forecast_capped:7,day_marginal_runway:4,day_open_runway:1",18,18,53.75,7.578950935212799,0.14100373832954044,0.2777777777777778,0.5972222222222222
"2026-05-22,2026-05-23",atlas_physical_trade_cap_soft_size,0.5972222222222223,0.721019213004791,0.5811585581241335,"day_forecast_busted:6,day_forecast_capped:7,day_marginal_runway:4,day_open_runway:1",18,18,32.159990112628236,3.120394846332447,0.0970272327635811,0.2777777777777778,0.35733322347364704
"2026-05-22,2026-05-23",atlas_train_shrunk_soft_size,0.5972222222222223,0.721019213004791,0.5811585581241335,"day_forecast_busted:6,day_forecast_capped:7,day_marginal_runway:4,day_open_runway:1",18,18,64.89172917043118,8.12052150658397,0.1251395456770198,0.2777777777777778,0.7210192130047909
"2026-05-22,2026-05-23",atlas_train_shrunk_trade_cap_soft_size,0.5972222222222223,0.721019213004791,0.5811585581241335,"day_forecast_busted:6,day_forecast_capped:7,day_marginal_runway:4,day_open_runway:1",18,18,38.605241531731636,4.360452723985496,0.11294975891813591,0.2777777777777778,0.4289471281303515
