model,edge_threshold,rows,dates,cities,cost,pnl,roi,date_block_ci_low,date_block_ci_high
base_physical_only,0.0,149,7,25,86.18816999999999,5.8118300000000005,0.06743187609157963,-0.04583004297018924,0.19034210176017036
base_physical_only,0.01,116,7,23,54.683159999999994,4.316839999999999,0.0789427677551919,-0.07561792053318357,0.3405593913329745
base_physical_only,0.02,105,7,22,45.862449999999995,3.13755,0.06841217597402668,-0.10396262693680662,0.32788890560348194
base_physical_only,0.03,102,7,22,43.91688,3.0831199999999996,0.07020352994110692,-0.11556408217294115,0.34136369284238893
base_physical_only,0.05,89,7,20,35.0054,0.9945999999999994,0.028412759174298804,-0.23636008232143585,0.35439801294357665
obs_clock_cadence,0.0,184,7,35,121.05794,3.942060000000001,0.032563415501701096,-0.05635706332067612,0.12142743737585704
obs_clock_cadence,0.01,138,7,29,76.35926,2.64074,0.03458310098866856,-0.08742692651766894,0.21874629853419092
obs_clock_cadence,0.02,119,7,26,60.28695999999999,1.7130399999999986,0.028414768301470147,-0.13465824801065615,0.2920598740545637
obs_clock_cadence,0.03,112,7,26,54.561009999999996,2.4389900000000004,0.04470206838179866,-0.16947409313054812,0.32218232670549435
obs_clock_cadence,0.05,97,7,22,41.93856,1.0614400000000006,0.02530940499626121,-0.19288381367650154,0.3895613384599721
multi_model_forecast,0.0,185,7,35,124.12863,2.8713700000000006,0.02313221373666978,-0.10163511607718052,0.11720945099318085
multi_model_forecast,0.01,139,7,29,79.29952,2.7004799999999998,0.034054178385947355,-0.14755352806770036,0.2160919693366156
multi_model_forecast,0.02,123,7,24,64.49529,1.5047099999999998,0.02333054088135738,-0.19593061197858327,0.24205965054982584
multi_model_forecast,0.03,117,7,24,59.306909999999995,0.6930900000000002,0.011686496565071426,-0.234522931897781,0.24552714683952095
multi_model_forecast,0.05,100,7,21,45.37654,-0.37654000000000076,-0.008298120570673763,-0.257090388159923,0.2780614294705381
taf,0.0,211,7,37,150.6977,3.3023000000000016,0.021913406773958737,-0.08538720695130987,0.09200278225812543
taf,0.01,137,7,29,79.52404999999999,0.47594999999999943,0.005984981901701428,-0.19818939443818392,0.17883898122407288
