period,sizing,fee_profile,exit_policy,rows,dates,cities,win_rate_final,avg_entry,avg_cost,avg_entry_fee,avg_exit_fee,total_cost,total_fees,tp_hit_rate,stop_hit_rate,roi,pnl,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,path_coverage
full,edge_scaled_8_shares,maker_entry_no_fee,hold,476,53,48,0.13655462184873948,0.1050997899159664,0.813777974789916,0.0,0.0,387.358316,0.0,0.0,0.0,0.2691504988884762,104.25768400000001,-0.04750278401928229,0.6212402881735846,25,16,-12.080597333333333,-1.0,0.8319327731092437
full,edge_scaled_8_shares,maker_entry_no_fee,hold_plus_late_dust_stop,476,53,48,0.13655462184873948,0.1050997899159664,0.813777974789916,0.0,0.0,387.358316,0.0,0.0,0.0,0.2691504988884762,104.25768400000001,-0.04750278401928229,0.6212402881735846,25,16,-12.080597333333333,-1.0,0.8319327731092437
full,edge_scaled_8_shares,maker_entry_no_fee,hold_plus_late_salvage,476,53,48,0.13655462184873948,0.1050997899159664,0.813777974789916,0.0,0.0,387.358316,0.0,0.0,0.05672268907563025,0.2676697682325392,103.68411066666667,-0.049017596636396515,0.6196019454843282,25,16,-12.080597333333333,-1.0,0.8319327731092437
full,edge_scaled_8_shares,maker_entry_no_fee,hold_plus_strict_dead_or_late_dust,476,53,48,0.13655462184873948,0.1050997899159664,0.813777974789916,0.0,0.0,387.358316,0.0,0.0,0.3907563025210084,0.292020094387234,113.11641200000001,0.006582434390354925,0.6033725187040732,24,17,-11.183781333333334,-1.0,0.8319327731092437
full,edge_scaled_8_shares,maker_entry_no_fee,hold_plus_strict_dead_stop,476,53,48,0.13655462184873948,0.1050997899159664,0.813777974789916,0.0,0.0,387.358316,0.0,0.0,0.3907563025210084,0.292020094387234,113.11641200000001,0.006582434390354925,0.6033725187040732,24,17,-11.183781333333334,-1.0,0.8319327731092437
full,edge_scaled_8_shares,maker_entry_no_fee,hold_plus_time_stop,476,53,48,0.13655462184873948,0.1050997899159664,0.813777974789916,0.0,0.0,387.358316,0.0,0.0,0.4117647058823529,0.17883297833557635,69.27244133333333,-0.09417208487111282,0.4870497954352493,25,18,-9.668437333333333,-1.0,0.8319327731092437
full,edge_scaled_8_shares,maker_entry_no_fee,hold_plus_time_stop_or_late_salvage,476,53,48,0.13655462184873948,0.1050997899159664,0.813777974789916,0.0,0.0,387.358316,0.0,0.0,0.4495798319327731,0.1779334425510737,68.92399866666666,-0.09483824947188049,0.48587081487806505,25,18,-9.668437333333333,-1.0,0.8319327731092437
full,edge_scaled_8_shares,maker_entry_no_fee,recover_stake_tp30_live_fixed30,476,53,48,0.13655462184873948,0.1050997899159664,0.813777974789916,0.0,0.0,387.358316,0.0,0.21428571428571427,0.0,0.10842209751632412,41.998201111111094,-0.1568273812303745,0.4158440094254311,27,18,-9.570155999999999,-1.0,0.8319327731092437
full,edge_scaled_8_shares,maker_entry_no_fee,tp20_live_fixed20,476,53,48,0.13655462184873948,0.1050997899159664,0.813777974789916,0.0,0.0,387.358316,0.0,0.3382352941176471,0.0,-0.09080838390124212,-35.17538266666666,-0.2741282884825475,0.15752605366547845,37,13,-8.536314666666668,-1.0,0.8319327731092437
full,edge_scaled_8_shares,maker_entry_no_fee,tp20_live_fixed20_plus_late_salvage,476,53,48,0.13655462184873948,0.1050997899159664,0.813777974789916,0.0,0.0,387.358316,0.0,0.3382352941176471,0.0,-0.09080838390124212,-35.17538266666666,-0.2741282884825475,0.15752605366547845,37,13,-8.536314666666668,-1.0,0.8319327731092437
