evidence_layer,target_date,city,router_route,router_expression,router_ask,router_payoff,base_weight,patched_weight,patched_shares,patch_effect,forecast_source,row_forecast_model,city_source_bias_regime,city_source_bias,city_source_hot_underforecast_rate
historical_best_ask_diagnostic,2026-05-20,Ankara,fresh_runway_current_no,current_bracket_no,0.69,1.0,0.3776000000000001,0.3776000000000001,2.7362318840579722,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.7653,0.441
historical_best_ask_diagnostic,2026-05-20,Chengdu,capped_d2_no,d2_no,0.69,1.0,0.19116000000000002,0.12425400000000002,0.9003913043478263,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.0728,0.5084
historical_best_ask_diagnostic,2026-05-20,Istanbul,capped_d2_no,d2_no,0.65,1.0,0.2016,0.21168,1.6283076923076922,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2309,0.236
historical_best_ask_diagnostic,2026-05-20,Jeddah,false_fade_reheat_current_no,current_bracket_no,0.587,0.0,0.11352250000000003,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966
historical_best_ask_diagnostic,2026-05-20,Miami,capped_d2_no,d2_no,0.66,0.0,0.21789,0.21789,1.6506818181818181,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,0.1286,0.2239
historical_best_ask_diagnostic,2026-05-20,Munich,capped_d2_no,d2_no,0.64,0.0,0.26189999999999997,0.19642499999999996,1.5345703124999996,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-05-20,SanFrancisco,fresh_runway_current_no,current_bracket_no,0.62,0.0,0.40064000000000005,0.40064000000000005,3.230967741935484,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-1.1492,0.1489
historical_best_ask_diagnostic,2026-05-20,Shanghai,cheap_stale_tail_current_no,current_bracket_no,0.22,1.0,0.23399999999999999,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075
historical_best_ask_diagnostic,2026-05-20,Singapore,capped_d2_no,d2_no,0.62,0.0,0.23662800000000003,0.15380820000000003,1.2403887096774198,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.8289,0.4073
historical_best_ask_diagnostic,2026-05-20,Wellington,capped_d2_no,d2_no,0.68,1.0,0.17783999999999997,0.11559599999999999,0.8499705882352939,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.181,0.6096
historical_best_ask_diagnostic,2026-05-21,Guangzhou,false_fade_reheat_current_no,current_bracket_no,0.65,1.0,0.22713600000000003,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,hot_underforecast_noisy,0.5786,0.4242
historical_best_ask_diagnostic,2026-05-21,Jeddah,capped_d2_no,d2_no,0.6,1.0,0.30150000000000005,0.19597500000000004,1.6331250000000004,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966
historical_best_ask_diagnostic,2026-05-21,Manila,capped_d2_no,d2_no,0.6,0.0,0.27135000000000004,0.17637750000000002,1.4698125000000004,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404
historical_best_ask_diagnostic,2026-05-21,Munich,capped_d2_no,d2_no,0.56,0.0,0.34109999999999996,0.25582499999999997,2.2841517857142852,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-05-21,SanFrancisco,fresh_runway_current_no,current_bracket_no,0.66,0.0,0.34431999999999996,0.34431999999999996,2.608484848484848,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-1.1492,0.1489
historical_best_ask_diagnostic,2026-05-21,SaoPaulo,pullback_uncertain_current_high_yes,current_high_yes,0.7,1.0,0.099,0.099,0.7071428571428572,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,-0.0191,0.2163
historical_best_ask_diagnostic,2026-05-21,TelAviv,false_fade_reheat_current_no,current_bracket_no,0.58,0.0,0.19956300000000005,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,mild_or_mixed,0.4697,0.3287
historical_best_ask_diagnostic,2026-05-21,Warsaw,false_fade_reheat_current_no,current_bracket_no,0.43,1.0,0.26,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,balanced_tight,-0.0484,0.1818
historical_best_ask_diagnostic,2026-05-22,Chongqing,capped_d2_no,d2_no,0.664,0.0,0.21432599999999996,0.1393119,1.049035391566265,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2798,0.5787
historical_best_ask_diagnostic,2026-05-22,Helsinki,fresh_runway_current_no,current_bracket_no,0.31,0.0,0.16000000000000003,0.16000000000000003,2.580645161290323,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.2863,0.2556
historical_best_ask_diagnostic,2026-05-22,Istanbul,fresh_runway_current_no,current_bracket_no,0.63,0.0,0.27213824,0.27213824,2.1598273015873013,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2309,0.236
historical_best_ask_diagnostic,2026-05-22,Jeddah,capped_d2_no,d2_no,0.68,1.0,0.22229999999999994,0.14449499999999996,1.0624632352941172,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966
historical_best_ask_diagnostic,2026-05-22,Manila,capped_d2_no,d2_no,0.58,0.0,0.28917000000000004,0.18796050000000003,1.6203491379310349,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404
historical_best_ask_diagnostic,2026-05-22,Munich,capped_d2_no,d2_no,0.55,0.0,0.351,0.26325,2.3931818181818176,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-05-23,Denver,false_fade_reheat_current_no,current_bracket_no,0.67,1.0,0.1677,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,mild_or_mixed,0.3357,0.3654
historical_best_ask_diagnostic,2026-05-23,Istanbul,fresh_runway_current_no,current_bracket_no,0.6,0.0,0.47168,0.47168,3.9306666666666668,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2309,0.236
historical_best_ask_diagnostic,2026-05-23,Lucknow,fresh_runway_current_no,current_bracket_no,0.5,0.0,0.4556800000000001,0.4556800000000001,4.556800000000001,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-1.8403,0.0197
historical_best_ask_diagnostic,2026-05-23,SanFrancisco,fresh_runway_current_no,current_bracket_no,0.63,1.0,0.44454400000000005,0.44454400000000005,3.5281269841269847,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-1.1492,0.1489
historical_best_ask_diagnostic,2026-05-23,Shanghai,fresh_runway_current_no,current_bracket_no,0.55,1.0,0.44928,0.44928,4.084363636363636,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075
historical_best_ask_diagnostic,2026-05-23,Warsaw,fresh_runway_current_no,current_bracket_no,0.69,0.0,0.2416640000000001,0.2416640000000001,1.7511884057971023,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,-0.0484,0.1818
historical_best_ask_diagnostic,2026-05-24,Chengdu,capped_d2_no,d2_no,0.66,1.0,0.20336400000000002,0.13218660000000002,1.0014136363636366,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.0728,0.5084
historical_best_ask_diagnostic,2026-05-24,Lucknow,fresh_runway_current_no,current_bracket_no,0.58,0.0,0.5712,0.5712,4.924137931034483,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-1.8403,0.0197
historical_best_ask_diagnostic,2026-05-24,NYC,fresh_runway_current_no,current_bracket_no,0.61,0.0,0.45619200000000004,0.45619200000000004,3.7392786885245908,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2712,0.156
historical_best_ask_diagnostic,2026-05-24,TelAviv,fresh_runway_current_no,current_bracket_no,0.65,1.0,0.28672000000000003,0.28672000000000003,2.205538461538462,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.4697,0.3287
historical_best_ask_diagnostic,2026-05-25,CapeTown,fresh_runway_current_no,current_bracket_no,0.55,0.0,0.24960000000000002,0.24960000000000002,2.269090909090909,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758
historical_best_ask_diagnostic,2026-05-25,Houston,fresh_runway_current_no,current_bracket_no,0.67,1.0,0.37151999999999996,0.37151999999999996,2.772537313432835,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-0.7775,0.0815
historical_best_ask_diagnostic,2026-05-25,Jeddah,capped_d2_no,d2_no,0.65,0.0,0.252,0.1638,1.2599999999999998,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966
historical_best_ask_diagnostic,2026-05-25,LA,fresh_runway_current_no,current_bracket_no,0.7,1.0,0.3600000000000001,0.3600000000000001,2.5714285714285725,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2704,0.1085
historical_best_ask_diagnostic,2026-05-25,TelAviv,fresh_runway_current_no,current_bracket_no,0.23,0.0,0.16000000000000003,0.16000000000000003,3.4782608695652177,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.4697,0.3287
historical_best_ask_diagnostic,2026-05-25,Tokyo,fresh_runway_current_no,current_bracket_no,0.63,0.0,0.34790400000000005,0.34790400000000005,2.7611428571428576,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,-0.0899,0.1384
historical_best_ask_diagnostic,2026-05-25,Wuhan,false_fade_reheat_current_no,current_bracket_no,0.47,0.0,0.19387680000000004,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,mild_or_mixed,0.1514,0.2753
historical_best_ask_diagnostic,2026-05-26,Chongqing,fresh_runway_current_no,current_bracket_no,0.44,1.0,0.2688000000000001,0.2688000000000001,3.0545454545454556,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2798,0.5787
historical_best_ask_diagnostic,2026-05-26,Guangzhou,fresh_runway_current_no,current_bracket_no,0.67,1.0,0.297216,0.297216,2.218029850746268,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.5786,0.4242
historical_best_ask_diagnostic,2026-05-26,Shanghai,fresh_runway_current_no,current_bracket_no,0.55,1.0,0.38937600000000006,0.38937600000000006,3.5397818181818184,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075
historical_best_ask_diagnostic,2026-05-26,TelAviv,fresh_runway_current_no,current_bracket_no,0.7,1.0,0.3600000000000001,0.3600000000000001,2.5714285714285725,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.4697,0.3287
historical_best_ask_diagnostic,2026-05-27,Beijing,fresh_runway_current_no,current_bracket_no,0.67,0.0,0.33024,0.33024,2.464477611940298,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,0.176,0.3596
historical_best_ask_diagnostic,2026-05-27,Manila,fresh_runway_current_no,current_bracket_no,0.639,0.0,0.26919936,0.26919936,2.1064112676056337,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404
historical_best_ask_diagnostic,2026-05-27,Miami,fresh_runway_current_no,current_bracket_no,0.69,1.0,0.28697600000000006,0.28697600000000006,2.0795362318840587,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,0.1286,0.2239
historical_best_ask_diagnostic,2026-05-27,SaoPaulo,false_fade_reheat_current_no,current_bracket_no,0.35,0.0,0.36607999999999996,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,mild_or_mixed,-0.0191,0.2163
historical_best_ask_diagnostic,2026-05-27,Shanghai,fresh_runway_current_no,current_bracket_no,0.57,1.0,0.3956736000000001,0.3956736000000001,3.4708210526315804,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075
historical_best_ask_diagnostic,2026-05-28,Ankara,fresh_runway_current_no,current_bracket_no,0.5,0.0,0.4556800000000001,0.4556800000000001,4.556800000000001,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.7653,0.441
historical_best_ask_diagnostic,2026-05-28,Beijing,false_fade_reheat_current_no,current_bracket_no,0.29,1.0,0.65,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,cold_overforecast_noisy,0.176,0.3596
historical_best_ask_diagnostic,2026-05-28,BuenosAires,fresh_runway_current_no,current_bracket_no,0.57,1.0,0.33161216000000004,0.33161216000000004,2.908878596491229,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6053,0.4747
historical_best_ask_diagnostic,2026-05-28,Busan,fresh_runway_current_no,current_bracket_no,0.58,1.0,0.35642880000000005,0.35642880000000005,3.072662068965518,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.4813,0.1067
historical_best_ask_diagnostic,2026-05-28,Chongqing,cheap_stale_tail_current_no,current_bracket_no,0.29,0.0,0.058499999999999996,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,hot_underforecast_clean,1.2798,0.5787
historical_best_ask_diagnostic,2026-05-28,Jeddah,fresh_runway_current_no,current_bracket_no,0.393,1.0,0.32000000000000006,0.32000000000000006,4.071246819338423,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966
historical_best_ask_diagnostic,2026-05-28,Karachi,capped_d2_no,d2_no,0.64,1.0,0.24094799999999997,0.15661619999999998,1.2235640625,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-05-28,Manila,fresh_runway_current_no,current_bracket_no,0.48,0.0,0.4303872000000001,0.4303872000000001,4.483200000000001,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404
historical_best_ask_diagnostic,2026-05-28,Miami,false_fade_reheat_current_no,current_bracket_no,0.67,1.0,0.20928960000000002,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,balanced_tight,0.1286,0.2239
historical_best_ask_diagnostic,2026-05-28,Munich,capped_d2_no,d2_no,0.64,1.0,0.26189999999999997,0.19642499999999996,1.5345703124999996,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-05-28,NYC,fresh_runway_current_no,current_bracket_no,0.48,0.0,0.18680000000000002,0.18680000000000002,1.9458333333333337,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2712,0.156
historical_best_ask_diagnostic,2026-05-28,Wellington,false_fade_reheat_current_no,current_bracket_no,0.44,1.0,0.45759999999999995,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,hot_underforecast_clean,1.181,0.6096
historical_best_ask_diagnostic,2026-05-29,CapeTown,fresh_runway_current_no,current_bracket_no,0.53,1.0,0.52736,0.52736,4.9750943396226415,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758
historical_best_ask_diagnostic,2026-05-29,Chengdu,capped_d2_no,d2_no,0.7,1.0,0.18225000000000005,0.11846250000000004,0.8461607142857147,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.0728,0.5084
historical_best_ask_diagnostic,2026-05-29,Istanbul,false_fade_reheat_current_no,current_bracket_no,0.659,1.0,0.3230396,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,cold_overforecast_noisy,-0.2309,0.236
historical_best_ask_diagnostic,2026-05-29,LA,fresh_runway_current_no,current_bracket_no,0.59,0.0,0.4428800000000001,0.4428800000000001,3.7532203389830516,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2704,0.1085
historical_best_ask_diagnostic,2026-05-29,SaoPaulo,fresh_runway_current_no,current_bracket_no,0.55,0.0,0.234624,0.234624,2.1329454545454545,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,-0.0191,0.2163
historical_best_ask_diagnostic,2026-05-29,Seattle,cheap_stale_tail_current_no,current_bracket_no,0.25,1.0,0.06599999999999999,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,hot_underforecast_clean,0.7865,0.4101
historical_best_ask_diagnostic,2026-05-29,Warsaw,capped_d2_no,d2_no,0.69,0.0,0.19540800000000003,0.19540800000000003,1.4160000000000004,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,-0.0484,0.1818
