policy,rows_seen,traded_rows,dates,cities,wins,win_rate,avg_ask,avg_weight,cost_usd,pnl_usd,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,worst_day_pnl_usd,best_day_pnl_usd,evidence_layer,window,router_route
v4_executable_min5,37,1,1,1,0,0.0,0.29,0.29250000000000004,1.4625000000000001,-1.4625000000000001,-1.0,,,1,-1.4625000000000001,-1.4625000000000001,frozen_live_like_route_price,all,capped_d2_no
v4_executable_min5,8,0,0,0,0,,,,0.0,0.0,,,,0,,,frozen_live_like_route_price,all,cheap_stale_tail_current_no
v4_executable_min5,28,0,0,0,0,,,,0.0,0.0,,,,0,,,frozen_live_like_route_price,all,false_fade_reheat_current_no
v4_executable_min5,90,64,29,24,27,0.421875,0.35254687500000004,0.5681744,181.81580800000003,72.99981314691415,0.40150421434705025,-0.03589535635265217,0.8473986701116041,11,-11.152000000000003,24.12506459948321,frozen_live_like_route_price,all,fresh_runway_current_no
v4_executable_min5,3,1,1,1,0,0.0,0.29,0.29250000000000004,1.4625000000000001,-1.4625000000000001,-1.0,,,1,-1.4625000000000001,-1.4625000000000001,frozen_live_like_route_price,forward_2026-06-21_plus,capped_d2_no
v4_executable_min5,2,0,0,0,0,,,,0.0,0.0,,,,0,,,frozen_live_like_route_price,forward_2026-06-21_plus,cheap_stale_tail_current_no
v4_executable_min5,3,0,0,0,0,,,,0.0,0.0,,,,0,,,frozen_live_like_route_price,forward_2026-06-21_plus,false_fade_reheat_current_no
v4_executable_min5,6,3,3,3,2,0.6666666666666666,0.4033333333333333,0.5339818666666668,8.009728000000003,4.000000605200947,0.4993928139883084,-1.0,1.2222222222222223,1,-2.4960000000000004,3.5982222222222227,frozen_live_like_route_price,forward_2026-06-21_plus,fresh_runway_current_no
v4_executable_min5,34,0,0,0,0,,,,0.0,0.0,,,,0,,,frozen_live_like_route_price,train_to_2026_06_20,capped_d2_no
v4_executable_min5,6,0,0,0,0,,,,0.0,0.0,,,,0,,,frozen_live_like_route_price,train_to_2026_06_20,cheap_stale_tail_current_no
v4_executable_min5,25,0,0,0,0,,,,0.0,0.0,,,,0,,,frozen_live_like_route_price,train_to_2026_06_20,false_fade_reheat_current_no
v4_executable_min5,84,61,26,22,25,0.4098360655737705,0.35004918032786886,0.5698560000000003,173.80608000000007,68.9998125417132,0.39699308874415196,-0.06368102890397549,0.8450410112191473,10,-11.152000000000003,24.12506459948321,frozen_live_like_route_price,train_to_2026_06_20,fresh_runway_current_no
v4_executable_min5,84,1,1,1,0,0.0,0.29,0.29250000000000004,1.4625000000000001,-1.4625000000000001,-1.0,,,1,-1.4625000000000001,-1.4625000000000001,historical_best_ask_diagnostic,all,capped_d2_no
v4_executable_min5,9,0,0,0,0,,,,0.0,0.0,,,,0,,,historical_best_ask_diagnostic,all,cheap_stale_tail_current_no
v4_executable_min5,31,0,0,0,0,,,,0.0,0.0,,,,0,,,historical_best_ask_diagnostic,all,false_fade_reheat_current_no
v4_executable_min5,148,63,30,23,29,0.4603174603174603,0.3462222222222222,0.5709657396825398,179.85420800000003,99.56175455333877,0.5535692250989133,0.08645884803751246,0.9926284388683556,10,-9.201600000000003,28.00441625557905,historical_best_ask_diagnostic,all,fresh_runway_current_no
v4_executable_min5,11,0,0,0,0,,,,0.0,0.0,,,,0,,,historical_best_ask_diagnostic,all,pullback_uncertain_current_high_yes
v4_executable_min5,8,1,1,1,0,0.0,0.29,0.29250000000000004,1.4625000000000001,-1.4625000000000001,-1.0,,,1,-1.4625000000000001,-1.4625000000000001,historical_best_ask_diagnostic,forward_2026-06-21_plus,capped_d2_no
v4_executable_min5,2,0,0,0,0,,,,0.0,0.0,,,,0,,,historical_best_ask_diagnostic,forward_2026-06-21_plus,cheap_stale_tail_current_no
v4_executable_min5,4,0,0,0,0,,,,0.0,0.0,,,,0,,,historical_best_ask_diagnostic,forward_2026-06-21_plus,false_fade_reheat_current_no
v4_executable_min5,14,3,3,3,2,0.6666666666666666,0.3566666666666667,0.5211818666666669,7.8177280000000025,6.527197737817437,0.8349225935997562,-1.0,2.225806451612903,1,-2.4960000000000004,6.125419354838712,historical_best_ask_diagnostic,forward_2026-06-21_plus,fresh_runway_current_no
v4_executable_min5,3,0,0,0,0,,,,0.0,0.0,,,,0,,,historical_best_ask_diagnostic,forward_2026-06-21_plus,pullback_uncertain_current_high_yes
v4_executable_min5,76,0,0,0,0,,,,0.0,0.0,,,,0,,,historical_best_ask_diagnostic,train_to_2026_06_20,capped_d2_no
v4_executable_min5,7,0,0,0,0,,,,0.0,0.0,,,,0,,,historical_best_ask_diagnostic,train_to_2026_06_20,cheap_stale_tail_current_no
v4_executable_min5,27,0,0,0,0,,,,0.0,0.0,,,,0,,,historical_best_ask_diagnostic,train_to_2026_06_20,false_fade_reheat_current_no
v4_executable_min5,134,60,27,21,27,0.45,0.3457,0.5734549333333334,172.03648000000004,93.03455681552131,0.5407838896466685,0.07628262017384646,1.0078868925600115,9,-9.201600000000003,28.00441625557905,historical_best_ask_diagnostic,train_to_2026_06_20,fresh_runway_current_no
v4_executable_min5,8,0,0,0,0,,,,0.0,0.0,,,,0,,,historical_best_ask_diagnostic,train_to_2026_06_20,pullback_uncertain_current_high_yes
