strategy,decision_hour_local,trades,city_days,cities,cost,pnl,avg_entry_cost,median_entry_cost,median_best_ask_size,win_rate,roi
below_running_max_buy_no,20,15,13,4,2.322,12.678,0.1548,0.01,190.0,1.0,5.459948320413437
below_running_max_buy_no,21,8,7,4,1.111,6.889,0.138875,0.007,262.595,1.0,6.200720072007201
observed_bucket_buy_yes,20,23,23,11,10.778,11.222,0.46860869565217395,0.064,106.0,0.9565217391304348,1.0411950269066617
observed_bucket_buy_yes,21,14,14,9,7.892,5.108,0.5637142857142857,0.9395,38.5,0.9285714285714286,0.6472377090724784
below_running_max_buy_no,ALL,23,13,4,3.433,19.567,0.1492608695652174,0.01,190.0,1.0,5.6996795805418
observed_bucket_buy_yes,ALL,37,26,13,18.669999999999998,16.33,0.5045945945945945,0.85,56.83,0.9459459459459459,0.8746652383502946
