ask_floor,scope,city,target_date,first_hour,first_expression,first_side,first_ask,first_p_win,first_model_edge,first_win,first_cost_gross,first_pnl_gross,first_cost_taker,first_pnl_taker,has_opposite,reverse_hour,reverse_expression,reverse_side,reverse_ask,reverse_p_win,reverse_model_edge,reverse_win,same_bracket_proxy,transition,replace_cost_gross,replace_pnl_gross,replace_cost_taker,replace_pnl_taker,add_cost_gross,add_pnl_gross,add_cost_taker,add_pnl_taker,close_only_cost_gross,close_only_pnl_gross,close_only_cost_taker,close_only_pnl_taker,close_plus_reverse_cost_gross,close_plus_reverse_pnl_gross,close_plus_reverse_cost_taker,close_plus_reverse_pnl_taker
0.0,dev_cv,TelAviv,2026-06-11,10.0,d2_no,NO,0.6,0.6515713010319154,0.0515713010319154,0.0,0.6,-0.6,0.612,-0.612,True,14.0,current_yes,YES,0.9,0.9303725291003196,0.0303725291003195,1.0,False,d2_no->current_yes,0.9,0.0999999999999999,0.9045,0.09549999999999989,1.5,-0.5000000000000001,1.5165,-0.5165000000000001,0.6,-0.6,0.612,-0.612,0.6,-0.6,0.612,-0.612
0.0,dev_cv,TelAviv,2026-06-12,10.0,d2_no,NO,0.47,0.4912060652859444,0.0212060652859444,0.0,0.47,-0.47,0.48245499999999997,-0.48245499999999997,True,13.0,current_yes,YES,0.78,0.8145277201629146,0.0345277201629146,1.0,False,d2_no->current_yes,0.78,0.2199999999999999,0.7885800000000001,0.21141999999999989,1.25,-0.2500000000000001,1.271035,-0.2710350000000001,0.47,-0.47,0.48245499999999997,-0.48245499999999997,0.47,-0.47,0.48245499999999997,-0.48245499999999997
0.0,dev_cv,TelAviv,2026-06-13,12.0,d1_no,NO,0.15,0.1930258718926352,0.0430258718926352,0.0,0.15,-0.15,0.156375,-0.156375,False,,,,,,,,False,,0.15,-0.15,0.156375,-0.156375,0.15,-0.15,0.156375,-0.156375,0.15,-0.15,0.156375,-0.156375,0.15,-0.15,0.156375,-0.156375
0.0,dev_cv,TelAviv,2026-06-14,12.0,current_no,NO,0.74,0.7629753302695504,0.0229753302695504,1.0,0.74,0.26,0.74962,0.25038,False,,,,,,,,False,,0.74,0.26,0.74962,0.25038,0.74,0.26,0.74962,0.25038,0.74,0.26,0.74962,0.25038,0.74,0.26,0.74962,0.25038
0.0,dev_cv,TelAviv,2026-06-15,12.0,d1_no,NO,0.48,0.5337761399892349,0.0537761399892349,1.0,0.48,0.52,0.49248,0.50752,False,,,,,,,,False,,0.48,0.52,0.49248,0.50752,0.48,0.52,0.49248,0.50752,0.48,0.52,0.49248,0.50752,0.48,0.52,0.49248,0.50752
0.0,dev_cv,TelAviv,2026-06-16,12.0,d2_no,NO,0.83,0.8584128645570858,0.0284128645570858,1.0,0.83,0.17,0.837055,0.162945,False,,,,,,,,False,,0.83,0.17,0.837055,0.162945,0.83,0.17,0.837055,0.162945,0.83,0.17,0.837055,0.162945,0.83,0.17,0.837055,0.162945
0.0,dev_cv,TelAviv,2026-06-17,11.0,current_yes,YES,0.27,0.3562301115600575,0.0862301115600575,0.0,0.27,-0.27,0.279855,-0.279855,False,,,,,,,,False,,0.27,-0.27,0.279855,-0.279855,0.27,-0.27,0.279855,-0.279855,0.27,-0.27,0.279855,-0.279855,0.27,-0.27,0.279855,-0.279855
0.0,dev_cv,TelAviv,2026-06-18,10.0,d1_no,NO,0.61,0.66747541478243,0.05747541478243,1.0,0.61,0.39,0.621895,0.378105,False,,,,,,,,False,,0.61,0.39,0.621895,0.378105,0.61,0.39,0.621895,0.378105,0.61,0.39,0.621895,0.378105,0.61,0.39,0.621895,0.378105
0.0,dev_cv,TelAviv,2026-06-19,10.0,d2_no,NO,0.43,0.4652952790873783,0.0352952790873783,0.0,0.43,-0.43,0.442255,-0.442255,False,,,,,,,,False,,0.43,-0.43,0.442255,-0.442255,0.43,-0.43,0.442255,-0.442255,0.43,-0.43,0.442255,-0.442255,0.43,-0.43,0.442255,-0.442255
0.0,dev_cv,TelAviv,2026-06-20,11.0,d1_no,NO,0.43,0.514783759601055,0.084783759601055,0.0,0.43,-0.43,0.442255,-0.442255,False,,,,,,,,False,,0.43,-0.43,0.442255,-0.442255,0.43,-0.43,0.442255,-0.442255,0.43,-0.43,0.442255,-0.442255,0.43,-0.43,0.442255,-0.442255
