label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,top5_removed_roi,avg_shares
all_headA_denominator,full,476,53.0,48.0,0.13655462184873948,0.1050997899159664,0.9001778265756303,0.0,428.48464545,113.51535454999998,0.2649228058820748,-0.03617344762360732,0.5973728749717054,25.0,16.0,-12.82579705,-1.0,0.16943028529293191,7.65546218487395
all_headA_denominator,train_le_2026_06_20,383,44.0,48.0,0.13054830287206268,0.10471148825065274,0.8957906311357704,0.0,343.08781172500005,72.91218827499998,0.21251757067208873,-0.13615623395082183,0.6214429583026193,22.0,16.0,-12.82579705,-1.0,0.09149192734631978,7.650130548302872
all_headA_denominator,recent_ge_2026_06_21,93,9.0,35.0,0.16129032258064516,0.1066989247311828,0.9182455239247311,0.0,85.396833725,40.60316627499999,0.47546454012279593,0.06034735779014354,0.9791129499450619,3.0,0.0,-2.4806554,-0.1987600266569334,-0.004827515921033727,7.67741935483871
all_headA_denominator,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
current_live_hot_dist_gt0,full,333,53.0,47.0,0.15015015015015015,0.10407957957957958,0.8850003490990991,0.0,294.70511625,123.29488375,0.4183669605702001,0.10665506460761073,0.7630413743495473,19.0,16.0,-11.037585,-1.0,0.28273762421471893,7.60960960960961
current_live_hot_dist_gt0,train_le_2026_06_20,275,44.0,46.0,0.14545454545454545,0.1051509090909091,0.8988106821818183,0.0,247.1729376,86.8270624,0.3512806185137964,-0.0008053250059427866,0.7641134404618669,18.0,15.0,-11.037585,-1.0,0.18652589086227245,7.658181818181818
current_live_hot_dist_gt0,recent_ge_2026_06_21,58,9.0,28.0,0.1724137931034483,0.099,0.8195203215517243,0.0,47.532178650000006,36.467821349999994,0.7672238552019326,0.31739456109401154,1.3387156726271483,1.0,1.0,-4.2643981250000005,-1.0,-0.08439214331853122,7.379310344827586
current_live_hot_dist_gt0,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
forecast_core_adj_dist_-0p5_to_1,full,298,52.0,47.0,0.1476510067114094,0.10651174496644297,0.913613088590604,0.0,272.2567004,107.74329959999999,0.39574159035095685,0.05028305495102396,0.7847706499271144,19.0,18.0,-10.917274875,-1.0,0.24792956950524592,7.691275167785235
forecast_core_adj_dist_-0p5_to_1,train_le_2026_06_20,248,44.0,46.0,0.14516129032258066,0.1070241935483871,0.9206249136088711,0.0,228.31497857500003,79.685021425,0.3490135510264999,-0.04738336525061071,0.7966646356460948,18.0,17.0,-10.917274875,-1.0,0.17008777502901648,7.717741935483871
forecast_core_adj_dist_-0p5_to_1,recent_ge_2026_06_21,50,8.0,28.0,0.16,0.10397000000000002,0.8788344365,0.0,43.941721825,28.058278175,0.6385338810059248,0.17384507308558422,1.0711487657199776,1.0,1.0,-4.2643981250000005,-1.0,-0.32825203533563074,7.56
forecast_core_adj_dist_-0p5_to_1,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
forecast_core_raw_dist_0_to_1,full,224,52.0,41.0,0.14732142857142858,0.10682812499999998,0.9208674044642857,0.0,206.2742986,77.72570139999999,0.376807493359718,0.0033890083992055057,0.7727197641369312,24.0,23.0,-8.450112625000001,-1.0,0.18064388181023927,7.714285714285714
forecast_core_raw_dist_0_to_1,train_le_2026_06_20,183,43.0,39.0,0.14207650273224043,0.10821038251366118,0.9383228610655737,0.0,171.71308357499998,54.28691642500001,0.31614898116536844,-0.10410163370458207,0.7930467316040812,21.0,20.0,-8.450112625000001,-1.0,0.07555977902485622,7.770491803278689
forecast_core_raw_dist_0_to_1,recent_ge_2026_06_21,41,9.0,24.0,0.17073170731707318,0.10065853658536585,0.8429564640243903,0.0,34.561215025,23.438784974999997,0.6781817409499479,0.108245075927868,1.4602625064076797,3.0,3.0,-2.3731025,-1.0,-0.552871020487109,7.463414634146342
forecast_core_raw_dist_0_to_1,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
station_hot_bias_or_tail_rate,full,319,53.0,41.0,0.14733542319749215,0.10444200626959248,0.889814867476489,0.0,283.850942725,108.14905727499999,0.38100651080020115,0.07517790706117317,0.7266837030864159,20.0,17.0,-10.481716425,-1.0,0.23898569465568223,7.617554858934169
station_hot_bias_or_tail_rate,train_le_2026_06_20,265,44.0,41.0,0.14339622641509434,0.10564716981132075,0.9046111939622641,0.0,239.72196639999999,76.2780336,0.31819375898461677,-0.03415446278669648,0.7191530735092446,19.0,16.0,-10.481716425,-1.0,0.1470299842227664,7.667924528301887
station_hot_bias_or_tail_rate,recent_ge_2026_06_21,54,9.0,24.0,0.16666666666666666,0.09852777777777778,0.8172032652777779,0.0,44.128976325000004,31.871023675000004,0.7222244051227718,0.24459909313361794,1.359647569326704,1.0,1.0,-4.2643981250000005,-1.0,-0.2203801532317612,7.37037037037037
station_hot_bias_or_tail_rate,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
pcal_no_city_ev_ge_0p20,full,298,53.0,45.0,0.1476510067114094,0.10525838926174497,0.903973786409396,0.0,269.38418835,104.61581165,0.3883517154098031,0.05938028638708528,0.7483676757620373,21.0,19.0,-10.5667725,-1.0,0.2386955253303775,7.6644295302013425
pcal_no_city_ev_ge_0p20,train_le_2026_06_20,246,44.0,44.0,0.15040650406504066,0.10667682926829268,0.9217346021341463,0.0,226.746712125,87.25328787499998,0.3848050851864143,0.002025689315572239,0.8190662405325438,19.0,17.0,-10.5667725,-1.0,0.20587583762129769,7.723577235772358
pcal_no_city_ev_ge_0p20,recent_ge_2026_06_21,52,9.0,26.0,0.1346153846153846,0.09854807692307693,0.8199514658653846,0.0,42.637476225,17.362523774999993,0.4072127459743894,-0.04272737864495505,0.9600590346653017,2.0,2.0,-4.2643981250000005,-1.0,-0.6514003236290459,7.384615384615385
pcal_no_city_ev_ge_0p20,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
pcal_no_city_ev_ge_0p50,full,110,46.0,22.0,0.14545454545454545,0.10384090909090911,0.892631684090909,0.0,98.18948524999999,39.810514749999996,0.4054458035770179,-0.23747349323641243,1.1247790825876256,34.0,34.0,-4.2979053,-1.0,-0.018260529853772807,7.5636363636363635
pcal_no_city_ev_ge_0p50,train_le_2026_06_20,94,39.0,21.0,0.1595744680851064,0.10646808510638299,0.9224343914893617,0.0,86.7088328,43.29116719999999,0.4992705564363218,-0.21541922486651732,1.264329463642709,28.0,28.0,-4.2979053,-1.0,0.023591699261419526,7.638297872340425
pcal_no_city_ev_ge_0p50,recent_ge_2026_06_21,16,7.0,9.0,0.0625,0.08840624999999999,0.7175407781250001,0.0,11.480652450000001,-3.4806524499999996,-0.3031754915636349,-1.0,1.9609841756215227,6.0,6.0,-3.338462325,-1.0,-1.0,7.125
pcal_no_city_ev_ge_0p50,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
book_feasible_hot,full,212,41.0,44.0,0.1179245283018868,0.09922877358490564,0.824609752476415,0.0,174.81726752499998,31.182732475,0.17837329753790296,-0.1483613862586841,0.5342845231526955,20.0,19.0,-9.630851999999999,-1.0,-0.06441126623592627,7.452830188679245
book_feasible_hot,train_le_2026_06_20,172,32.0,41.0,0.09883720930232558,0.09887790697674417,0.8200997104651161,0.0,141.05715019999997,-5.057150200000002,-0.03585178201055138,-0.38494430113749994,0.33622925704177775,18.0,17.0,-9.630851999999999,-1.0,-0.3515243335192936,7.453488372093023
book_feasible_hot,recent_ge_2026_06_21,40,9.0,23.0,0.2,0.10073750000000001,0.8440029331250001,0.0,33.760117325,36.239882675000004,1.073452509839582,0.3810850362921869,2.089059356367551,2.0,2.0,-3.918805625,-1.0,-0.1298838950786592,7.45
book_feasible_hot,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
book_attention_thin_or_missing_hot,full,121,41.0,37.0,0.2066115702479339,0.11257851239669421,0.9908086671487605,0.0,119.88784872500001,92.112151275,0.7683193272262964,0.22131900266165375,1.3400366612229782,22.0,21.0,-4.7638447,-1.0,0.44887987922711514,7.884297520661157
book_attention_thin_or_missing_hot,train_le_2026_06_20,103,33.0,35.0,0.22330097087378642,0.11562621359223299,1.030250363106796,0.0,106.1157874,91.8842126,0.8658863572641218,0.2597045367285128,1.500483445646884,16.0,15.0,-4.7638447,-1.0,0.5096117916078964,8.0
book_attention_thin_or_missing_hot,recent_ge_2026_06_21,18,8.0,11.0,0.1111111111111111,0.0951388888888889,0.7651145180555556,0.0,13.772061325000001,0.2279386749999997,0.016550803080307926,-1.0,0.8165572380155477,6.0,6.0,-2.14747,-1.0,-1.0,7.222222222222222
book_attention_thin_or_missing_hot,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
regime_score_ge4_hot,full,8,7.0,8.0,0.125,0.1024375,0.8534700500000001,0.0,6.827760400000001,-0.8277604000000003,-0.12123454127066324,-1.0,3.141804240337763,6.0,6.0,-2.8337475,-1.0,-1.0,7.5
regime_score_ge4_hot,train_le_2026_06_20,7,6.0,7.0,0.14285714285714285,0.10621428571428572,0.9072418857142858,0.0,6.3506932,-0.35069320000000015,-0.05522124734351836,-1.0,3.6950076106073366,5.0,5.0,-2.8337475,-1.0,-1.0,7.714285714285714
regime_score_ge4_hot,recent_ge_2026_06_21,1,1.0,1.0,0.0,0.076,0.47706719999999997,0.0,0.47706719999999997,-0.47706719999999997,-1.0,,,1.0,1.0,-0.47706719999999997,-1.0,,6.0
regime_score_ge4_hot,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
regime_score_ge5_hot,full,5,5.0,5.0,0.2,0.11120000000000001,0.9565571399999999,0.0,4.7827857,1.2172142999999997,0.2544990255365194,-1.0,5.431681950754862,4.0,4.0,-1.97695,-1.0,,7.6
regime_score_ge5_hot,train_le_2026_06_20,5,5.0,5.0,0.2,0.11120000000000001,0.9565571399999999,0.0,4.7827857,1.2172142999999997,0.2544990255365194,-1.0,5.431681950754862,4.0,4.0,-1.97695,-1.0,,7.6
regime_score_ge5_hot,recent_ge_2026_06_21,0,,,,,,,,,,,,,,,,,
regime_score_ge5_hot,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
regime_not_capped_busted_hot,full,0,,,,,,,,,,,,,,,,,
regime_not_capped_busted_hot,train_le_2026_06_20,0,,,,,,,,,,,,,,,,,
regime_not_capped_busted_hot,recent_ge_2026_06_21,0,,,,,,,,,,,,,,,,,
regime_not_capped_busted_hot,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
regime_open_or_marginal_hot,full,0,,,,,,,,,,,,,,,,,
regime_open_or_marginal_hot,train_le_2026_06_20,0,,,,,,,,,,,,,,,,,
regime_open_or_marginal_hot,recent_ge_2026_06_21,0,,,,,,,,,,,,,,,,,
regime_open_or_marginal_hot,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
regime_humid_lightwind_hot,full,0,,,,,,,,,,,,,,,,,
regime_humid_lightwind_hot,train_le_2026_06_20,0,,,,,,,,,,,,,,,,,
regime_humid_lightwind_hot,recent_ge_2026_06_21,0,,,,,,,,,,,,,,,,,
regime_humid_lightwind_hot,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
forecast_model_disagreement_hot,full,7,6.0,5.0,0.0,0.11107142857142857,1.0134910714285714,0.0,7.0944375,-7.0944375,-1.0,-1.0,-1.0,6.0,6.0,-2.0284875,-1.0,-1.0,8.285714285714286
forecast_model_disagreement_hot,train_le_2026_06_20,7,6.0,5.0,0.0,0.11107142857142857,1.0134910714285714,0.0,7.0944375,-7.0944375,-1.0,-1.0,-1.0,6.0,6.0,-2.0284875,-1.0,-1.0,8.285714285714286
forecast_model_disagreement_hot,recent_ge_2026_06_21,0,,,,,,,,,,,,,,,,,
forecast_model_disagreement_hot,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,,,
composite_core_plus_attention,full,111,41.0,37.0,0.1891891891891892,0.11505405405405406,1.0212428862612613,0.0,113.357960375,72.642039625,0.640819924641309,-0.007709510288495707,1.3340488565963113,25.0,25.0,-10.917274875,-1.0,0.29178567039324227,7.981981981981982
composite_core_plus_attention,train_le_2026_06_20,96,33.0,35.0,0.20833333333333334,0.11720833333333332,1.0500121705729166,0.0,100.801168375,77.198831625,0.7658525478375934,0.043291100842447736,1.5133853599524398,18.0,18.0,-10.917274875,-1.0,0.38044339618102524,8.0625
