label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,top5_removed_roi,avg_shares,slice_type,slice_value
feasible,full,212,41,44,0.1179245283018868,0.09922877358490564,0.824609752476415,0.0,174.81726752499998,31.182732475,0.17837329753790296,-0.1483613862586841,0.5342845231526955,20,19,-9.630851999999999,-1.0,-0.06441126623592627,7.452830188679245,book_state_v1,feasible
missing,full,62,17,29,0.22580645161290322,0.1072983870967742,0.9300616278225807,0.0,57.663820925,60.336179075,1.0463437577866332,0.18730275163685942,1.8699671144555918,8,7,-3.670034875,-1.0,0.3815683248911026,7.709677419354839,book_state_v1,missing
thin_wide,full,59,28,24,0.1864406779661017,0.11812711864406779,1.0546445389830508,0.0,62.2240278,31.7759722,0.5106704487554886,-0.1976084770518037,1.2635521529875438,18,18,-4.7638447,-1.0,-0.17607836871411675,8.067796610169491,book_state_v1,thin_wide
0..0.25,full,49,33,26,0.12244897959183673,0.10732653061224488,0.920187630612245,0.0,45.089193900000005,4.910806099999997,0.10891314914370195,-0.6560697939139445,1.0448597743393098,27,27,-4.338117824999999,-1.0,-0.8436006122126308,7.714285714285714,raw_dist_band,0..0.25
0.25..0.5,full,64,31,29,0.15625,0.1059765625,0.9161736773437501,0.0,58.63511535000001,27.36488465,0.46669789061820266,-0.20527594213201317,1.151866835766769,21,21,-4.04108,-1.0,-0.27520797738474145,7.71875,raw_dist_band,0.25..0.5
0.5..1,full,111,47,34,0.15315315315315314,0.10709909909909908,0.9238737779279281,0.0,102.54998935000002,45.45001065,0.44319858966421233,-0.0963947107350226,1.0029188665105384,31,31,-5.8270231,-1.0,0.042696158998400846,7.711711711711712,raw_dist_band,0.5..1
>1,full,109,46,28,0.1559633027522936,0.09843119266055046,0.8112919050458713,0.0,88.43081764999998,45.569182349999984,0.5153088432401257,-0.13585648294469796,1.1958060865353806,32,32,-6.923685,-1.0,0.04652486668557212,7.394495412844036,raw_dist_band,>1
-0.5..0,full,116,48,31,0.12931034482758622,0.1091594827586207,0.9394854433189654,0.0,108.980311425,21.019688574999996,0.1928760186142953,-0.33331530822929484,0.7437915673937565,34,34,-5.7853731,-1.0,-0.20118704743060284,7.724137931034483,adj_dist_band,-0.5..0
0..0.5,full,128,49,38,0.171875,0.11317578125000001,1.002499876953125,0.0,128.31998425,73.68001575,0.574189719400624,-0.05149785932783908,1.3188445914210476,31,31,-7.267839499999999,-1.0,0.2613973448170948,8.0,adj_dist_band,0..0.5
0.5..1,full,53,33,24,0.1320754716981132,0.08417924528301889,0.6390785797169812,0.0,33.87116472500001,14.128835274999998,0.41713461552657,-0.4759442638468739,1.6063511833974151,26,26,-3.2873075,-1.0,-0.605585580330428,6.867924528301887,adj_dist_band,0.5..1
<-0.5,full,30,23,13,0.13333333333333333,0.08721666666666669,0.6868516575,0.0,20.605549725,5.394450275,0.26179598928414416,-0.742092193828902,1.8674810055090458,19,19,-3.4240291000000003,-1.0,-1.0,7.066666666666666,adj_dist_band,<-0.5
