label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,top5_removed_roi,avg_shares,slice_type,slice_value,expression
higher_plus_yes,full,158,40,38,0.0189873417721519,0.030506329113924046,0.2502621518987342,0.0,39.54142,-15.54142,-0.3930415245582986,-1.0,0.2583105587451929,38,37,-6.2791319,-1.0,-1.0,8.0,book_state_v1,feasible,higher_plus_yes
next_hotter_yes,full,203,41,41,0.20689655172413793,0.18513793103448276,1.526974406896552,0.0,309.97580460000006,26.024195399999993,0.08395557012452058,-0.19022053773628098,0.35766640479296763,23,18,-13.513625300000001,-1.0,-0.036350712027241175,8.0,book_state_v1,feasible,next_hotter_yes
selected_plus_next_basket,full,203,41,41,0.32019704433497537,0.14705938017241382,1.1764750413793106,0.0,238.82443340000003,21.175566600000003,0.0886658299510489,-0.09404196557764909,0.26396893084832806,16,12,-5.890625,-1.0,0.013647492627687819,8.0,book_state_v1,feasible,selected_plus_next_basket
selected_yes,full,212,41,44,0.1179245283018868,0.09922877358490564,0.8289837061320755,0.0,175.7445457,24.2554543,0.1380154030009251,-0.18372317209675174,0.50204038951694,20,19,-8.4327916,-1.0,-0.07593646050161282,8.0,book_state_v1,feasible,selected_yes
two_hotter_yes,full,192,41,41,0.16666666666666666,0.18769010416666665,1.5484412348958332,0.0,297.3007171,-41.3007171,-0.13891899590039705,-0.3766815222536415,0.09463091812134958,26,19,-16.6115034,-1.0,-0.2519600703267246,8.0,book_state_v1,feasible,two_hotter_yes
higher_plus_yes,full,43,15,22,0.046511627906976744,0.07822093023255815,0.6421402534883721,0.0,27.6120309,-11.6120309,-0.4205424418817379,-1.0,0.1268962470170398,13,13,-6.631492199999999,-1.0,-1.0,8.0,book_state_v1,missing,higher_plus_yes
next_hotter_yes,full,53,17,26,0.07547169811320754,0.14556603773584903,1.2057119283018867,0.0,63.902732199999996,-31.902732200000003,-0.49923893864431673,-1.0,9.389353828645869e-05,14,14,-14.9292629,-1.0,-1.0,8.0,book_state_v1,missing,next_hotter_yes
selected_plus_next_basket,full,53,17,26,0.33962264150943394,0.13194360731132074,1.055548858490566,0.0,55.94408949999999,16.055910499999996,0.2869992280417755,0.018798287610227442,0.563325805225473,7,6,-2.31225815,-1.0,-0.02334293495224007,8.0,book_state_v1,missing,selected_plus_next_basket
selected_yes,full,62,17,29,0.22580645161290322,0.1072983870967742,0.8959749274193548,0.0,55.550445499999995,56.44955450000001,1.016185450753946,0.2576201965610039,1.7776603359726408,8,7,-2.9169076,-1.0,0.37472023822618644,8.0,book_state_v1,missing,selected_yes
two_hotter_yes,full,49,16,23,0.22448979591836735,0.17678571428571427,1.4558182224489797,0.0,71.3350929,16.6649071,0.23361443046498084,-0.37635669030997865,0.8687006581138581,8,8,-15.0862955,-1.0,-0.19039138959653273,8.0,book_state_v1,missing,two_hotter_yes
