label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,paired_alt
selected_yes,same_denominator_vs_next_hotter_yes,307,53,44,0.1465798045602606,0.10364495114006515,0.8656485394136808,0.0,265.7541016,94.24589839999999,0.3546357246514083,0.048657411369202985,0.6887146303519094,19,17,-9.68278,-1.0,next_hotter_yes
next_hotter_yes,same_denominator_vs_next_hotter_yes,307,53,44,0.17263843648208468,0.17039902280130292,1.4070637097719871,0.0,431.96855890000006,-7.968558900000005,-0.018447080778961768,-0.2431180716653425,0.20127420078004202,31,23,-15.835365300000001,-1.0,next_hotter_yes
selected_yes,same_denominator_vs_two_hotter_yes,290,53,44,0.15172413793103448,0.10518965517241378,0.8784875006896553,0.0,254.76137520000003,97.2386248,0.3816851150362293,0.06861814440494815,0.7256467860607135,20,18,-9.68278,-1.0,two_hotter_yes
two_hotter_yes,same_denominator_vs_two_hotter_yes,290,53,44,0.1724137931034483,0.18035344827586208,1.4873774189655171,0.0,431.3394515,-31.33945150000001,-0.0726561212776059,-0.289631728706444,0.13856437588324724,31,22,-16.6325009,-1.0,two_hotter_yes
selected_yes,same_denominator_vs_higher_plus_yes,246,52,42,0.15040650406504066,0.10330487804878051,0.8628618048780488,0.0,212.264004,83.735996,0.394489854247732,0.015846334599110914,0.8144444470605732,25,23,-7.97139,-1.0,higher_plus_yes
higher_plus_yes,same_denominator_vs_higher_plus_yes,246,52,42,0.028455284552845527,0.041004065040650406,0.3368243715447154,0.0,82.85879539999999,-26.858795399999998,-0.32415141048502377,-0.6416409039624568,0.0010219200202217869,47,45,-6.631492199999999,-1.0,higher_plus_yes
selected_yes,same_denominator_vs_selected_plus_next_basket,307,53,44,0.1465798045602606,0.10364495114006515,0.8656485394136808,0.0,265.7541016,94.24589839999999,0.3546357246514083,0.048657411369202985,0.6887146303519094,19,17,-9.68278,-1.0,selected_plus_next_basket
selected_plus_next_basket,same_denominator_vs_selected_plus_next_basket,307,53,44,0.31921824104234525,0.14204451557410425,1.136356124592834,0.0,348.86133025000004,43.138669749999984,0.1236556362354236,-0.011829687304184204,0.2570262311810538,15,9,-7.269780000000001,-1.0,selected_plus_next_basket
