checkpoint_hour_local,gamma,rows,dates,wins,market_brier,candidate_brier,brier_delta,brier_delta_ci_low,brier_delta_ci_high,logloss_delta,logloss_delta_ci_low,logloss_delta_ci_high
9,0.0,31,6,3,0.07175895967741937,0.07175895967741937,0.0,0.0,0.0,0.0,0.0,0.0
9,0.25,31,6,3,0.07175895967741937,0.07101962195856727,-0.0007393377188521149,-0.005184383327678919,0.0019015190079782762,-0.004734867371247942,-0.0178047453403526,0.003011928389877272
9,0.5,31,6,3,0.07175895967741937,0.07048332449828819,-0.0012756351791311559,-0.010028043306415024,0.003943936056513777,-0.007253655950963017,-0.03221936411200098,0.0071716995822326485
9,1.0,31,6,3,0.07175895967741937,0.06990920142071676,-0.0018497582567026055,-0.018708787989635805,0.00842207694778584,-0.009595830080841921,-0.05373375986494694,0.016205638400975084
12,0.0,32,6,3,0.057607078124999996,0.057607078124999996,0.0,0.0,0.0,0.0,0.0,0.0
12,0.25,32,6,3,0.057607078124999996,0.05585632065558144,-0.0017507574694185584,-0.004371690090541145,0.0002521293022267421,-0.00464058265448895,-0.011297044152698306,0.0008524184584728429
12,0.5,32,6,3,0.057607078124999996,0.05426661412560164,-0.0033404639993983663,-0.008455704294182088,0.0005333557523441731,-0.008127230881382123,-0.02031172558335996,0.0020108605818325693
12,1.0,32,6,3,0.057607078124999996,0.051542182008958264,-0.006064896116041735,-0.015793517540763424,0.0011670072266685,-0.01406948225208338,-0.035999773074563146,0.0044347757572576465
