checkpoint_hour_local,horizon_min,rows,dates,correlation,slope_price_move_per_1p_weather_delta,mean_signed_move,signed_move_ci_low,signed_move_ci_high,directional_accuracy
9,60,31,6,0.01188139286058581,0.01523437289855066,-0.011806451612903225,-0.017499999999999998,-0.0025437499999999987,0.41935483870967744
9,180,29,6,0.08872364982398674,0.17115869997588698,-0.0038448275862068963,-0.029277777777777778,0.039238888888888886,0.5172413793103449
12,60,32,6,0.25068424679503054,0.3123842544683085,0.01653125,-0.016429236111111106,0.03435138888888889,0.46875
12,180,32,6,-0.14660428589870703,-0.4243732660244386,-0.026171875000000004,-0.05174305555555556,0.005926736111110805,0.5
