head,rows,active_dates,cities,avg_hour,avg_decline_c,avg_ask,median_ask,avg_p_yes_win,avg_edge,win_rate,reheat_loss_rate,cost,pnl,roi,model_ev,model_ev_roi,positive_date_rate,date_min,date_max,roi_ci95,reps
current_yes_fade_confirmed,36,14,17,13.63888888888889,1.2808641975308643,0.8056388888888888,0.8234999999999999,0.9056893226952918,0.10005043380640284,0.9166666666666666,0.08333333333333337,29.722999999999995,3.2769999999999997,0.11025132052619184,2.8818156170305014,0.0969557452824581,0.7857142857142857,2026-05-29,2026-06-13,"[0.00021521201519061612, 0.21052950172040266]",1200
current_yes_peak_forming,76,17,21,14.302631578947368,0.0,0.7560394736842104,0.76,0.855461297842981,0.09942182415877036,0.8026315789473685,0.19736842105263153,58.979,2.020999999999998,0.034266433815425795,6.036058636066546,0.10234250557090738,0.5882352941176471,2026-05-29,2026-06-14,"[-0.10180427186509591, 0.16296106782074124]",1200
