strategy,rows,dates,cities,win_rate,avg_entry_raw,avg_entry_stress,avg_fee_per_1,raw_roi,exec_no_fee_roi,exec_no_fee_ci_low,exec_no_fee_ci_high,exec_fee_roi,exec_fee_ci_low,exec_fee_ci_high,top5_removed_exec_fee_roi,daily_pnl_sum,losing_days,le_minus50_days,max_daily_loss,worst_daily_roi,recent_rows,recent_dates,recent_exec_fee_roi
false_fade_reheat_conflict_d1_yes,47,25,18,0.2978723404255319,0.14523404255319153,0.15523404255319148,0.04223829787234043,0.6097591977679155,0.5137030510989666,-0.32120665583062424,1.5689788918876741,0.47146475322662607,-0.3640091713345003,1.5280066587958876,-0.24885180965134912,22.15884340165143,15,15,-5.2203,-1.04895,1,1,-1.04895
rich_current_b4_d1_yes,70,29,26,0.32857142857142857,0.2169142857142857,0.22691428571428568,0.03865428571428572,0.37834302290433236,0.30751934961619337,-0.3182537702971421,1.0445282224328296,0.2688650639019077,-0.35685942814159294,1.0056605431661192,-0.21019012654275632,18.82055447313353,17,17,-5.2203,-1.04905,0,0,
rich_current_b4_current_bracket_no,70,29,26,0.32857142857142857,0.2690571428571429,0.2790571428571428,0.03604714285714287,0.14042895175236123,0.09303996669826074,-0.42154513591773896,0.6921929495602,0.05699282384111788,-0.45917218392245923,0.657517240888322,-0.33344822438204536,3.9894976688782555,18,17,-5.219250000000001,-1.049,0,0,
