strategy,period,rows,dates,cities,wins,avg_entry_stress,exec_fee_pnl,win_rate,exec_fee_roi
false_fade_reheat_conflict_d1_yes,2026-05,16,9,10,7,0.17500000000000002,23.936276652271783,0.4375,1.4960172907669864
false_fade_reheat_conflict_d1_yes,2026-06-01..06-20,30,15,13,7,0.1491666666666667,-0.7284832506203482,0.23333333333333334,-0.024282775020678275
false_fade_reheat_conflict_d1_yes,>=2026-06-21,1,1,1,0,0.020999999999999998,-1.04895,0.0,-1.04895
rich_current_b4_current_bracket_no,2026-05,26,11,17,9,0.3220384615384615,6.1198701788885135,0.34615384615384615,0.23537962226494283
rich_current_b4_current_bracket_no,2026-06-01..06-20,44,18,19,14,0.2536590909090909,-2.13037251001026,0.3181818181818182,-0.04841755704568773
rich_current_b4_d1_yes,2026-05,26,11,17,9,0.23376923076923078,12.814665215176978,0.34615384615384615,0.4928717390452684
rich_current_b4_d1_yes,2026-06-01..06-20,44,18,19,14,0.22286363636363637,6.005889257956556,0.3181818181818182,0.13649748313537627
