strategy,target_date,rows,cities,wins,avg_entry_raw,avg_entry_stress,avg_fee_per_1,raw_pnl,exec_no_fee_pnl,exec_fee_pnl,cash_roi_exec_fee,win_rate,raw_roi,exec_no_fee_roi,exec_fee_roi,losing_day,le_minus50_day
false_fade_reheat_conflict_d1_yes,2026-05-20,3,2,3,0.18000000000000002,0.19000000000000003,0.0405,17.116550116550115,15.70199692780338,15.580496927803381,4.982908195061512,1.0,5.705516705516705,5.23399897593446,5.19349897593446,False,False
false_fade_reheat_conflict_d1_yes,2026-05-21,1,1,0,0.09,0.09999999999999999,0.045000000000000005,-1.0,-1.0,-1.045,-1.0,0.0,-1.0,-1.0,-1.045,True,True
false_fade_reheat_conflict_d1_yes,2026-05-23,1,1,0,0.03,0.04,0.048,-1.0,-1.0,-1.048,-1.0,0.0,-1.0,-1.0,-1.048,True,True
false_fade_reheat_conflict_d1_yes,2026-05-24,2,2,1,0.17,0.18000000000000002,0.041,3.88235294117647,3.5555555555555545,3.473555555555554,1.668374426299498,0.5,1.941176470588235,1.7777777777777772,1.736777777777777,False,False
false_fade_reheat_conflict_d1_yes,2026-05-25,1,1,0,0.14,0.15000000000000002,0.0425,-1.0,-1.0,-1.0425,-1.0,0.0,-1.0,-1.0,-1.0425,True,True
false_fade_reheat_conflict_d1_yes,2026-05-27,5,4,0,0.1688,0.17880000000000001,0.04106,-5.0,-5.0,-5.2053,-1.0,0.0,-1.0,-1.0,-1.04106,True,True
false_fade_reheat_conflict_d1_yes,2026-05-28,1,1,1,0.27,0.28,0.036,2.7037037037037033,2.571428571428571,2.535428571428571,2.447324875896304,1.0,2.7037037037037033,2.571428571428571,2.535428571428571,False,False
false_fade_reheat_conflict_d1_yes,2026-05-29,1,1,1,0.29,0.3,0.034999999999999996,2.4482758620689657,2.3333333333333335,2.2983333333333333,2.2206119162640903,1.0,2.4482758620689657,2.3333333333333335,2.2983333333333333,False,False
false_fade_reheat_conflict_d1_yes,2026-05-31,1,1,1,0.096,0.106,0.044700000000000004,9.416666666666666,8.433962264150944,8.389262264150943,8.030307518092222,1.0,9.416666666666666,8.433962264150944,8.389262264150943,False,False
false_fade_reheat_conflict_d1_yes,2026-06-01,1,1,0,0.06,0.06999999999999999,0.04650000000000001,-1.0,-1.0,-1.0465,-1.0,0.0,-1.0,-1.0,-1.0465,True,True
false_fade_reheat_conflict_d1_yes,2026-06-03,2,2,0,0.097,0.107,0.04465,-2.0,-2.0,-2.0892999999999997,-1.0,0.0,-1.0,-1.0,-1.0446499999999999,True,True
false_fade_reheat_conflict_d1_yes,2026-06-05,5,3,0,0.10880000000000001,0.11880000000000002,0.04406,-5.0,-5.0,-5.2203,-1.0,0.0,-1.0,-1.0,-1.04406,True,True
false_fade_reheat_conflict_d1_yes,2026-06-06,2,2,0,0.14,0.15000000000000002,0.0425,-2.0,-2.0,-2.085,-1.0,0.0,-1.0,-1.0,-1.0425,True,True
