strategy,description,city,target_date,decision_hour_local,entry_raw,entry_stress,fee_usd_per_1_notional,win,raw_pnl_per_1,exec_no_fee_pnl_per_1,exec_fee_pnl_per_1,cash_roi_exec_fee,current_high_yes_ask,forecast_gap_native,temp_trend_1h_f,forecast_peak_delta_hours_local,current_yes_ask,forecast_steps,steps,leg_steps,leg,ask_size
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Lucknow,2026-05-20,14,0.13,0.14,0.043000000000000003,True,6.692307692307692,6.142857142857142,6.099857142857142,5.848376934666484,0.87,4.111111111111114,1.7999999999999972,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Houston,2026-05-20,14,0.3,0.31,0.034499999999999996,True,2.3333333333333335,2.2258064516129035,2.1913064516129035,2.118227599432483,0.45,2.299999999999997,2.0,-3.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Houston,2026-05-20,16,0.11,0.12,0.044000000000000004,True,8.090909090909092,7.333333333333334,7.289333333333334,6.982120051085569,0.87,2.299999999999997,2.0,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,LA,2026-05-21,12,0.09,0.09999999999999999,0.045000000000000005,False,-1.0,-1.0,-1.045,-1.0,0.968,2.5,1.0,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Houston,2026-05-23,15,0.03,0.04,0.048,False,-1.0,-1.0,-1.048,-1.0,0.999,8.700000000000003,1.0,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Beijing,2026-05-24,14,0.17,0.18000000000000002,0.041,True,4.88235294117647,4.5555555555555545,4.514555555555554,4.336748852598996,0.86,2.666666666666668,1.7999999999999972,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Ankara,2026-05-24,13,0.17,0.18000000000000002,0.041,False,-1.0,-1.0,-1.041,-1.0,0.83,1.5555555555555536,1.7999999999999972,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Shanghai,2026-05-25,13,0.14,0.15000000000000002,0.0425,False,-1.0,-1.0,-1.0425,-1.0,0.85,3.1666666666666643,1.8000000000000114,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Istanbul,2026-05-27,14,0.24,0.25,0.037500000000000006,False,-1.0,-1.0,-1.0375,-1.0,0.73,1.9444444444444429,1.7999999999999972,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Helsinki,2026-05-27,16,0.049,0.059000000000000004,0.04705,False,-1.0,-1.0,-1.04705,-1.0,0.97,1.5555555555555554,1.7999999999999972,-1.0,,,,,,
