rows,dates,cities,wins,win_rate,avg_ask,avg_weight,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,component_value,evidence_layer,component
84,34,24,52,0.6190476190476191,0.6116309523809523,0.19096583357142857,16.04113002,0.9369592807348476,0.05840980526725059,-0.15884751762668517,0.2626905788632469,6,0.45,historical_best_ask_diagnostic,score_route_mult
11,11,8,8,0.7272727272727273,0.7271818181818183,0.2479909090909091,2.7279,-0.11167361545028642,-0.04093757668913319,-0.4613879210559868,0.3737524278503217,3,0.5,historical_best_ask_diagnostic,score_route_mult
31,21,23,18,0.5806451612903226,0.500032258064516,0.27097049870967743,8.40008546,4.342798418033211,0.5169945518665249,-0.03591277774749935,1.0036340555364673,8,0.65,historical_best_ask_diagnostic,score_route_mult
148,35,31,71,0.4797297297297297,0.4817364864864865,0.4303742054054055,63.695382400000014,15.643390605050353,0.2455969336491549,-0.02273219925708374,0.5167166713521237,6,0.8,historical_best_ask_diagnostic,score_route_mult
17,15,12,14,0.8235294117647058,0.7454705882352941,0.19199382352941177,3.263895,0.3629398624220129,0.11119838794508184,-0.1751661111433401,0.32660126063694284,2,0.45,historical_best_ask_diagnostic,score_price_mult
1,1,1,0,0.0,0.692,0.23941120000000013,0.23941120000000013,-0.23941120000000013,-1.0,,,1,0.468,historical_best_ask_diagnostic,score_price_mult
1,1,1,1,1.0,0.691,0.12367485000000003,0.12367485000000003,0.05530467243125908,0.4471780028943562,,,0,0.47,historical_best_ask_diagnostic,score_price_mult
15,12,10,10,0.6666666666666666,0.6899999999999997,0.20544901333333337,3.0817352000000007,-0.06685230144927518,-0.02169307130907132,-0.4279498507282076,0.31348914277468554,4,0.472,historical_best_ask_diagnostic,score_price_mult
1,1,1,1,1.0,0.685,0.17214119999999994,0.17214119999999994,0.07915982189781018,0.4598540145985401,,,0,0.483,historical_best_ask_diagnostic,score_price_mult
7,5,6,6,0.8571428571428571,0.6799999999999999,0.2363013714285714,1.6541096,0.5784798117647056,0.34972278243515764,-0.3113010273661244,0.47058823529411764,1,0.494,historical_best_ask_diagnostic,score_price_mult
2,2,2,1,0.5,0.679,0.18936232499999994,0.3787246499999999,-0.013334370176730531,-0.03520861442932361,,,1,0.496,historical_best_ask_diagnostic,score_price_mult
1,1,1,1,1.0,0.677,0.25029999999999997,0.25029999999999997,0.11941935007385518,0.47710487444608546,,,0,0.501,historical_best_ask_diagnostic,score_price_mult
11,11,10,6,0.5454545454545454,0.67,0.2371306145454545,2.6084367599999996,-0.464110192835821,-0.1779265650418993,-0.6439610090134654,0.2581305740571176,5,0.516,historical_best_ask_diagnostic,score_price_mult
1,1,1,0,0.0,0.669,0.13711571999999997,0.13711571999999997,-0.13711571999999997,-1.0,,,1,0.518,historical_best_ask_diagnostic,score_price_mult
1,1,1,0,0.0,0.664,0.1393119,0.1393119,-0.1393119,-1.0,,,1,0.529,historical_best_ask_diagnostic,score_price_mult
1,1,1,0,0.0,0.661,0.17413499999999998,0.17413499999999998,-0.17413499999999998,-1.0,,,1,0.536,historical_best_ask_diagnostic,score_price_mult
10,8,10,7,0.7,0.66,0.20488116,2.0488116,-0.09680902424242435,-0.047251306192538325,-0.5379871272721523,0.394895109705691,2,0.538,historical_best_ask_diagnostic,score_price_mult
1,1,1,1,1.0,0.659,0.3230396,0.3230396,0.1671570616084977,0.5174506828528073,,,0,0.54,historical_best_ask_diagnostic,score_price_mult
11,11,11,8,0.7272727272727273,0.6500000000000001,0.2590610909090909,2.849672,0.04182338461538454,0.014676560886791371,-0.4545798452527167,0.5384615384615383,3,0.56,historical_best_ask_diagnostic,score_price_mult
5,4,3,4,0.8,0.64,0.21843624,1.0921812,0.3074378625,0.28148979537461366,-0.4146053362979433,0.5625,1,0.582,historical_best_ask_diagnostic,score_price_mult
3,3,3,0,0.0,0.639,0.20526840666666665,0.6158052199999999,-0.6158052199999999,-1.0,-1.0,-1.0,3,0.584,historical_best_ask_diagnostic,score_price_mult
1,1,1,0,0.0,0.638,0.06708416000000002,0.06708416000000002,-0.06708416000000002,-1.0,,,1,0.586,historical_best_ask_diagnostic,score_price_mult
8,8,7,4,0.5,0.63,0.258105055,2.06484044,-0.35873218603174617,-0.1737336111219064,-0.796088544406491,0.3667463545802291,4,0.604,historical_best_ask_diagnostic,score_price_mult
11,7,9,6,0.5454545454545454,0.62,0.29803006363636364,3.2783307,-0.18902069999999993,-0.05765760604932258,-0.6664837420789889,0.4523825897164943,3,0.626,historical_best_ask_diagnostic,score_price_mult
1,1,1,1,1.0,0.612,0.26104416,0.26104416,0.16549858509803922,0.6339869281045751,,,0,0.644,historical_best_ask_diagnostic,score_price_mult
7,6,7,4,0.5714285714285714,0.61,0.31039200000000006,2.1727440000000002,-0.34931449180327856,-0.1607711225083482,-0.8398008088645424,0.5142442892396916,3,0.648,historical_best_ask_diagnostic,score_price_mult
1,1,1,0,0.0,0.607,0.3854284800000001,0.3854284800000001,-0.3854284800000001,-1.0,,,1,0.655,historical_best_ask_diagnostic,score_price_mult
