label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,book_state_v1,slice_type,raw_dist_band,adj_dist_band,price_band
feasible,full,212,41,44,0.1179245283018868,0.09922877358490564,0.8289837061320755,0.0,175.7445457,24.2554543,0.1380154030009251,-0.1837231720967517,0.50204038951694,20,19,-8.4327916,-1.0,feasible,book_state_v1,,,
missing,full,62,17,29,0.22580645161290322,0.1072983870967742,0.8959749274193548,0.0,55.550445499999995,56.44955450000001,1.016185450753946,0.2576201965610039,1.7776603359726408,8,7,-2.9169076,-1.0,missing,book_state_v1,,,
thin_wide,full,59,28,24,0.1864406779661017,0.11812711864406779,0.9859327338983052,0.0,58.170031300000005,29.829968700000002,0.5128064749726204,-0.18989052586281677,1.2704557485222014,18,18,-4.4752946,-1.0,thin_wide,book_state_v1,,,
feasible,train_le_2026_06_20,172,32,41,0.09883720930232558,0.09887790697674417,0.8260879918604652,0.0,142.0871346,-6.087134599999998,-0.04284085689486483,-0.3978136475308181,0.3452263569098728,18,17,-8.4327916,-1.0,feasible,book_state_v1,,,
missing,train_le_2026_06_20,55,13,27,0.23636363636363636,0.10878181818181817,0.9083025600000001,0.0,49.9566408,54.0433592,1.0818053082544332,0.27171225641769486,1.9194195360165898,5,4,-2.9169076,-1.0,missing,book_state_v1,,,
thin_wide,train_le_2026_06_20,48,21,21,0.20833333333333334,0.12346875000000002,1.0302860645833334,0.0,49.4537311,30.546268899999994,0.6176736966161891,-0.17098179545550418,1.5348816683193744,12,12,-4.4752946,-1.0,thin_wide,book_state_v1,,,
feasible,recent_ge_2026_06_21,40,9,23,0.2,0.10073750000000001,0.8414352774999999,0.0,33.6574111,30.342588900000003,0.9015128587831286,0.20820388998745046,1.997586071326853,2,2,-3.7371775,-1.0,feasible,book_state_v1,,,
missing,recent_ge_2026_06_21,7,4,6,0.14285714285714285,0.09564285714285715,0.7991149571428572,0.0,5.593804700000001,2.4061952999999994,0.43015361262076224,-1.0,1.1549084491185846,3,3,-1.04375,-1.0,missing,book_state_v1,,,
thin_wide,recent_ge_2026_06_21,11,7,9,0.09090909090909091,0.09481818181818183,0.7923909272727273,0.0,8.716300200000001,-0.7163002000000003,-0.08217938615744329,-1.0,1.0066625440256596,6,6,-1.4164400000000001,-1.0,thin_wide,book_state_v1,,,
0..0.25,full,49,33,26,0.12244897959183673,0.10732653061224488,0.8962844612244898,0.0,43.9179386,4.0820614,0.09294747272131756,-0.6558882399335428,1.0421597955320296,27,27,-4.0884358,-1.0,,raw_dist_band,0..0.25,,
0.25..0.5,full,64,31,29,0.15625,0.1059765625,0.8849985734374999,0.0,56.63990869999999,23.3600913,0.41243165527913367,-0.22916309692696726,1.0731616177489969,21,21,-3.41718,-1.0,,raw_dist_band,0.25..0.5,,
0.5..1,full,111,47,34,0.15315315315315314,0.10709909909909908,0.8943050360360361,0.0,99.267859,36.732141,0.3700305554086746,-0.14567492258489756,0.9301952188316387,31,31,-5.4110230999999995,-1.0,,raw_dist_band,0.5..1,,
>1,full,109,46,28,0.1559633027522936,0.09843119266055046,0.822379047706422,0.0,89.6393162,46.36068379999999,0.5171914040102862,-0.13435970905068179,1.196417526878824,32,32,-6.3414,-1.0,,raw_dist_band,>1,,
0..0.25,train_le_2026_06_20,42,27,24,0.09523809523809523,0.11053571428571426,0.9229432261904762,0.0,38.7636155,-6.763615500000002,-0.17448360821760814,-0.8170771871182175,0.7399000242737435,23,23,-4.0884358,-1.0,,raw_dist_band,0..0.25,,
0.25..0.5,train_le_2026_06_20,51,25,27,0.1568627450980392,0.10350980392156862,0.864527631372549,0.0,44.0909092,19.9090908,0.45154638816112236,-0.29883853627842605,1.2871849336965993,17,17,-3.41718,-1.0,,raw_dist_band,0.25..0.5,,
0.5..1,train_le_2026_06_20,90,40,33,0.15555555555555556,0.10978888888888885,0.916646697777778,0.0,82.49820280000002,29.501797200000006,0.35760533197942584,-0.20166366145377607,0.965154670736842,26,26,-5.4110230999999995,-1.0,,raw_dist_band,0.5..1,,
>1,train_le_2026_06_20,92,40,27,0.15217391304347827,0.09906521739130437,0.827660641304348,0.0,76.14477900000001,35.855221,0.47088219929038067,-0.20439501769536939,1.191937087617655,29,29,-6.3414,-1.0,,raw_dist_band,>1,,
0..0.25,recent_ge_2026_06_21,7,6,7,0.2857142857142857,0.08807142857142859,0.7363318714285715,0.0,5.1543231,10.8456769,2.104190344606065,-1.0,6.286057446009177,4,4,-1.04375,-1.0,,raw_dist_band,0..0.25,,
