variant,selected_trades,active_dates,cities,wins,win_rate,avg_ask,cost_usd,profit_usd,roi,roi_ci_low,roi_ci_high,open_runway_trades,marginal_runway_trades,forecast_capped_trades,roi_le_minus50_days,roi_eq_minus100_days,baseline_roi,excess_roi_vs_baseline
baseline_current_no_strict35_near_noon,101,35,32,25,0.24752475247524752,0.24729702970297027,505.0,41.80815763412459,0.08278843095866256,-0.316650542801494,0.4729196215142131,26,23,52,16,16,,
routed_capped_d1_no_strict35_near_noon,75,31,28,21,0.28,0.26176000000000005,375.0,73.9125347385017,0.19710009263600456,-0.18423656586857215,0.6097413012791119,26,23,26,13,13,0.08278843095866256,0.114311661677342
routed_capped_d2_no_strict35_near_noon,50,28,25,15,0.3,0.25094,250.0,85.50606103791034,0.34202424415164134,-0.2783725659776232,0.9870242287430272,26,23,1,16,16,0.08278843095866256,0.2592358131929788
routed_capped_d1_no_strict35_first_eligible,75,31,28,21,0.28,0.2658933333333334,375.0,69.04240486837182,0.1841130796489915,-0.1918663669164407,0.5830877708290255,26,23,26,13,13,0.08278843095866256,0.10132464869032895
routed_capped_d2_no_strict35_first_eligible,50,28,25,15,0.3,0.25673999999999997,250.0,80.63593116778048,0.3225437246711219,-0.2850145656006335,0.9771674102094292,26,23,1,16,16,0.08278843095866256,0.23975529371245935
routed_capped_d1_no_strict35_best_ask,75,31,28,21,0.28,0.25802666666666674,375.0,74.35816753707567,0.19828844676553511,-0.1832559690547676,0.609784057478043,26,23,26,13,13,0.08278843095866256,0.11550001580687255
routed_capped_d2_no_strict35_best_ask,50,28,25,15,0.3,0.24953999999999998,250.0,85.50606103791034,0.34202424415164134,-0.2783725659776232,0.9870242287430272,26,23,1,16,16,0.08278843095866256,0.2592358131929788
routed_capped_d1_no_relaxed50_near_noon,195,38,34,73,0.37435897435897436,0.38062051282051285,975.0,64.11576773680589,0.06575976178133938,-0.1277772539185965,0.25098284049306496,52,49,94,10,4,0.08278843095866256,-0.01702866917732318
routed_capped_d2_no_relaxed50_near_noon,112,36,30,42,0.375,0.3649196428571429,560.0,84.81075060434296,0.15144776893632672,-0.17317595918589804,0.4954253902657464,52,49,11,14,11,0.08278843095866256,0.06865933797766416
routed_capped_d1_no_relaxed50_first_eligible,195,38,34,73,0.37435897435897436,0.38441538461538466,975.0,58.943011557952154,0.06045437082866888,-0.1259114278802947,0.2413566378551371,52,49,94,10,4,0.08278843095866256,-0.022334060129993685
routed_capped_d2_no_relaxed50_first_eligible,112,36,30,42,0.375,0.3692946428571428,560.0,80.74910553660033,0.14419483131535774,-0.17211168207062605,0.48273030940445405,52,49,11,14,11,0.08278843095866256,0.06140640035669517
routed_capped_d1_no_relaxed50_best_ask,195,38,34,72,0.36923076923076925,0.37037435897435905,975.0,64.45810652960552,0.0661108784919031,-0.13264743654660485,0.257971360528683,51,50,94,11,4,0.08278843095866256,-0.016677552466759463
routed_capped_d2_no_relaxed50_best_ask,112,36,30,41,0.36607142857142855,0.35583035714285716,560.0,79.4120050846297,0.14180715193683874,-0.1839402513375767,0.4872732059341538,51,50,11,14,11,0.08278843095866256,0.059018720978176176
routed_capped_d1_no_relaxed70_near_noon,425,38,35,206,0.48470588235294115,0.5246964705882353,2125.0,-108.25037345402296,-0.050941352213657864,-0.14392859988102258,0.03820269665579633,100,89,236,3,1,0.08278843095866256,-0.13372978317232043
routed_capped_d2_no_relaxed70_near_noon,279,38,35,138,0.4946236559139785,0.5445483870967741,1395.0,-82.16550792200175,-0.058900005678854304,-0.19382877138173948,0.07346457227158537,100,90,89,5,2,0.08278843095866256,-0.14168843663751687
routed_capped_d1_no_relaxed70_first_eligible,425,38,35,204,0.48,0.530804705882353,2125.0,-129.65594794762382,-0.061014563740058265,-0.1555675758809462,0.02971730856611755,102,88,235,3,1,0.08278843095866256,-0.14380299469872082
routed_capped_d2_no_relaxed70_first_eligible,279,38,35,138,0.4946236559139785,0.552347670250896,1395.0,-85.53138282363199,-0.061312819228410025,-0.19582696236430133,0.07032646782408118,102,88,89,5,2,0.08278843095866256,-0.1441012501870726
routed_capped_d1_no_relaxed70_best_ask,425,38,35,202,0.4752941176470588,0.5008870588235295,2125.0,-19.51650417183007,-0.009184237257331798,-0.11557567254167309,0.09236668100326687,96,92,237,3,1,0.08278843095866256,-0.09197266821599435
routed_capped_d2_no_relaxed70_best_ask,279,38,35,135,0.4838709677419355,0.5173333333333334,1395.0,-8.686713012763711,-0.006227034417751764,-0.16058136599436873,0.15604726166937546,96,94,89,5,2,0.08278843095866256,-0.08901546537641433
