target_date,variant,weight_policy,trades,cities,wins,win_rate,weighted_cost_usd,weighted_profit_usd,weighted_roi,avg_weight,day_risk,regime_mix,loss_cities
2026-05-20,routed_capped_d1_no_relaxed50_first_eligible,full_size,5,5,2,0.4,25.0,26.19047619047619,1.0476190476190477,1.0,0.22000000000000003,"day_forecast_capped:1,day_marginal_runway:2,day_open_runway:2","Ankara,Beijing,Taipei"
2026-05-21,routed_capped_d1_no_relaxed50_first_eligible,full_size,2,2,1,0.5,10.0,1.6279069767441854,0.16279069767441853,1.0,0.3707142857142857,"day_forecast_capped:1,day_marginal_runway:1",SaoPaulo
2026-05-22,routed_capped_d1_no_relaxed50_first_eligible,full_size,8,8,3,0.375,40.0,2.305562654399859,0.05763906635999647,1.0,0.3533928571428571,"day_forecast_capped:5,day_marginal_runway:1,day_open_runway:2","Helsinki,LA,Miami,Munich,Singapore"
2026-05-23,routed_capped_d1_no_relaxed50_first_eligible,full_size,4,4,1,0.25,20.0,-7.179487179487181,-0.35897435897435903,1.0,0.3592857142857143,"day_forecast_capped:2,day_open_runway:2","Houston,Lucknow,Miami"
2026-05-24,routed_capped_d1_no_relaxed50_first_eligible,full_size,1,1,1,1.0,5.0,7.820512820512819,1.5641025641025639,1.0,0.5228571428571429,day_forecast_capped:1,
2026-05-25,routed_capped_d1_no_relaxed50_first_eligible,full_size,8,8,3,0.375,40.0,-5.090036014405763,-0.12725090036014408,1.0,0.40267857142857144,"day_forecast_capped:6,day_open_runway:2","LA,Shanghai,Warsaw,Wellington,Wuhan"
2026-05-26,routed_capped_d1_no_relaxed50_first_eligible,full_size,5,5,4,0.8,25.0,28.70702112667646,1.1482808450670583,1.0,0.2910857142857143,"day_forecast_capped:2,day_marginal_runway:2,day_open_runway:1",Wuhan
2026-05-27,routed_capped_d1_no_relaxed50_first_eligible,full_size,9,9,2,0.2222222222222222,45.0,-22.77777777777778,-0.5061728395061729,1.0,0.30241269841269847,"day_forecast_capped:4,day_marginal_runway:4,day_open_runway:1","Denver,Helsinki,Houston,Miami,SaoPaulo,Singapore,Warsaw"
2026-05-28,routed_capped_d1_no_relaxed50_first_eligible,full_size,6,6,2,0.3333333333333333,30.0,-0.03597437922260127,-0.001199145974086709,1.0,0.1940952380952381,"day_marginal_runway:4,day_open_runway:2","Ankara,Chongqing,Manila,Wuhan"
2026-05-29,routed_capped_d1_no_relaxed50_first_eligible,full_size,6,6,3,0.5,30.0,10.416666666666668,0.34722222222222227,1.0,0.43,"day_forecast_capped:4,day_marginal_runway:1,day_open_runway:1","LA,Manila,Tokyo"
2026-05-30,routed_capped_d1_no_relaxed50_first_eligible,full_size,3,3,2,0.6666666666666666,15.0,5.204081632653061,0.3469387755102041,1.0,0.581904761904762,day_forecast_capped:3,Singapore
2026-05-31,routed_capped_d1_no_relaxed50_first_eligible,full_size,5,5,1,0.2,25.0,-13.372093023255815,-0.5348837209302326,1.0,0.3008,"day_forecast_capped:2,day_marginal_runway:2,day_open_runway:1","BuenosAires,Tokyo,Warsaw,Wuhan"
2026-06-01,routed_capped_d1_no_relaxed50_first_eligible,full_size,6,6,2,0.3333333333333333,30.0,-6.541189307146755,-0.2180396435715585,1.0,0.35595238095238096,"day_forecast_capped:4,day_marginal_runway:1,day_open_runway:1","Amsterdam,CapeTown,NYC,Shanghai"
2026-06-02,routed_capped_d1_no_relaxed50_first_eligible,full_size,4,4,2,0.5,20.0,0.8423795049934863,0.04211897524967432,1.0,0.40178571428571425,"day_forecast_capped:3,day_open_runway:1","LA,TelAviv"
2026-06-03,routed_capped_d1_no_relaxed50_first_eligible,full_size,4,4,1,0.25,20.0,-10.0,-0.5,1.0,0.40214285714285714,"day_forecast_capped:3,day_open_runway:1","Atlanta,NYC,Wuhan"
2026-06-04,routed_capped_d1_no_relaxed50_first_eligible,full_size,4,4,2,0.5,20.0,0.204081632653061,0.01020408163265305,1.0,0.3375,"day_forecast_capped:2,day_open_runway:2","Ankara,LA"
2026-06-05,routed_capped_d1_no_relaxed50_first_eligible,full_size,3,3,0,0.0,15.0,-15.0,-1.0,1.0,0.3398095238095238,day_open_runway:3,"Helsinki,Taipei,Tokyo"
2026-06-06,routed_capped_d1_no_relaxed50_first_eligible,full_size,6,6,2,0.3333333333333333,30.0,-1.938775510204085,-0.06462585034013617,1.0,0.2711904761904762,"day_forecast_capped:2,day_marginal_runway:2,day_open_runway:2","LA,NYC,SaoPaulo,Tokyo"
2026-06-07,routed_capped_d1_no_relaxed50_first_eligible,full_size,8,8,3,0.375,40.0,7.527118955690387,0.18817797389225968,1.0,0.2305357142857143,"day_forecast_capped:3,day_marginal_runway:2,day_open_runway:3","Istanbul,LA,NYC,Warsaw,Wellington"
2026-06-08,routed_capped_d1_no_relaxed50_first_eligible,full_size,5,5,3,0.6,25.0,15.313181442213699,0.612527257688548,1.0,0.27,"day_forecast_capped:2,day_marginal_runway:2,day_open_runway:1","Miami,TelAviv"
2026-06-09,routed_capped_d1_no_relaxed50_first_eligible,full_size,3,3,2,0.6666666666666666,15.0,14.824561403508772,0.9883040935672515,1.0,0.12238095238095238,"day_forecast_capped:1,day_marginal_runway:2",Istanbul
2026-06-10,routed_capped_d1_no_relaxed50_first_eligible,full_size,6,6,1,0.16666666666666666,30.0,-16.486486486486484,-0.5495495495495495,1.0,0.39333333333333337,"day_forecast_capped:4,day_marginal_runway:1,day_open_runway:1","Beijing,Busan,NYC,Singapore,Tokyo"
2026-06-11,routed_capped_d1_no_relaxed50_first_eligible,full_size,9,9,1,0.1111111111111111,45.0,-34.79591836734694,-0.7732426303854876,1.0,0.28095238095238095,"day_forecast_capped:4,day_marginal_runway:3,day_open_runway:2","Ankara,Austin,Istanbul,Manila,Miami,SaoPaulo,TelAviv,Wuhan"
2026-06-12,routed_capped_d1_no_relaxed50_first_eligible,full_size,9,9,3,0.3333333333333333,45.0,3.1382978723404253,0.06973995271867611,1.0,0.2804761904761905,"day_forecast_capped:3,day_marginal_runway:3,day_open_runway:3","Atlanta,Busan,Houston,Manila,TelAviv,Wellington"
2026-06-13,routed_capped_d1_no_relaxed50_first_eligible,full_size,8,8,2,0.25,40.0,-13.986486486486486,-0.34966216216216217,1.0,0.324,"day_forecast_capped:4,day_marginal_runway:2,day_open_runway:2","Amsterdam,Helsinki,LA,Miami,Singapore,Wuhan"
2026-06-14,routed_capped_d1_no_relaxed50_first_eligible,full_size,14,14,6,0.42857142857142855,70.0,30.245643227871142,0.4320806175410163,1.0,0.3113469387755102,"day_forecast_capped:6,day_marginal_runway:2,day_open_runway:6","Chongqing,Dallas,Karachi,Lucknow,Seattle,Shanghai,Singapore,TelAviv"
2026-06-15,routed_capped_d1_no_relaxed50_first_eligible,full_size,11,11,7,0.6363636363636364,55.0,33.384705496147944,0.6069946453845081,1.0,0.2957142857142857,"day_forecast_capped:5,day_marginal_runway:2,day_open_runway:4","Houston,Karachi,LA,Lucknow"
2026-06-16,routed_capped_d1_no_relaxed50_first_eligible,full_size,5,5,2,0.4,25.0,6.339031339031338,0.25356125356125353,1.0,0.2860571428571429,"day_forecast_capped:2,day_marginal_runway:1,day_open_runway:2","Atlanta,TelAviv,Wellington"
2026-06-17,routed_capped_d1_no_relaxed50_first_eligible,full_size,5,5,1,0.2,25.0,-13.095238095238095,-0.5238095238095238,1.0,0.46005714285714283,day_forecast_capped:5,"CapeTown,Chongqing,Helsinki,Houston"
2026-06-18,routed_capped_d1_no_relaxed50_first_eligible,full_size,1,1,0,0.0,5.0,-5.0,-1.0,1.0,0.3842857142857143,day_forecast_capped:1,Karachi
2026-06-19,routed_capped_d1_no_relaxed50_first_eligible,full_size,5,5,3,0.6,25.0,9.388230816802244,0.37552923267208976,1.0,0.33085714285714285,"day_forecast_capped:3,day_marginal_runway:2","Busan,Miami"
2026-06-20,routed_capped_d1_no_relaxed50_first_eligible,full_size,3,3,1,0.3333333333333333,15.0,-4.795918367346939,-0.3197278911564626,1.0,0.17666666666666667,day_marginal_runway:3,"Jeddah,Tokyo"
2026-06-21,routed_capped_d1_no_relaxed50_first_eligible,full_size,2,2,1,0.5,10.0,1.1111111111111107,0.11111111111111108,1.0,0.1292857142857143,"day_marginal_runway:1,day_open_runway:1",Jeddah
2026-06-22,routed_capped_d1_no_relaxed50_first_eligible,full_size,1,1,0,0.0,5.0,-5.0,-1.0,1.0,0.3457142857142857,day_marginal_runway:1,Shanghai
2026-06-23,routed_capped_d1_no_relaxed50_first_eligible,full_size,2,2,1,0.5,10.0,13.80952380952381,1.380952380952381,1.0,0.3678571428571429,"day_forecast_capped:1,day_open_runway:1",Wellington
2026-06-25,routed_capped_d1_no_relaxed50_first_eligible,full_size,3,3,1,0.3333333333333333,15.0,-4.361702127659575,-0.29078014184397166,1.0,0.2738095238095238,"day_forecast_capped:1,day_marginal_runway:1,day_open_runway:1","CapeTown,Karachi"
2026-06-26,routed_capped_d1_no_relaxed50_first_eligible,full_size,2,2,0,0.0,10.0,-10.0,-1.0,1.0,0.3364285714285714,"day_forecast_capped:1,day_open_runway:1","Chongqing,Warsaw"
2026-06-30,routed_capped_d1_no_relaxed50_first_eligible,full_size,4,4,1,0.25,20.0,30.0,1.5,1.0,0.35464285714285715,"day_forecast_capped:3,day_marginal_runway:1","Busan,CapeTown,Helsinki"
2026-05-20,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,5,5,2,0.4,18.98559375,15.85988244047619,0.8353640475677085,0.7594237500000001,0.22000000000000003,"day_forecast_capped:1,day_marginal_runway:2,day_open_runway:2","Ankara,Beijing,Taipei"
2026-05-21,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,2,2,1,0.5,6.682129183673469,-0.46711418604651156,-0.06990499183820295,0.6682129183673469,0.3707142857142857,"day_forecast_capped:1,day_marginal_runway:1",SaoPaulo
2026-05-22,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,8,8,3,0.375,23.564940605867346,3.670812745370281,0.15577432622326656,0.5891235151466837,0.3533928571428571,"day_forecast_capped:5,day_marginal_runway:1,day_open_runway:2","Helsinki,LA,Miami,Munich,Singapore"
2026-05-23,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,4,4,1,0.25,12.238733248086735,-5.124257044528389,-0.41869178293672327,0.6119366624043368,0.3592857142857143,"day_forecast_capped:2,day_open_runway:2","Houston,Lucknow,Miami"
2026-05-24,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,1,1,1,1.0,2.731414112244898,4.272211816588173,1.5641025641025639,0.5462828224489795,0.5228571428571429,day_forecast_capped:1,
2026-05-25,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,8,8,3,0.375,22.360124174234695,-3.572262960999399,-0.1597604258886753,0.5590031043558674,0.40267857142857144,"day_forecast_capped:6,day_open_runway:2","LA,Shanghai,Warsaw,Wellington,Wuhan"
2026-05-26,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,5,5,4,0.8,16.827330924688777,16.21168985689782,0.9634142175876688,0.6730932369875509,0.2910857142857143,"day_forecast_capped:2,day_marginal_runway:2,day_open_runway:1",Wuhan
2026-05-27,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,9,9,2,0.2222222222222222,31.205025051836735,-16.425435624399093,-0.5263714929603073,0.6934450011519275,0.30241269841269847,"day_forecast_capped:4,day_marginal_runway:4,day_open_runway:1","Denver,Helsinki,Houston,Miami,SaoPaulo,Singapore,Warsaw"
2026-05-28,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,6,6,2,0.3333333333333333,21.018780577346938,-0.3966751778594251,-0.018872416332607948,0.700626019244898,0.1940952380952381,"day_marginal_runway:4,day_open_runway:2","Ankara,Chongqing,Manila,Wuhan"
2026-05-29,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,6,6,3,0.5,16.900812081632655,2.679069261373299,0.15851719127063954,0.5633604027210884,0.43,"day_forecast_capped:4,day_marginal_runway:1,day_open_runway:1","LA,Manila,Tokyo"
2026-05-30,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,3,3,2,0.6666666666666666,7.738879359693878,2.675379441326531,0.3457063118544801,0.5159252906462586,0.581904761904762,day_forecast_capped:3,Singapore
2026-05-31,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,5,5,1,0.2,18.0739864334949,-11.85897143586794,-0.6561347979043943,0.7229594573397959,0.3008,"day_forecast_capped:2,day_marginal_runway:2,day_open_runway:1","BuenosAires,Tokyo,Warsaw,Wuhan"
2026-06-01,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,6,6,2,0.3333333333333333,18.173303280612245,-5.4976525872579804,-0.3025125648523689,0.6057767760204081,0.35595238095238096,"day_forecast_capped:4,day_marginal_runway:1,day_open_runway:1","Amsterdam,CapeTown,NYC,Shanghai"
2026-06-02,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,4,4,2,0.5,11.550107015306121,-0.6304649234693867,-0.054585201906259304,0.5775053507653061,0.40178571428571425,"day_forecast_capped:3,day_open_runway:1","LA,TelAviv"
2026-06-03,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,4,4,1,0.25,11.363452514540818,-6.141779491581632,-0.5404853396203779,0.5681726257270409,0.40214285714285714,"day_forecast_capped:3,day_open_runway:1","Atlanta,NYC,Wuhan"
2026-06-04,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,4,4,2,0.5,10.608026110331632,0.6438261154336735,0.06069235772398999,0.5304013055165817,0.3375,"day_forecast_capped:2,day_open_runway:2","Ankara,LA"
2026-06-05,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,3,3,0,0.0,10.304784306683672,-10.304784306683672,-1.0,0.6869856204455781,0.3398095238095238,day_open_runway:3,"Helsinki,Taipei,Tokyo"
2026-06-06,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,6,6,2,0.3333333333333333,20.014855671683673,-3.32988551862245,-0.16637069850738204,0.6671618557227891,0.2711904761904762,"day_forecast_capped:2,day_marginal_runway:2,day_open_runway:2","LA,NYC,SaoPaulo,Tokyo"
2026-06-07,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,8,8,3,0.375,27.480644189221938,4.105224665346913,0.14938604193845664,0.6870161047305485,0.2305357142857143,"day_forecast_capped:3,day_marginal_runway:2,day_open_runway:3","Istanbul,LA,NYC,Warsaw,Wellington"
2026-06-08,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,5,5,3,0.6,17.234737535714284,11.255201434541648,0.6530532542905466,0.6893895014285715,0.27,"day_forecast_capped:2,day_marginal_runway:2,day_open_runway:1","Miami,TelAviv"
2026-06-09,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,3,3,2,0.6666666666666666,10.652293244897958,8.185101259219477,0.7683886531324913,0.7101528829931972,0.12238095238095238,"day_forecast_capped:1,day_marginal_runway:2",Istanbul
2026-06-10,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,6,6,1,0.16666666666666666,18.16782836734694,-10.587733889961388,-0.5827737732810563,0.6055942789115646,0.39333333333333337,"day_forecast_capped:4,day_marginal_runway:1,day_open_runway:1","Beijing,Busan,NYC,Singapore,Tokyo"
2026-06-11,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,9,9,1,0.1111111111111111,29.65826468622449,-20.346856522959186,-0.6860433925660453,0.6590725485827665,0.28095238095238095,"day_forecast_capped:4,day_marginal_runway:3,day_open_runway:2","Ankara,Austin,Istanbul,Manila,Miami,SaoPaulo,TelAviv,Wuhan"
2026-06-12,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,9,9,3,0.3333333333333333,32.31022681760204,-4.711069977678569,-0.14580739418121513,0.7180050403911564,0.2804761904761905,"day_forecast_capped:3,day_marginal_runway:3,day_open_runway:3","Atlanta,Busan,Houston,Manila,TelAviv,Wellington"
2026-06-13,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,8,8,2,0.25,26.598579610910715,-6.202527802788818,-0.23319018885672177,0.6649644902727678,0.324,"day_forecast_capped:4,day_marginal_runway:2,day_open_runway:2","Amsterdam,Helsinki,LA,Miami,Singapore,Wuhan"
2026-06-14,routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,14,14,6,0.42857142857142855,44.40280598519133,20.091954448475338,0.4524929000022241,0.6343257997884476,0.3113469387755102,"day_forecast_capped:6,day_marginal_runway:2,day_open_runway:6","Chongqing,Dallas,Karachi,Lucknow,Seattle,Shanghai,Singapore,TelAviv"
