city,forecast_source,model_version,snapshot_groups,event_dates,forecast_state_changes,unique_forecast_states,hash_available_rate,first_snapshot_ts_utc,last_snapshot_ts_utc,change_hours_local_top,model_init_top,first_seen_run_age_p25,first_seen_run_age_p50,first_seen_run_age_p75,state_gap_hours_p50
Milan,open_meteo_live_gfs,gfs,10,8,9,9,0.1,2026-05-19T07:00:53Z,2026-06-20T06:24:37Z,"8:2,11:2,9:2,3:1,14:1","00Z:4,06Z:3,18Z:1,12Z:1",4.5,7.0,8.0,66.57416666666667
Moscow,open_meteo_live_ecmwf,ecmwf,3602,46,462,368,0.1812881732370905,2026-05-12T16:30:53Z,2026-06-25T15:30:53Z,"11:72,7:71,19:66,4:66,16:61","12Z:231,00Z:231",4.0,8.5,13.5,2.0
Moscow,open_meteo_live_gfs,gfs,11,5,9,9,0.7272727272727273,2026-05-26T12:00:53Z,2026-06-23T15:30:52Z,"17:2,15:1,11:1,20:1,2:1","06Z:4,00Z:3,12Z:1,18Z:1",6.0,8.3,8.5,8.391944444444444
Munich,open_meteo_live_ecmwf,ecmwf,3670,46,466,355,0.1768392370572207,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"5:71,17:68,9:61,2:53,14:46","12Z:238,00Z:228",4.0,8.5,13.5,2.0
Munich,open_meteo_live_gfs,gfs,8,6,7,7,0.25,2026-05-31T19:30:53Z,2026-06-20T11:14:37Z,"11:2,10:2,20:1,17:1,13:1","06Z:3,12Z:2,00Z:2",4.5,5.2,7.5,2.4105555555555553
NYC,open_meteo_live_gfs,gfs,3882,45,1244,942,0.1736218444100979,2026-05-12T15:47:43Z,2026-06-25T15:30:53Z,"11:84,17:81,21:81,23:77,5:75","00Z:321,06Z:317,12Z:316,18Z:290",4.0,6.5,8.3,0.9977777777777778
PanamaCity,open_meteo_live_gfs,gfs,3674,44,584,346,0.17882416984213392,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"23:69,5:67,11:65,17:60,1:43","00Z:156,06Z:148,18Z:141,12Z:139",4.0,5.5,6.0,1.5
Paris,open_meteo_live_gfs,gfs,3740,46,564,438,0.1786096256684492,2026-05-12T15:47:43Z,2026-06-25T15:30:53Z,"17:73,5:72,11:70,1:68,7:51","00Z:153,06Z:148,12Z:138,18Z:125",4.0,5.5,6.0,1.5
SanFrancisco,open_meteo_live_ecmwf,ecmwf,3650,45,414,258,0.18273972602739727,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"20:70,8:69,0:61,5:50,12:49","00Z:227,12Z:187",4.0,8.0,13.5,2.5
SanFrancisco,open_meteo_live_gfs,gfs,6,3,6,6,0.5,2026-06-11T09:30:53Z,2026-06-21T03:31:23Z,"2:2,1:1,6:1,9:1,20:1","06Z:3,00Z:1,12Z:1,18Z:1",4.1,4.5,9.5,2.4330555555555557
SaoPaulo,open_meteo_live_ecmwf,ecmwf,3693,44,468,282,0.15001353912808016,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"1:71,13:69,5:67,10:63,17:60","12Z:243,00Z:225",4.0,8.0,13.5,2.0
SaoPaulo,open_meteo_live_gfs,gfs,2,2,2,2,0.0,2026-05-26T12:00:53Z,2026-05-29T08:30:53Z,"9:1,5:1","06Z:1,00Z:1",6.0,6.0,8.5,68.5
Seattle,open_meteo_live_gfs,gfs,3626,44,1129,847,0.1833976833976834,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"8:83,14:77,20:76,0:76,6:75","06Z:311,12Z:308,00Z:296,18Z:214",4.0,6.0,8.5,1.0
Seoul,open_meteo_live_ecmwf,ecmwf,3012,46,397,252,0.2061752988047809,2026-05-12T15:47:43Z,2026-06-25T15:30:53Z,"13:70,17:69,10:64,5:42,1:37","12Z:200,00Z:197",4.0,8.0,13.5,2.5
Seoul,open_meteo_live_gfs,gfs,4,4,4,4,0.0,2026-06-04T11:00:53Z,2026-06-15T23:00:43Z,"20:1,12:1,16:1,8:1","18Z:2,06Z:1,00Z:1",5.0,7.5,7.5,111.49722222222222
Shanghai,open_meteo_live_gfs,gfs,3090,45,460,309,0.20938511326860842,2026-05-12T16:00:53Z,2026-06-25T15:30:53Z,"12:71,8:67,18:53,0:41,13:38","00Z:148,18Z:121,06Z:104,12Z:87",4.0,5.5,6.0,1.9955555555555555
Shenzhen,open_meteo_live_ecmwf,ecmwf,3248,45,416,231,0.20535714285714285,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"16:72,12:71,9:66,21:47,4:43","12Z:209,00Z:207",4.0,8.0,13.5,2.5
Shenzhen,open_meteo_live_gfs,gfs,9,7,7,7,0.5555555555555556,2026-06-06T11:30:53Z,2026-06-23T06:00:52Z,"19:2,18:2,0:1,20:1,14:1","06Z:5,12Z:1,00Z:1",4.5,5.5,5.8,29.516666666666666
Singapore,open_meteo_live_gfs,gfs,3078,44,471,193,0.1760883690708252,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"12:72,8:64,18:62,0:40,6:37","00Z:148,18Z:119,06Z:118,12Z:86",4.0,5.5,6.0,1.9869444444444444
Taipei,open_meteo_live_gfs,gfs,3098,45,460,348,0.20561652679147838,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"12:69,8:60,18:57,0:40,13:39","00Z:150,18Z:119,06Z:103,12Z:88",4.0,5.5,6.0,1.9941666666666666
TelAviv,open_meteo_live_gfs,gfs,3509,45,505,317,0.1835280706754061,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"6:72,2:70,12:69,18:60,0:43","00Z:139,06Z:139,18Z:118,12Z:109",4.0,5.5,6.0,1.5166666666666666
Tokyo,open_meteo_live_gfs,gfs,3018,46,444,325,0.21305500331345262,2026-05-12T15:47:43Z,2026-06-25T15:30:53Z,"13:69,9:59,19:46,14:39,1:37","00Z:142,18Z:118,06Z:101,12Z:83",4.0,5.5,6.0,2.0
Warsaw,open_meteo_live_ecmwf,ecmwf,3714,46,483,322,0.17878298330640818,2026-05-12T15:47:43Z,2026-06-25T15:30:53Z,"17:72,5:72,9:59,2:56,14:54","12Z:246,00Z:237",4.0,8.5,13.5,1.9833333333333334
Warsaw,open_meteo_live_gfs,gfs,4,4,4,4,0.5,2026-05-21T03:30:53Z,2026-06-24T02:00:20Z,"4:2,23:1,10:1","18Z:3,00Z:1",8.0,8.2,8.2,354.5
Wellington,open_meteo_live_gfs,gfs,2963,46,402,234,0.22578467769152885,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"16:71,12:56,10:37,4:36,22:35","00Z:135,18Z:111,12Z:79,06Z:77",4.0,5.5,6.0,2.0
Wuhan,open_meteo_live_ecmwf,ecmwf,3081,44,400,250,0.1801363193768257,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"12:71,16:70,9:66,4:43,21:41","12Z:203,00Z:197",4.0,8.0,13.0,2.5
Wuhan,open_meteo_live_gfs,gfs,6,5,6,5,0.3333333333333333,2026-05-26T12:00:53Z,2026-06-20T13:41:38Z,"20:1,19:1,11:1,18:1,13:1","06Z:4,18Z:1,00Z:1",5.0,5.2,7.7,127.5
