state_key,orderbook_file,snapshot_ts_utc,snapshot_ts_local,decision_hour_local,city,target_date,unit,winner_label,running_max_c,running_max_f,current_temp_c,final_max_c,final_max_f,running_value,decline,period,materialized_period,current_bracket,yes_current_ask,yes_current_size,current_yes_wins,yes_current_pnl,d1_no_bracket,d1_no_ask,d1_no_size,d1_hit,d1_no_pnl,d1_skip_over_wins_no_only,d2_no_bracket,d2_no_ask,d2_no_size,d2_hit,d2_no_pnl,d2_skip_over_wins_no_only,has_d1_no,has_d2_no,current_yes_cost,d1_no_cost,d2_no_cost,current_yes_pnl,settlement_state,ladder_cost,ladder_pnl,can_ladder,d1_no_minus_yes_pnl,d2_no_minus_yes_pnl,ladder_minus_yes_pnl
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0200.jsonl.gz|Atlanta|2026-05-22|2026-05-22T18:00:53+00:00|14|84-85,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0200.jsonl.gz,2026-05-22T18:00:53+00:00,2026-05-22T18:00:53+00:00,14,Atlanta,2026-05-22,F,86-87,28.88888888888889,84.0,28.88888888888889,30.555555555555557,87.0,84,0.0,train,factory_v1,84-85,0.37,13.75,False,-0.37,86-87,0.46,5.0,True,-0.46,False,88-89,0.947,5.0,False,0.05300000000000005,False,True,True,0.37,0.46,0.947,-0.37,d1_hit,1.407,-0.407,True,-0.09000000000000002,0.42300000000000004,-0.03699999999999998
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0200.jsonl.gz|Houston|2026-05-22|2026-05-22T18:00:53+00:00|13|86-87,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0200.jsonl.gz,2026-05-22T18:00:53+00:00,2026-05-22T18:00:53+00:00,13,Houston,2026-05-22,F,90+,30.0,86.0,30.0,32.22222222222222,90.0,86,0.0,train,factory_v1,86-87,0.59,51.93,False,-0.59,88-89,0.626,8.0,False,0.374,True,90+,0.949,8.0,True,-0.949,False,True,True,0.59,0.626,0.949,-0.59,d2_hit,1.575,-0.575,True,0.964,-0.359,0.015000000000000013
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0200.jsonl.gz|Miami|2026-05-22|2026-05-22T18:00:53+00:00|14|88-89,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0200.jsonl.gz,2026-05-22T18:00:53+00:00,2026-05-22T18:00:53+00:00,14,Miami,2026-05-22,F,88-89,31.11111111111111,88.0,31.11111111111111,31.11111111111111,88.0,88,0.0,train,factory_v1,88-89,0.88,40.61,True,0.12,90-91,0.87,28.0,False,0.13,False,92-93,0.997,335.58,False,0.0030000000000000027,False,True,True,0.88,0.87,0.997,0.12,current_hit,1.867,0.133,True,0.010000000000000009,-0.11699999999999999,0.013000000000000012
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0200.jsonl.gz|NYC|2026-05-22|2026-05-22T18:00:53+00:00|14|66-67,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0200.jsonl.gz,2026-05-22T18:00:53+00:00,2026-05-22T18:00:53+00:00,14,NYC,2026-05-22,F,68-69,18.88888888888889,66.0,18.88888888888889,20.0,68.0,66,0.0,train,factory_v1,66-67,0.73,57.0,False,-0.73,68-69,0.76,96.2,True,-0.76,False,70-71,0.998,37.15,False,0.0020000000000000018,False,True,True,0.73,0.76,0.998,-0.73,d1_hit,1.758,-0.758,True,-0.030000000000000027,0.732,-0.028000000000000025
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0200.jsonl.gz|SaoPaulo|2026-05-22|2026-05-22T18:00:53+00:00|15|17,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0200.jsonl.gz,2026-05-22T18:00:53+00:00,2026-05-22T18:00:53+00:00,15,SaoPaulo,2026-05-22,C,17,17.22222222222222,63.0,17.22222222222222,17.22222222222222,63.0,17,0.0,train,factory_v1,17,0.98,76.56,True,0.020000000000000018,18,0.98,27.02,False,0.020000000000000018,False,,,,False,,False,True,False,0.98,0.98,,0.020000000000000018,current_hit,,,False,0.0,,
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz|Atlanta|2026-05-22|2026-05-22T18:30:53+00:00|14|84-85,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz,2026-05-22T18:30:53+00:00,2026-05-22T18:30:53+00:00,14,Atlanta,2026-05-22,F,86-87,28.88888888888889,84.0,28.88888888888889,30.555555555555557,87.0,84,0.0,train,factory_v1,84-85,0.37,13.75,False,-0.37,86-87,0.46,5.0,True,-0.46,False,88-89,0.947,5.0,False,0.05300000000000005,False,True,True,0.37,0.46,0.947,-0.37,d1_hit,1.407,-0.407,True,-0.09000000000000002,0.42300000000000004,-0.03699999999999998
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz|Austin|2026-05-22|2026-05-22T18:30:53+00:00|13|80-81,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz,2026-05-22T18:30:53+00:00,2026-05-22T18:30:53+00:00,13,Austin,2026-05-22,F,86+,27.22222222222222,81.0,27.22222222222222,30.555555555555557,87.0,81,0.0,train,factory_v1,80-81,0.002,28.71,False,-0.002,82-83,0.997,162.71,False,0.0030000000000000027,True,84-85,0.91,11.0,False,0.08999999999999997,False,True,True,0.002,0.997,0.91,-0.002,skip_over,1.907,0.09299999999999997,True,0.005000000000000003,0.09199999999999997,0.09499999999999997
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz|BuenosAires|2026-05-22|2026-05-22T18:30:53+00:00|15|14,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz,2026-05-22T18:30:53+00:00,2026-05-22T18:30:53+00:00,15,BuenosAires,2026-05-22,C,14,13.88888888888889,57.0,13.88888888888889,13.88888888888889,57.0,14,0.0,train,factory_v1,14,0.988,30.0,True,0.01200000000000001,15,0.99,82.88,False,0.010000000000000009,False,16,0.997,93.82,False,0.0030000000000000027,False,True,True,0.988,0.99,0.997,0.01200000000000001,current_hit,1.987,0.013000000000000012,True,-0.0020000000000000018,-0.009000000000000008,0.0010000000000000009
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz|Houston|2026-05-22|2026-05-22T18:30:53+00:00|13|86-87,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz,2026-05-22T18:30:53+00:00,2026-05-22T18:30:53+00:00,13,Houston,2026-05-22,F,90+,30.0,86.0,30.0,32.22222222222222,90.0,86,0.0,train,factory_v1,86-87,0.59,51.93,False,-0.59,88-89,0.626,8.0,False,0.374,True,90+,0.949,8.0,True,-0.949,False,True,True,0.59,0.626,0.949,-0.59,d2_hit,1.575,-0.575,True,0.964,-0.359,0.015000000000000013
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz|Miami|2026-05-22|2026-05-22T18:30:53+00:00|14|88-89,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-23/orderbook_snapshot_20260523_0230.jsonl.gz,2026-05-22T18:30:53+00:00,2026-05-22T18:30:53+00:00,14,Miami,2026-05-22,F,88-89,31.11111111111111,88.0,31.11111111111111,31.11111111111111,88.0,88,0.0,train,factory_v1,88-89,0.88,40.61,True,0.12,90-91,0.87,28.0,False,0.13,False,92-93,0.997,335.58,False,0.0030000000000000027,False,True,True,0.88,0.87,0.997,0.12,current_hit,1.867,0.133,True,0.010000000000000009,-0.11699999999999999,0.013000000000000012
