rows,active_dates,cities,avg_p,avg_entry,avg_edge,hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,max_loss_per_share,leg,edge_threshold
38,4,19,0.454035411541724,0.19386842105263158,0.2549896220680398,0.2631578947368421,7.563739999999999,2.4362600000000003,0.3220972693403,-0.14041161389868462,0.861066716915468,-0.7584,current_yes,0.0
37,4,18,0.45050937557046195,0.1837027027027027,0.2618207269218133,0.24324324324324326,6.981479999999999,2.0185200000000005,0.28912494198937777,-0.14041161389868462,0.8835685551683775,-0.7584,current_yes,0.01
37,4,18,0.45050937557046195,0.1837027027027027,0.2618207269218133,0.24324324324324326,6.981479999999999,2.0185200000000005,0.28912494198937777,-0.14041161389868462,0.8835685551683775,-0.7584,current_yes,0.02
37,4,18,0.45050937557046195,0.1837027027027027,0.2618207269218133,0.24324324324324326,6.981479999999999,2.0185200000000005,0.28912494198937777,-0.14041161389868462,0.8835685551683775,-0.7584,current_yes,0.03
46,4,21,0.8269456168276659,0.608,0.20897648639288324,0.6956521739130435,28.42658,3.573419999999999,0.12570699676148164,0.04042599994847415,0.32130235110023586,-0.76912,d1_no,0.0
45,4,20,0.8245642242283013,0.6009777777777778,0.21347377978385684,0.6888888888888889,27.49907,3.5009299999999994,0.1273108508760478,0.03860872130129365,0.33637135087098013,-0.76912,d1_no,0.01
43,4,20,0.8248930322935718,0.5918837209302326,0.22273884624706014,0.6744186046511628,25.89263,3.10737,0.1200098251896389,-0.03133674076779155,0.3570342943993053,-0.76912,d1_no,0.02
43,4,20,0.8248930322935718,0.5918837209302326,0.22273884624706014,0.6744186046511628,25.89263,3.10737,0.1200098251896389,-0.03133674076779155,0.3570342943993053,-0.76912,d1_no,0.03
32,4,17,0.8035054255014364,0.65471875,0.1386079255014364,0.65625,21.276719999999997,-0.2767200000000004,-0.01300576404633799,-0.15599706286977877,0.1323256321465188,-0.96192,d2_no,0.0
30,4,16,0.8012585030004343,0.643,0.14779483633376772,0.6333333333333333,19.603910000000006,-0.6039100000000002,-0.030805589293156313,-0.17941760532175038,0.10820023848469128,-0.96192,d2_no,0.01
29,4,15,0.8067890207571389,0.6441379310344828,0.15223660696403557,0.6551724137931034,18.982020000000006,0.017979999999999552,0.0009472121512884059,-0.10313767285152892,0.10820023848469128,-0.96192,d2_no,0.02
25,4,12,0.7875570135807607,0.6036,0.1725962135807606,0.68,15.37402,1.6259799999999995,0.10576153797120073,-0.08299113619232244,0.26531997456706846,-0.67122,d2_no,0.03
21,2,13,0.8467115939483036,0.6665714285714286,0.17116207013877988,0.5714285714285714,14.186539999999999,-2.18654,-0.15412778591538176,-0.22260886634022714,0.026770473161503234,-0.8496199999999999,d3_no,0.0
18,2,11,0.8386232302549759,0.6302777777777778,0.19858211914386475,0.5555555555555556,11.520740000000002,-1.5207400000000002,-0.13200020137595328,-0.21311785002813105,0.026770473161503234,-0.8496199999999999,d3_no,0.01
17,2,11,0.8300749852030664,0.6102941176470589,0.2095291028501253,0.5294117647058824,10.54928,-1.5492799999999998,-0.14686120758952267,-0.2485237248574825,0.026770473161503234,-0.8496199999999999,d3_no,0.02
17,2,11,0.8300749852030664,0.6102941176470589,0.2095291028501253,0.5294117647058824,10.54928,-1.5492799999999998,-0.14686120758952267,-0.2485237248574825,0.026770473161503234,-0.8496199999999999,d3_no,0.03
