snapshot_file,snapshot_ts_utc,ts_beijing,ts_local,local_hour,local_minute,city,city_pool,target_date,unit,bracket,leg,outcome,target_bracket_low_native,target_bracket_high_native,running_value,running_native,latest_native,decline_native,metar_current_max_f,metar_latest_temp_f,metar_latest_ts_utc,metar_obs_count_today,forecast_max_native,forecast_gap_to_running_native,forecast_peak_time_local,forecast_peak_delta_hours_local,forecast_source,entry_price,best_bid,spread,top_size,depth_5c,bid_depth_5c,residual_points,condition_id,market_id,yes_best_ask,yes_best_bid,no_best_ask,no_best_bid,question,heating_done_score_v1,heating_done_bucket_v1,heating_done_reasons_v1,leg_residual_done_score_v1,leg_residual_done_bucket_v1,leg_residual_done_reasons_v1,final_yes,settled,win,fee_per_share,cost_per_share,pnl_per_share,roi,period,price_band,residual_band,peak_delta_bucket,forecast_gap_bucket,path_state,hour,p_leg_win_physical_v1,p_model,model_edge_per_share,first_edge_ge_0
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1512.json,2026-07-06T07:12:18Z,2026-07-06 15:12:18,2026-07-06 15:12:18,15,12,Chengdu,t1_trading,2026-07-06,C,37,current_yes,yes,37.0,37.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,-0.8,open_meteo_live_ecmwf,0.63,0.52,0.11,5.0,132.1,48.33,37.0,0x4dbaa1389924439e1dee87a5085efbf364529a405d262832a17341c034ef7fc3,2791404,0.63,0.52,0.48,0.37,Will the highest temperature in Chengdu be 37°C on July 6?,0.1,runway_still_open,forecast_room_le_2_steps;at_running_high_plateau,0.1,leg_residual_not_done,forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.01166,0.64166,,,post_forward_incomplete,lt90,gt10,peak_1h_to_15m_ahead,room_0_1,at_high,15,0.5443024073586971,0.5443024073586971,-0.09735759264130295,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1512.json,2026-07-06T07:12:18Z,2026-07-06 15:12:18,2026-07-06 15:12:18,15,12,Chengdu,t1_trading,2026-07-06,C,38,d1_no,no,38.0,38.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,-0.8,open_meteo_live_ecmwf,0.7,0.64,0.06,20.0,60.14,13.3,30.000000000000004,0xb6498196415162ef277a1b4d1ef4acdb85408cd064222c4cce14ac4cbfb03858,2791405,0.36,0.3,0.7,0.64,Will the highest temperature in Chengdu be 38°C on July 6?,0.1,runway_still_open,forecast_room_le_2_steps;at_running_high_plateau,0.1,leg_residual_not_done,forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.0105,0.7104999999999999,,,post_forward_incomplete,lt90,gt10,peak_1h_to_15m_ahead,room_0_1,at_high,15,0.9050153910619406,0.9050153910619406,0.1945153910619407,True
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1512.json,2026-07-06T07:12:18Z,2026-07-06 15:12:18,2026-07-06 15:12:18,15,12,Chengdu,t1_trading,2026-07-06,C,39,d2_no,no,39.0,39.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,-0.8,open_meteo_live_ecmwf,0.93,0.88,0.05,8.0,540.98,99.14,6.999999999999995,0x90dec7927147020d6605548ee141d9d1ed420d1602f07d85e68c56402a0915a9,2791406,0.12,0.07,0.93,0.88,Will the highest temperature in Chengdu be 39°C on July 6?,0.1,runway_still_open,forecast_room_le_2_steps;at_running_high_plateau,0.55,leg_residual_done_probable,forecast_room_le_2_steps;at_running_high_plateau;forecast_below_far_no_by_2_steps,,False,,0.00325,0.93325,,,post_forward_incomplete,90_95,5_10,peak_1h_to_15m_ahead,room_0_1,at_high,15,0.9070767791847032,0.9070767791847032,-0.026173220815296827,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1512.json,2026-07-06T07:12:18Z,2026-07-06 15:12:18,2026-07-06 15:12:18,15,12,Chengdu,t1_trading,2026-07-06,C,40,d3_no,no,40.0,40.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,-0.8,open_meteo_live_ecmwf,0.998,0.991,0.007,256.37,1909.38,271.95,0.2000000000000001,0xaf755f100436b48f13583a5af3848d2764b9b21e93bad212b9846bae8fd12962,2791407,0.009,0.002,0.998,0.991,Will the highest temperature in Chengdu be 40°C on July 6?,0.1,runway_still_open,forecast_room_le_2_steps;at_running_high_plateau,0.55,leg_residual_done_probable,forecast_room_le_2_steps;at_running_high_plateau;forecast_below_far_no_by_2_steps,,False,,0.0001,0.9981,,,post_forward_incomplete,99_plus,lt1,peak_1h_to_15m_ahead,room_0_1,at_high,15,0.9213091481865187,0.9213091481865187,-0.07679085181348133,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1528.json,2026-07-06T07:28:57Z,2026-07-06 15:28:57,2026-07-06 15:28:57,15,28,Chengdu,t1_trading,2026-07-06,C,37,current_yes,yes,37.0,37.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,-0.53,open_meteo_live_ecmwf,0.67,0.66,0.01,80.23,116.23,197.0,32.99999999999999,0x4dbaa1389924439e1dee87a5085efbf364529a405d262832a17341c034ef7fc3,2791404,0.67,0.66,0.34,0.33,Will the highest temperature in Chengdu be 37°C on July 6?,0.1,runway_still_open,forecast_room_le_2_steps;at_running_high_plateau,0.1,leg_residual_not_done,forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.01105,0.68105,,,post_forward_incomplete,lt90,gt10,peak_1h_to_15m_ahead,room_0_1,at_high,15,0.5494165211182248,0.5494165211182248,-0.13163347888177523,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1528.json,2026-07-06T07:28:57Z,2026-07-06 15:28:57,2026-07-06 15:28:57,15,28,Chengdu,t1_trading,2026-07-06,C,38,d1_no,no,38.0,38.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,-0.53,open_meteo_live_ecmwf,0.7,0.65,0.05,20.0,45.0,12.0,30.000000000000004,0xb6498196415162ef277a1b4d1ef4acdb85408cd064222c4cce14ac4cbfb03858,2791405,0.35,0.3,0.7,0.65,Will the highest temperature in Chengdu be 38°C on July 6?,0.1,runway_still_open,forecast_room_le_2_steps;at_running_high_plateau,0.1,leg_residual_not_done,forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.0105,0.7104999999999999,,,post_forward_incomplete,lt90,gt10,peak_1h_to_15m_ahead,room_0_1,at_high,15,0.9067747099833683,0.9067747099833683,0.19627470998336838,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1528.json,2026-07-06T07:28:57Z,2026-07-06 15:28:57,2026-07-06 15:28:57,15,28,Chengdu,t1_trading,2026-07-06,C,39,d2_no,no,39.0,39.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,-0.53,open_meteo_live_ecmwf,0.95,0.94,0.01,88.0,1328.46,145.84,5.000000000000004,0x90dec7927147020d6605548ee141d9d1ed420d1602f07d85e68c56402a0915a9,2791406,0.06,0.05,0.95,0.94,Will the highest temperature in Chengdu be 39°C on July 6?,0.1,runway_still_open,forecast_room_le_2_steps;at_running_high_plateau,0.55,leg_residual_done_probable,forecast_room_le_2_steps;at_running_high_plateau;forecast_below_far_no_by_2_steps,,False,,0.00238,0.95238,,,post_forward_incomplete,90_95,5_10,peak_1h_to_15m_ahead,room_0_1,at_high,15,0.9088017642977122,0.9088017642977122,-0.043578235702287804,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1528.json,2026-07-06T07:28:57Z,2026-07-06 15:28:57,2026-07-06 15:28:57,15,28,Chengdu,t1_trading,2026-07-06,C,40,d3_no,no,40.0,40.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,-0.53,open_meteo_live_ecmwf,0.997,0.996,0.001,140.0,1793.01,463.28,0.3000000000000002,0xaf755f100436b48f13583a5af3848d2764b9b21e93bad212b9846bae8fd12962,2791407,0.004,0.003,0.997,0.996,Will the highest temperature in Chengdu be 40°C on July 6?,0.1,runway_still_open,forecast_room_le_2_steps;at_running_high_plateau,0.55,leg_residual_done_probable,forecast_room_le_2_steps;at_running_high_plateau;forecast_below_far_no_by_2_steps,,False,,0.00015,0.99715,,,post_forward_incomplete,99_plus,lt1,peak_1h_to_15m_ahead,room_0_1,at_high,15,0.9227924181405627,0.9227924181405627,-0.0743575818594373,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1545.json,2026-07-06T07:45:43Z,2026-07-06 15:45:43,2026-07-06 15:45:43,15,45,Chengdu,t1_trading,2026-07-06,C,37,current_yes,yes,37.0,37.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,-0.25,open_meteo_live_ecmwf,0.64,0.58,0.06,5.0,88.0,37.67,36.0,0x4dbaa1389924439e1dee87a5085efbf364529a405d262832a17341c034ef7fc3,2791404,0.64,0.58,0.42,0.36,Will the highest temperature in Chengdu be 37°C on July 6?,0.2,runway_still_open,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau,0.2,leg_residual_not_done,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.01152,0.65152,,,post_forward_incomplete,lt90,gt10,peak_1h_to_15m_ahead,room_0_1,at_high,15,0.5548043039592132,0.5548043039592132,-0.09671569604078678,False
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1545.json,2026-07-06T07:45:43Z,2026-07-06 15:45:43,2026-07-06 15:45:43,15,45,Chengdu,t1_trading,2026-07-06,C,38,d1_no,no,38.0,38.0,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T07:00:00Z,16,37.6,0.6000000000000014,2026-07-06T16:00,-0.25,open_meteo_live_ecmwf,0.68,0.64,0.04,29.63,100.47,29.43,31.999999999999996,0xb6498196415162ef277a1b4d1ef4acdb85408cd064222c4cce14ac4cbfb03858,2791405,0.36,0.32,0.68,0.64,Will the highest temperature in Chengdu be 38°C on July 6?,0.2,runway_still_open,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau,0.2,leg_residual_not_done,near_forecast_peak;forecast_room_le_2_steps;at_running_high_plateau;uses_day_heating_done,,False,,0.01088,0.69088,,,post_forward_incomplete,lt90,gt10,peak_1h_to_15m_ahead,room_0_1,at_high,15,0.9086002931105623,0.9086002931105623,0.2177202931105623,False
