rows,active_dates,cities,avg_p,avg_entry,avg_edge,hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,max_loss_per_share,pred_name,scope,edge_threshold,is_leaky_eval
231,11,34,0.7254049452041459,0.513965367965368,0.20357355992276047,0.5238095238095238,120.54305,0.45694999999999997,0.003790761889631961,-0.11449992651664849,0.09946619890579923,-0.96192,lodo,all_lodo,0.0,False
220,11,30,0.7143194393747935,0.4926090909090909,0.21355407573842983,0.5,110.16837999999998,-0.16837999999999997,-0.0015283877279487997,-0.12289678774824395,0.0993550558701254,-0.96192,lodo,all_lodo,0.01,False
209,11,30,0.7051036222600124,0.47274162679425835,0.2240284069490077,0.48325358851674644,100.54471999999998,0.45528000000000013,0.0045281343465872715,-0.11869253824073212,0.11054084527559936,-0.96192,lodo,all_lodo,0.02,False
201,11,30,0.6978163543470963,0.45738308457711446,0.23198152847644968,0.47761194029850745,93.6328,2.3671999999999995,0.02528173887782913,-0.1207864657810252,0.13865849665678323,-0.8496199999999999,lodo,all_lodo,0.03,False
212,5,34,0.7446207771960559,0.5355518867924529,0.20105308851681064,0.5566037735849056,115.23634999999999,2.76365,0.023982449982145396,-0.03611569956167652,0.12438456392239877,-0.96192,lodo,forward_lodo,0.0,False
201,5,30,0.733539000427168,0.5133582089552239,0.2118390999296554,0.5323383084577115,104.86167999999999,2.1383200000000007,0.020391815198840996,-0.04376494562328671,0.12883439448141742,-0.96192,lodo,forward_lodo,0.01,False
190,5,30,0.7245143130302568,0.49270526315789476,0.22326157618815143,0.5157894736842106,95.23801999999999,2.7619799999999994,0.029000812910642194,-0.037336703425001984,0.14162353708078873,-0.96192,lodo,forward_lodo,0.02,False
182,5,29,0.7173195035558931,0.47662087912087914,0.23201126179765139,0.510989010989011,88.3261,4.6739000000000015,0.052916408626668694,-0.039754426277924644,0.17564108318988986,-0.8496199999999999,lodo,forward_lodo,0.03,False
137,4,28,0.7210654095008648,0.513021897810219,0.1995064313986751,0.5474452554744526,71.45357999999999,3.5464199999999995,0.04963250266816582,-0.03514933118874427,0.18989477892680479,-0.96192,expanding,forward_expanding,0.0,False
130,4,26,0.7146708478537173,0.4959692307692308,0.21001546323833264,0.5307692307692308,65.6052,3.3948,0.05174589819099706,-0.03502580616701222,0.18890008908258524,-0.96192,expanding,forward_expanding,0.01,False
126,4,26,0.7114873304376179,0.48653174603174604,0.21620629869158603,0.5238095238095238,62.405409999999996,3.5945899999999993,0.057600615074878916,-0.054593979292389745,0.21321646366390318,-0.96192,expanding,forward_expanding,0.02,False
122,4,26,0.7044216997762445,0.4730573770491804,0.22247571616968712,0.5245901639344263,58.79740999999999,5.202590000000001,0.08848331924824582,-0.03938821559052043,0.21321646366390318,-0.8496199999999999,expanding,forward_expanding,0.03,False
214,5,32,0.7329610602517811,0.5294626168224299,0.19534802286860362,0.5607476635514018,115.04918999999998,4.950810000000001,0.04303211521958565,-0.021090023788588135,0.150160734962711,-0.96192,full_leaky,forward_full_leaky,0.0,True
203,5,31,0.7217653737066055,0.5077093596059113,0.20561611262286172,0.5467980295566502,104.77829999999999,6.2217,0.059379661628409706,-0.01700818398134409,0.17074286961050844,-0.92272,full_leaky,forward_full_leaky,0.01,True
192,5,31,0.7141129522631614,0.48894791666666676,0.21658086892982817,0.53125,95.52616,6.473839999999997,0.06777033641884063,-0.03376501165083347,0.1918725060388207,-0.92272,full_leaky,forward_full_leaky,0.02,True
181,5,29,0.703792762554623,0.4668066298342542,0.22823668520655674,0.5138121546961326,86.07565,6.9243500000000004,0.08044493419451379,-0.04838647338468726,0.21587988308973385,-0.81769,full_leaky,forward_full_leaky,0.03,True
