snapshot_ts_utc,city,target_date,leg,bracket,unit,win,entry_price,p_market_entry_v1,p_heating_done_score_v1,p_leg_win_physical_lodo_v1,p_leg_win_physical_expanding_v1,p_leg_win_physical_v1,local_time_float,forecast_peak_delta_hours_local,forecast_gap_to_running_native,decline_native,target_distance_native,forecast_margin_to_target_native,metar_obs_count_today,running_value,leg.1,unit.1,path_state,peak_delta_bucket,forecast_gap_bucket,fee_per_share,cost_per_share,p_model,model_edge_per_share,pnl_per_share,roi,pred_name,scope,edge_threshold,is_leaky_eval
2026-06-22T09:59:18Z,Ankara,2026-06-22,current_yes,24,C,0.0,0.01,0.01,1e-06,0.2253393996691135,,0.2150067548513364,17.983333333333334,-2.02,1.5,0.0,0.0,-1.5,26,24,current_yes,C,at_high,peak_gt1h_ahead,room_1_2,0.00049,0.01049,0.2253393996691135,0.2148493996691135,-0.01049,-1.0,lodo,all_lodo,0.0,False
2026-06-22T10:35:52Z,Amsterdam,2026-06-22,d2_no,25,C,0.0,0.67,0.67,0.35,0.7287185767148974,,0.7110899744374658,18.583333333333332,-3.42,1.1000000000000014,0.0,2.0,0.8999999999999986,25,23,d2_no,C,at_high,peak_gt1h_ahead,room_1_2,0.01105,0.68105,0.7287185767148974,0.047668576714897326,-0.68105,-1.0,lodo,all_lodo,0.0,False
2026-06-22T10:35:52Z,Ankara,2026-06-22,current_yes,25,C,0.0,0.12,0.12,1e-06,0.2287052193417876,,0.2129963966335321,18.583333333333332,-1.42,0.5,0.0,0.0,-0.5,27,25,current_yes,C,at_high,peak_gt1h_ahead,room_0_1,0.00528,0.12528,0.2287052193417876,0.10342521934178761,-0.12528,-1.0,lodo,all_lodo,0.0,False
2026-06-22T10:35:52Z,Ankara,2026-06-22,d1_no,26,C,0.0,0.56,0.56,1e-06,0.6909180173012773,,0.6758500912182581,18.583333333333332,-1.42,0.5,0.0,1.0,0.5,27,25,d1_no,C,at_high,peak_gt1h_ahead,room_0_1,0.01232,0.57232,0.6909180173012773,0.11859801730127728,-0.57232,-1.0,lodo,all_lodo,0.0,False
2026-06-25T10:24:22Z,Ankara,2026-06-25,current_yes,27,C,0.0,0.01,0.01,1e-06,0.2203744208298556,,0.2196848649818072,18.4,-2.6,0.6000000000000014,0.0,0.0,-0.6000000000000014,26,27,current_yes,C,at_high,peak_gt1h_ahead,room_0_1,0.00049,0.01049,0.2203744208298556,0.2098844208298556,-0.01049,-1.0,lodo,all_lodo,0.0,False
2026-06-26T09:51:31Z,Ankara,2026-06-26,current_yes,27,C,0.0,0.016,0.016,1e-06,0.2042580273550802,,0.2053516195761077,17.85,-2.15,0.3999999999999986,0.0,0.0,-0.3999999999999986,25,27,current_yes,C,at_high,peak_gt1h_ahead,room_0_1,0.00079,0.01679,0.2042580273550802,0.1874680273550802,-0.01679,-1.0,lodo,all_lodo,0.0,False
2026-06-27T09:26:44Z,Amsterdam,2026-06-27,d2_no,30,C,0.0,0.665,0.665,0.2,0.7539063700403137,,0.7395865853283042,17.433333333333334,-6.57,1.6999999999999993,0.0,2.0,0.3000000000000007,22,28,d2_no,C,at_high,peak_gt1h_ahead,room_1_2,0.01114,0.6761400000000001,0.7539063700403137,0.07776637004031361,-0.6761400000000001,-1.0,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Amsterdam,2026-06-30,d3_no,21,C,1.0,0.743,0.743,1e-06,0.8950687718499194,,0.8920131550332931,15.433333333333334,-5.57,3.3999999999999986,0.0,3.0,-0.3999999999999986,18,18,d3_no,C,at_high,peak_gt1h_ahead,room_gt2,0.00955,0.7525499999999999,0.8950687718499194,0.14251877184991946,0.24745000000000006,0.32881536110557447,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Atlanta,2026-06-30,d3_no,90-91,F,1.0,0.969,0.969,1e-06,0.9893976412514898,,0.9917434397103152,15.433333333333334,-13.57,11.700000000000005,4.0,6.0,-5.700000000000003,3,84,d3_no,F,decline,peak_gt1h_ahead,room_gt2,0.0015,0.9704999999999999,0.9893976412514898,0.01889764125148985,0.02950000000000008,0.03039670273055135,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Dallas,2026-06-30,d3_no,92-93,F,1.0,0.94,0.94,1e-06,0.9827836443139134,,0.9841800318958158,15.433333333333334,-13.57,11.5,2.0,6.0,-5.5,2,86,d3_no,F,decline,peak_gt1h_ahead,room_gt2,0.00282,0.94282,0.9827836443139134,0.039963644313913416,0.05718000000000001,0.06064784370293376,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Helsinki,2026-06-30,d3_no,26,C,0.0,0.73,0.73,0.2,0.8946248006554863,,0.8842935145114938,15.433333333333334,-6.57,3.0,0.0,3.0,0.0,21,23,d3_no,C,at_high,peak_gt1h_ahead,room_gt2,0.00985,0.73985,0.8946248006554863,0.15477480065548632,-0.73985,-1.0,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,HongKong,2026-06-30,current_yes,33,C,0.0,0.049,0.049,0.8,0.7427896938114358,,0.7233137778718584,15.433333333333334,3.43,-3.0,0.5555555555555571,0.0,3.0,38,33,current_yes,C,decline,post_peak_gt1_5h,busted_lt_minus1,0.00233,0.05133,0.7427896938114358,0.6914596938114358,-0.05133,-1.0,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Istanbul,2026-06-30,current_yes,26,C,0.0,0.017,0.017,1e-06,0.246837268358972,,0.2233897375860942,15.433333333333334,-3.57,1.0,0.0,0.0,-1.0,21,26,current_yes,C,at_high,peak_gt1h_ahead,room_0_1,0.00084,0.01784,0.246837268358972,0.228997268358972,-0.01784,-1.0,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Istanbul,2026-06-30,d1_no,27,C,0.0,0.43,0.43,1e-06,0.700756342321099,,0.689054368320274,15.433333333333334,-3.57,1.0,0.0,1.0,0.0,21,26,d1_no,C,at_high,peak_gt1h_ahead,room_0_1,0.01226,0.44226,0.700756342321099,0.25849634232109897,-0.44226,-1.0,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Istanbul,2026-06-30,d2_no,28,C,1.0,0.68,0.68,0.45,0.7133947926511912,,0.7089194732238134,15.433333333333334,-3.57,1.0,0.0,2.0,1.0,21,26,d2_no,C,at_high,peak_gt1h_ahead,room_0_1,0.01088,0.69088,0.7133947926511912,0.022514792651191162,0.30911999999999995,0.4474293654469661,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Jeddah,2026-06-30,current_yes,38,C,0.0,0.06,0.06,1e-06,0.3168673953536312,,0.2853668290338421,15.433333333333334,-2.57,3.3999999999999986,0.0,0.0,-3.3999999999999986,11,38,current_yes,C,at_high,peak_gt1h_ahead,room_gt2,0.00282,0.06282,0.3168673953536312,0.2540473953536312,-0.06282,-1.0,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Jeddah,2026-06-30,d2_no,40+,C,0.0,0.19,0.19,1e-06,0.7789013986585313,,0.7717411283717464,15.433333333333334,-2.57,3.3999999999999986,0.0,2.0,-1.3999999999999986,11,38,d2_no,C,at_high,peak_gt1h_ahead,room_gt2,0.0077,0.19770000000000001,0.7789013986585313,0.5812013986585313,-0.19770000000000001,-1.0,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Karachi,2026-06-30,d1_no,34,C,0.0,0.47,0.47,1e-06,0.6445228587183928,,0.615477870317104,15.433333333333334,-1.57,0.5,0.0,1.0,0.5,25,33,d1_no,C,at_high,peak_gt1h_ahead,room_0_1,0.01246,0.48246,0.6445228587183928,0.16206285871839277,-0.48246,-1.0,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Lucknow,2026-06-30,d1_no,33,C,1.0,0.879,0.879,0.1,0.9775035137892716,,0.985830122344071,15.433333333333334,-0.07,3.8999999999999986,3.333333333333332,1.0,-2.8999999999999986,26,32,d1_no,C,decline,near_peak,room_gt2,0.00532,0.88432,0.9775035137892716,0.09318351378927159,0.11568,0.1308123756106387,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Lucknow,2026-06-30,d2_no,34,C,1.0,0.94,0.94,1e-06,0.9788071330001454,,0.9870905926241894,15.433333333333334,-0.07,3.8999999999999986,3.333333333333332,2.0,-1.8999999999999984,26,32,d2_no,C,decline,near_peak,room_gt2,0.00282,0.94282,0.9788071330001454,0.035987133000145444,0.05718000000000001,0.06064784370293376,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Moscow,2026-06-30,d3_no,25,C,1.0,0.82,0.82,0.2,0.8942475659004632,,0.8831374391535023,15.433333333333334,-6.57,2.8000000000000007,0.0,3.0,0.1999999999999993,21,22,d3_no,C,at_high,peak_gt1h_ahead,room_gt2,0.00738,0.82738,0.8942475659004632,0.06686756590046317,0.17262,0.20863448475911914,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Shenzhen,2026-06-30,d1_no,33,C,1.0,0.9,0.9,0.8,0.950603263152051,,0.9639561934076604,15.433333333333334,3.43,-0.8000000000000007,1.1111111111111107,1.0,1.8000000000000007,16,32,d1_no,C,decline,post_peak_gt1_5h,capped_minus1_0,0.0045,0.9045,0.950603263152051,0.046103263152051044,0.09550000000000003,0.10558319513543397,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,Singapore,2026-06-30,d1_no,29,C,1.0,0.828,0.828,0.05,0.94992492227111,,0.9603350135490534,15.433333333333334,0.43,2.3999999999999986,0.0,1.0,-1.3999999999999986,33,28,d1_no,C,at_high,near_peak,room_gt2,0.00712,0.83512,0.94992492227111,0.11480492227111005,0.16488000000000003,0.1974327042820194,lodo,all_lodo,0.0,False
2026-06-30T07:26:03Z,TelAviv,2026-06-30,current_yes,30,C,0.0,0.038,0.038,1e-06,0.3638821158391254,,0.3165907777579753,15.433333333333334,-3.57,2.3999999999999986,0.0,0.0,-2.3999999999999986,21,30,current_yes,C,at_high,peak_gt1h_ahead,room_gt2,0.00183,0.03983,0.3638821158391254,0.3240521158391254,-0.03983,-1.0,lodo,all_lodo,0.0,False
