target_date,all_rows,all_wins,all_win_rate,all_roi,rain_rows,rain_wins,rain_win_rate,rain_roi
2026-07-16,8,2,0.25,0.8779396504374963,1,1,1.0,4.647962497529016
2026-07-19,5,1,0.2,0.9938986700695871,1,0,0.0,-1.0
2026-07-20,11,3,0.2727272727272727,0.9134499393978512,1,0,0.0,-1.0
2026-07-21,9,0,0.0,-1.0,3,0,0.0,-1.0
2026-07-22,15,2,0.13333333333333333,0.06535724318145388,2,0,0.0,-1.0
2026-07-23,11,0,0.0,-1.0,0,0,,
2026-07-24,9,0,0.0,-1.0,3,0,0.0,-1.0
2026-07-25,16,4,0.25,0.9371661279044448,8,3,0.375,1.8895922905677685
