checkpoint_hour_local,metric,horizon_min,rows,dates,tickets,wins,brier_delta,brier_delta_ci_low,brier_delta_ci_high,logloss_delta,logloss_delta_ci_low,logloss_delta_ci_high,mean_signed_move,signed_move_ci_low,signed_move_ci_high
9,terminal_probability_gamma_1,0,12,7,12,2,-0.019412419899954927,-0.0944044233693517,0.007696758788357739,-0.07628374930725941,-0.26462454150205705,0.016147387853871646,,,
9,price_lead_lag,60,12,7,12,2,,,,,,,0.036250000000000004,-0.01719047619047619,0.06673809523809524
9,price_lead_lag,180,11,7,11,2,,,,,,,0.05040909090909092,-0.028642857142857144,0.09242857142857143
12,terminal_probability_gamma_1,0,12,7,12,1,-0.013879478842129376,-0.07758748175360677,0.0019069051786489066,-0.03421026557456812,-0.17252417031588121,0.007005897450926118,,,
12,price_lead_lag,60,12,7,12,1,,,,,,,0.03333333333333333,-0.004285714285714287,0.09042857142857143
12,price_lead_lag,180,12,7,12,1,,,,,,,-0.018375,-0.06394047619047619,0.01610714285714286
