block,cohort,rows,active_dates,all_block_dates,rows_per_all_block_date,wins,win_rate,cost,pnl,roi,avg_ask,source
historical_discovery_non_pit,rain_convective_ecmwf,24,13,26,0.9230769230769231,7,0.2916666666666667,26.388884224999998,37.611115775,1.4252635865281646,0.11989583333333335,ecmwf
historical_discovery_non_pit,rain_convective_gfs,5,5,26,0.19230769230769232,0,0.0,3.1519516999999997,-3.1519516999999997,-1.0,0.0855,gfs
historical_replication_non_pit,rain_convective_ecmwf,30,21,27,1.1111111111111112,8,0.26666666666666666,27.36921395,36.630786050000005,1.3383937922703844,0.10583333333333335,ecmwf
historical_replication_non_pit,rain_convective_gfs,15,13,27,0.5555555555555556,4,0.26666666666666666,10.651821675,15.348178325,1.4408970402708134,0.09380000000000001,gfs
current_frozen_pit,rain_convective_ecmwf,15,5,8,1.875,3,0.2,9.937368750000003,5.062631249999999,0.5094538984477152,0.127,ecmwf
current_frozen_pit,rain_convective_gfs,4,4,8,0.5,1,0.25,2.763175,2.2368250000000005,0.809512607779095,0.1325,gfs
