scope,method,slice,value,rows,dates,cost,pnl,roi,roi_ci_low,roi_ci_high
dev_cv,loo_no_city_source_blend,actual_bucket,current,370,19,192.188,47.812,0.2487772389535247,0.1419230419085304,0.3497517524227521
dev_cv,loo_no_city_source_blend,actual_bucket,d1,365,19,187.189,-44.189,-0.23606622183995854,-0.32590313908052937,-0.15428622920342097
dev_cv,loo_no_city_source_blend,actual_bucket,d2,207,19,117.469,6.531000000000001,0.05559764703879322,-0.07325121373275516,0.17953449042319092
dev_cv,loo_no_city_source_blend,actual_bucket,tail,126,19,76.676,30.324,0.3954822891126298,0.3396457257902025,0.4578564975603414
dev_cv,loo_no_city_source_blend,ask_bucket,0-0.25,196,19,21.846000000000004,6.154,0.2816991668955415,-0.15216727609700226,0.7559943640569848
dev_cv,loo_no_city_source_blend,ask_bucket,0.25-0.50,224,19,88.97200000000001,5.028,0.056512161129344055,-0.1587659490762951,0.2544102850037117
dev_cv,loo_no_city_source_blend,ask_bucket,0.50-0.75,392,19,251.79000000000002,18.209999999999997,0.07232217323960441,0.007928700921683275,0.12753972227363694
dev_cv,loo_no_city_source_blend,ask_bucket,0.75-1.00,256,19,210.914,11.085999999999999,0.05256170761542619,-0.0051964237978590734,0.10686619566920534
dev_cv,loo_no_city_source_blend,day_regime,day_forecast_busted,233,19,116.906,5.094,0.043573469283013706,-0.1044712957215307,0.17926174610128712
dev_cv,loo_no_city_source_blend,day_regime,day_forecast_capped,237,19,128.174,18.826,0.1468784620905956,0.02938278464347027,0.25402656356878484
dev_cv,loo_no_city_source_blend,day_regime,day_marginal_runway,226,19,129.39000000000001,1.6099999999999999,0.01244300177757168,-0.08529735606097895,0.10630718042962463
dev_cv,loo_no_city_source_blend,day_regime,day_open_runway,372,19,199.05200000000002,14.948,0.07509595482587464,-0.006885791869708439,0.1570336260784776
dev_cv,loo_no_city_source_blend,edge_bucket,0.02-0.05,716,19,398.999,19.000999999999998,0.04762167323727628,-0.002268998889505,0.09633432206435878
dev_cv,loo_no_city_source_blend,edge_bucket,0.05-0.10,312,19,157.90699999999998,22.093,0.13991146687607264,0.027936755682637825,0.23659440454181144
dev_cv,loo_no_city_source_blend,edge_bucket,0.10+,40,17,16.616,-0.6159999999999995,-0.037072701011073635,-0.4010568800907026,0.3104815772339097
dev_cv,loo_no_city_source_blend,expression,current_no,248,19,103.498,14.502000000000002,0.14011864963574178,0.007114741885963111,0.2636921941006659
dev_cv,loo_no_city_source_blend,expression,current_yes,256,19,122.53399999999999,11.466000000000003,0.09357402843292477,-0.04852540268538729,0.23114708905359163
dev_cv,loo_no_city_source_blend,expression,d1_no,359,19,208.44,5.56,0.0266743427365189,-0.053935463294161295,0.10192326958248941
dev_cv,loo_no_city_source_blend,expression,d2_no,205,19,139.05,8.95,0.06436533620999639,-0.025766336167029124,0.14835781046165591
dev_cv,loo_no_city_source_blend,intraday_state,active_warming,534,19,280.399,10.600999999999999,0.03780683953937068,-0.022499374410905944,0.09803656148512536
dev_cv,loo_no_city_source_blend,intraday_state,false_fade_risk,94,19,52.41200000000001,7.588000000000001,0.1447760054949248,0.01905170115585079,0.27218009086638334
dev_cv,loo_no_city_source_blend,intraday_state,fresh_high,217,19,119.089,11.911000000000001,0.10001763387046664,-0.03172786673939893,0.2112098892277567
dev_cv,loo_no_city_source_blend,intraday_state,mature_fade,49,16,31.554000000000002,-2.5540000000000007,-0.08094060974836789,-0.41244170117316353,0.16157203218784
dev_cv,loo_no_city_source_blend,intraday_state,plateau_near_high,117,19,58.135000000000005,13.865000000000002,0.23849660273501336,0.10949114415418035,0.3415664771635389
dev_cv,loo_no_city_source_blend,intraday_state,pullback_uncertain,28,14,18.011000000000003,2.9889999999999994,0.16595413913719387,-0.03576088936664229,0.4306554885694898
dev_cv,loo_no_city_source_blend,intraday_state,reheating_after_dip,23,13,10.912,-3.912,-0.35850439882697943,-0.7238927021087416,0.12699691875244645
dev_cv,loo_no_city_source_blend,intraday_state,slow_warming,5,4,2.1999999999999997,-0.1999999999999999,-0.09090909090909087,-1.0,1.578947368421039
dev_cv,loo_no_city_source_blend,intraday_state,state_unknown,1,1,0.81,0.18999999999999995,0.23456790123456783,,
dev_cv,loo_no_city_source_blend,moisture_cloud_regime,cloud_suppression,48,17,27.813000000000002,0.18699999999999994,0.006723474634163878,-0.1597705663652573,0.17292356230413736
dev_cv,loo_no_city_source_blend,moisture_cloud_regime,dry_heat_inertia,224,19,102.50999999999999,5.49,0.05355575065847235,-0.08260920145677343,0.18317400327655697
dev_cv,loo_no_city_source_blend,moisture_cloud_regime,humid_convective_risk,127,19,73.376,2.624,0.035761011774967294,-0.11664837280157399,0.1765723903921653
dev_cv,loo_no_city_source_blend,moisture_cloud_regime,humid_overcast_suppression,46,13,28.970000000000002,5.0299999999999985,0.17362789092164302,-0.06379549950514683,0.3217846927124449
dev_cv,loo_no_city_source_blend,moisture_cloud_regime,mixed_moisture,622,19,340.043,26.957,0.07927526812785442,0.01110685429488431,0.14781498335396404
dev_cv,loo_no_city_source_blend,moisture_cloud_regime,moisture_cloud_unknown,1,1,0.81,0.18999999999999995,0.23456790123456783,,
dev_cv,loo_no_city_source_blend,running_max_state,fresh_running_high,627,19,334.29,20.71,0.061952197194053066,-0.004051444598615067,0.1184086043676413
dev_cv,loo_no_city_source_blend,running_max_state,mature_fade,118,19,68.747,-2.7470000000000008,-0.03995810726286239,-0.22378046122716913,0.1368115608686733
dev_cv,loo_no_city_source_blend,running_max_state,near_high_plateau,8,3,3.6579999999999995,-1.658,-0.4532531437944232,-1.0,0.23456790123456783
dev_cv,loo_no_city_source_blend,running_max_state,pullback_from_high,79,19,46.93,7.070000000000001,0.150649904112508,0.02650969665037379,0.2973403550609433
dev_cv,loo_no_city_source_blend,running_max_state,running_max_clock_unknown,16,7,8.119,0.8809999999999998,0.10851090035718682,-0.4261667941851569,0.8617021276595744
dev_cv,loo_no_city_source_blend,running_max_state,stalled_high,220,19,111.77799999999999,16.222,0.14512694805775736,0.05606494222859417,0.2265810851463303
dev_cv,loo_no_city_source_blend,wind_regime,light_wind,609,19,313.073,23.927000000000003,0.07642626480086116,0.008827027588294447,0.13249949324942406
dev_cv,loo_no_city_source_blend,wind_regime,moderate_wind,415,19,234.905,12.095000000000002,0.05148889976799133,-0.03750806305880114,0.14382194495974376
dev_cv,loo_no_city_source_blend,wind_regime,wind_unknown,1,1,0.81,0.18999999999999995,0.23456790123456783,,
dev_cv,loo_no_city_source_blend,wind_regime,windy_mixing_noise,43,13,24.734,4.266000000000001,0.17247513544109325,-0.11524397354780738,0.4145860470406523
dev_cv,loo_no_regime_blend,actual_bucket,current,311,19,169.21300000000002,37.787,0.22331026575972293,0.09068338359320911,0.3492518113401409
dev_cv,loo_no_regime_blend,actual_bucket,d1,325,19,167.463,-32.462999999999994,-0.19385177621325306,-0.3065499452003953,-0.07954337883121416
dev_cv,loo_no_regime_blend,actual_bucket,d2,176,19,101.381,7.619000000000001,0.07515214882473048,-0.07213791000389166,0.23158830177220294
dev_cv,loo_no_regime_blend,actual_bucket,tail,124,19,77.37899999999998,30.621000000000002,0.39572752297134894,0.3425681015126077,0.44286769041997737
dev_cv,loo_no_regime_blend,ask_bucket,0-0.25,153,19,17.697999999999997,9.302,0.5255961125550911,0.021997241159545634,1.1101938653376462
dev_cv,loo_no_regime_blend,ask_bucket,0.25-0.50,194,19,76.58399999999999,8.416000000000002,0.10989240572443335,-0.1634516678372251,0.3421118471824262
dev_cv,loo_no_regime_blend,ask_bucket,0.50-0.75,359,19,231.406,16.594,0.07170946302170211,0.004415075484300605,0.1438285094181191
dev_cv,loo_no_regime_blend,ask_bucket,0.75-1.00,230,19,189.748,9.251999999999997,0.048759407213778264,0.003286854499094235,0.09187142612741879
dev_cv,loo_no_regime_blend,day_regime,day_forecast_busted,195,19,101.74099999999999,9.258999999999999,0.09100559263227215,-0.047412287269312486,0.20091838136621215
dev_cv,loo_no_regime_blend,day_regime,day_forecast_capped,215,19,118.06800000000001,5.932000000000002,0.05024223328929093,-0.09930526161460873,0.19144924941595168
dev_cv,loo_no_regime_blend,day_regime,day_marginal_runway,189,19,112.874,4.125999999999999,0.03655403370129524,-0.07385945074116748,0.13923362508724116
dev_cv,loo_no_regime_blend,day_regime,day_open_runway,337,19,182.753,24.247000000000003,0.1326763445743709,0.039938249947370566,0.22555659835578667
