scope,shadow_config_id,candidate_rows,selected_rows,blocked_rows,dates,cities,avg_ask,avg_edge,win_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_win_rate,current_yes_rows,current_no_rows,d1_no_rows,d2_no_rows
dev_cv,tmax_dist_city_source_edge02,3743,522,3221,19,36,0.5560574712643678,0.04763232887078441,0.5957854406130269,290.262,20.737999999999992,0.07144579724524737,0.014626287227146687,0.1276109312817916,0.7894736842105263,92,94,185,151
dev_cv,tmax_dist_clean_edge02,3743,512,3231,19,36,0.551466796875,0.0455342972141463,0.587890625,282.351,18.648999999999994,0.06604899575351245,0.0022381190982507767,0.12805376127537552,0.6842105263157895,104,86,182,140
dev_cv,tmax_dist_clean_edge10,3743,33,3710,17,20,0.42418181818181816,0.1411707428672656,0.42424242424242425,13.998,0.0019999999999998908,0.0001428775539362688,-0.4047197639424505,0.39061527892163717,0.35294117647058826,6,9,11,7
verified_forward,tmax_dist_city_source_edge02,1729,236,1493,12,36,0.49129661016949155,0.05187615019323465,0.5466101694915254,115.94600000000001,13.053999999999998,0.11258689389888393,-0.017108739437316098,0.24315190174619794,0.75,44,54,71,67
verified_forward,tmax_dist_clean_edge02,1729,226,1503,12,36,0.4645176991150442,0.05579149244997641,0.5132743362831859,104.981,11.018999999999998,0.10496185023956715,0.008408601772935353,0.20048019207683065,0.6666666666666666,41,61,63,61
verified_forward,tmax_dist_clean_edge10,1729,33,1696,10,18,0.24827272727272726,0.21517158707083248,0.3333333333333333,8.193,2.8069999999999995,0.3426095447333089,-0.18737647156679363,0.9257986767292926,0.8,4,7,22,0
