window,arm,tie_band,capacity,rows,dates,cities,wins,win_rate,avg_ask,avg_calibrated_p,cost_5,pnl_5,roi,roi_ci_low,roi_ci_high,losing_days,le_minus_50pct_days,max_daily_loss_5,daily_pnl_p10,daily_pnl_median,daily_pnl_p90
oos_all,old,0.0,1,41,41,17,9,0.21951219512195122,0.10709756097560975,0.14144684539602623,21.955000000000002,22.083907874999998,1.0058714586654518,-0.07922805887374204,2.115422383634424,32,32,-0.96269375,-0.7818749999999999,-0.376704,4.1664
oos_all,source_tiebreak,0.01,1,41,41,17,7,0.17073170731707318,0.10767073170731706,0.1413923573997926,22.072499999999998,11.9612341875,0.5419066343866803,-0.4105262811475027,1.5926259027863683,34,34,-0.96269375,-0.7818749999999999,-0.4184,4.114725
oos_all,source_tiebreak,0.02,1,41,41,17,7,0.17073170731707318,0.10793902439024392,0.14137715849824192,22.127499999999998,11.904155187499999,0.5379801237148345,-0.4105262811475027,1.5846028093293003,34,34,-0.96269375,-0.7818749999999999,-0.4184,4.114725
oos_all,source_tiebreak,0.05,1,41,41,18,6,0.14634146341463414,0.10720731707317073,0.14118915938882057,21.9775,7.0598551875,0.3212310402684564,-0.5864400034581452,1.3282006249055676,35,35,-0.96269375,-0.7818749999999999,-0.44183993750000006,4.037306249999999
oos_all,overshoot_tiebreak,0.01,1,41,41,17,7,0.17073170731707318,0.10767073170731706,0.1413923573997926,22.072499999999998,11.9612341875,0.5419066343866803,-0.4105262811475027,1.5926259027863683,34,34,-0.96269375,-0.7818749999999999,-0.4184,4.114725
oos_all,overshoot_tiebreak,0.02,1,41,41,17,7,0.17073170731707318,0.10793902439024392,0.14137715849824192,22.127499999999998,11.904155187499999,0.5379801237148345,-0.4105262811475027,1.5846028093293003,34,34,-0.96269375,-0.7818749999999999,-0.4184,4.114725
oos_all,overshoot_tiebreak,0.05,1,41,41,18,6,0.14634146341463414,0.10720731707317073,0.14118915938882057,21.9775,7.0598551875,0.3212310402684564,-0.5864400034581452,1.3282006249055676,35,35,-0.96269375,-0.7818749999999999,-0.44183993750000006,4.037306249999999
oos_all,old,0.0,3,123,41,35,17,0.13821138211382114,0.10125609756097562,0.13580826905523619,62.2725,19.983800937499996,0.3209089234814725,-0.284125487922502,0.9619981836506915,26,26,-2.31949375,-1.8978435,-1.2733994375,3.6719615
oos_all,source_tiebreak,0.01,3,123,41,35,17,0.13821138211382114,0.10198780487804879,0.13580411429601352,62.722500000000004,19.516600937499994,0.3111578929012714,-0.2884829958240817,0.9517147164125488,26,26,-2.31949375,-1.9749156874999998,-1.2733994375,3.6719615
oos_all,source_tiebreak,0.02,3,123,41,35,17,0.13821138211382114,0.10158536585365854,0.13579699080723404,62.47500000000001,19.775489749999995,0.31653444977991185,-0.2835642473631609,0.9611530173164581,26,26,-2.31949375,-1.9749156874999998,-1.2733994375,3.6719615
oos_all,source_tiebreak,0.05,3,123,41,36,17,0.13821138211382114,0.10270731707317074,0.1356806490372487,63.165000000000006,19.057953249999994,0.3017169832977122,-0.2952408623398603,0.9755675959426153,26,26,-2.31949375,-2.00869375,-1.3173415000000002,3.6719615
oos_all,overshoot_tiebreak,0.01,3,123,41,35,16,0.13008130081300814,0.1024349593495935,0.13580392282453715,62.9975,14.232457187499996,0.2259209839676177,-0.3076084242934392,0.7636872507499333,26,26,-2.31949375,-1.9749156874999998,-1.2733994375,3.6719615
oos_all,overshoot_tiebreak,0.02,3,123,41,35,17,0.13821138211382114,0.101869918699187,0.13578813202981613,62.650000000000006,19.595646,0.3127796648044692,-0.21926371762532507,0.8549062068141211,25,25,-2.31949375,-1.9749156874999998,-1.1535211875,3.745262499999999
oos_all,overshoot_tiebreak,0.05,3,123,41,36,17,0.13821138211382114,0.10377642276422766,0.13566697076414352,63.822500000000005,18.37711768749999,0.2879410503740842,-0.2414893135894615,0.8490127325150264,25,25,-2.31949375,-2.0360699374999998,-1.2733994375,3.745262499999999
