city,target_date,decision_hour_local,settled,steps,forecast_steps,temp_trend_1h_f,forecast_peak_delta_hours_local,minutes_since_running_max,forecast_gap_native,current_yes_ask,leg,leg_steps,leg_bracket,ask,ask_size,max_future_bid,min_future_ask,city_hot_tail_pct
Tokyo,2026-06-23,19,True,0.0,0.0,0.0,12.02,240.83333333333337,0.12222222222222001,0.999,current_bracket_no,-1,23,0.002,,,,0.2982616651418115
Singapore,2026-06-23,18,True,0.0,,-1.7999999999999972,,60.833333333333336,,0.999,d1_yes,1,33,0.004,701.12,,0.003,0.702247191011236
Singapore,2026-06-23,18,True,0.0,,-1.7999999999999972,,60.833333333333336,,0.999,current_bracket_no,-1,32,0.002,,,0.005,0.702247191011236
Taipei,2026-06-23,18,True,0.0,,0.0,,360.8333333333333,,0.999,d1_yes,1,38,0.002,1602.35,,,0.45365168539325845
Taipei,2026-06-23,18,True,0.0,,0.0,,360.8333333333333,,0.999,current_bracket_no,-1,37,0.003,,,,0.45365168539325845
Manila,2026-06-23,18,True,0.0,,0.0,,150.35,,0.999,d1_yes,1,33,0.002,80.0,0.001,0.002,0.8497191011235955
Manila,2026-06-23,18,True,0.0,,0.0,,150.35,,0.999,d2_yes,2,34,0.002,703.11,0.001,0.002,0.8497191011235955
Manila,2026-06-23,18,True,0.0,,0.0,,150.35,,0.999,current_bracket_no,-1,32,0.002,,0.001,0.004,0.8497191011235955
Jeddah,2026-06-23,13,True,0.0,,1.7999999999999972,,30.35,,0.704,d1_yes,1,35,0.2,35.33,0.3,0.01,0.4410112359550562
Jeddah,2026-06-23,13,True,0.0,,1.7999999999999972,,30.35,,0.704,d2_yes,2,36,0.15,41.38,0.08,0.006,0.4410112359550562
Jeddah,2026-06-23,13,True,0.0,,1.7999999999999972,,30.35,,0.704,tail_yes,4,38+,0.007,123.87,0.001,0.005,0.4410112359550562
Jeddah,2026-06-23,13,True,0.0,,1.7999999999999972,,30.35,,0.704,current_bracket_no,-1,34,0.322,,0.385,0.009,0.4410112359550562
