city,horizon_min,model,events,target_dates,positive_rate_date_weighted,brier_date_weighted,logloss_date_weighted,brier_delta_vs_history_prior,logloss_delta_vs_history_prior,brier_delta_date_bootstrap_ci_low,brier_delta_date_bootstrap_ci_high
Helsinki,30,m0_history_prior,437,6,0.16754116235070252,0.14221397463109364,0.4604861248457117,0.0,0.0,0.0,0.0
Helsinki,30,m1_exact_only,437,6,0.16754116235070252,0.09456598391723482,0.3144345188045497,-0.04764799071385882,-0.14605160604116202,-0.07580087250930216,-0.025918905815291254
Helsinki,30,m2_history_pretrain,437,6,0.16754116235070252,0.07755722970907276,0.2685523519398045,-0.06465674492202088,-0.19193377290590724,-0.10873204653817237,-0.029843740611875863
Helsinki,30,m3_history_plus_exact_calibration,437,6,0.16754116235070252,0.10146091923372666,0.3359849677607963,-0.04075305539736698,-0.12450115708491544,-0.06584708713395919,-0.020625832333334957
Helsinki,60,m0_history_prior,422,6,0.31697899523986484,0.22069476520531428,0.6336783794261408,0.0,0.0,0.0,0.0
Helsinki,60,m1_exact_only,422,6,0.31697899523986484,0.12096762222340873,0.40009844539524353,-0.09972714298190555,-0.23357993403089727,-0.12993930638413362,-0.07140113261779732
Helsinki,60,m2_history_pretrain,422,6,0.31697899523986484,0.09928624537433337,0.3302468379844302,-0.12140851983098092,-0.3034315414417106,-0.1644658200140319,-0.08224732329225105
Helsinki,60,m3_history_plus_exact_calibration,422,6,0.31697899523986484,0.14186253520477568,0.46498875706454634,-0.0788322300005386,-0.16868962236159446,-0.09694874601917408,-0.06025696195850507
Helsinki,120,m0_history_prior,383,6,0.46292405851229373,0.25297842823929073,0.6991116176192936,0.0,0.0,0.0,0.0
Helsinki,120,m1_exact_only,383,6,0.46292405851229373,0.12121098056215801,0.3929737731901204,-0.13176744767713272,-0.30613784442917324,-0.18688679982279086,-0.07987148459578901
Helsinki,120,m2_history_pretrain,383,6,0.46292405851229373,0.11648279670402575,0.3894496539171398,-0.13649563153526498,-0.3096619637021538,-0.18723932767377247,-0.08574616874306934
Helsinki,120,m3_history_plus_exact_calibration,383,6,0.46292405851229373,0.15440734866279088,0.4909619507954035,-0.09857107957649985,-0.20814966682389013,-0.13631639368586604,-0.06274710046570485
Tokyo,30,m0_history_prior,460,6,0.17231155249891733,0.1454610104201644,0.47164739025266866,0.0,0.0,0.0,0.0
Tokyo,30,m1_exact_only,460,6,0.17231155249891733,0.12174517553751646,0.3873060466121976,-0.023715834882647946,-0.08434134364047108,-0.047932517600209466,-0.00039959562769139044
Tokyo,30,m2_history_pretrain,460,6,0.17231155249891733,0.10292150218963783,0.31686970412037824,-0.042539508230526574,-0.15477768613229043,-0.06615392144702044,-0.020292664904604386
Tokyo,30,m3_history_plus_exact_calibration,460,6,0.17231155249891733,0.1164530745833659,0.38186286164986316,-0.029007935836798504,-0.0897845286028055,-0.04745828847526007,-0.012559528956028647
Tokyo,60,m0_history_prior,350,5,0.38111920538886834,0.26272753164812246,0.7334677777597658,0.0,0.0,0.0,0.0
Tokyo,60,m1_exact_only,350,5,0.38111920538886834,0.14130335489970308,0.4338708051594197,-0.12142417674841938,-0.29959697260034607,-0.1632021871462961,-0.07964616635054271
Tokyo,60,m2_history_pretrain,350,5,0.38111920538886834,0.1372293852446603,0.4046772229395663,-0.12549814640346216,-0.3287905548201995,-0.16064766541735362,-0.09034862738957075
Tokyo,60,m3_history_plus_exact_calibration,350,5,0.38111920538886834,0.16437784459403204,0.4969629823147994,-0.09834968705409042,-0.2365047954449664,-0.12520165049157328,-0.07559184838534783
Tokyo,120,m0_history_prior,312,5,0.5912176177236418,0.30777200430254964,0.814340282980736,0.0,0.0,0.0,0.0
Tokyo,120,m1_exact_only,312,5,0.5912176177236418,0.0592791968080374,0.24464058930621876,-0.24849280749451225,-0.5696996936745172,-0.3406054821981625,-0.187782351914862
Tokyo,120,m2_history_pretrain,312,5,0.5912176177236418,0.08851408475193319,0.30368276064554844,-0.21925791955061646,-0.5106575223351876,-0.2732594025432919,-0.17927117836675155
Tokyo,120,m3_history_plus_exact_calibration,312,5,0.5912176177236418,0.11680054927299646,0.4055390299135959,-0.19097145502955318,-0.4088012530671401,-0.27266406622703077,-0.13584333297141432
