rows,dates,cities,win_rate,avg_ask,avg_cost,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,evidence_layer,scope,model,p_col,shadow_variant
25,17,16,0.52,0.30639999999999995,0.46915382400000005,11.728845600000001,10.923432098930583,0.9313305393781108,0.18773118184658355,1.767156789922184,5,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,baseline_current_score_gate_size_score
23,16,19,0.5217391304347826,0.26826086956521744,0.4398552377932725,10.116670469245268,10.645314693359008,1.052254763632049,0.31374427196590404,1.7986210113264534,6,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,prob_p_ge_ask_size_p
29,16,21,0.4482758620689655,0.31724137931034485,0.3411739655172414,9.894045,9.374913855559207,0.9475309497338255,0.1440824596204562,1.7820165403723798,5,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,prob_p_ge_ask_size_current_score
20,14,17,0.45,0.24700000000000003,0.438907724555712,8.77815449111424,8.70346991916672,0.9914919961794794,0.11806814786131134,1.8733946131056554,6,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,prob_p_ge_ask_plus05_size_p
20,14,17,0.45,0.24700000000000003,0.438907724555712,8.77815449111424,8.70346991916672,0.9914919961794794,0.11806814786131134,1.8733946131056554,6,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,prob_ratio_ge125_size_p
18,13,14,0.5,0.23055555555555557,0.4168561111111112,7.5034100000000015,10.281305311223727,1.370217715841694,0.3141540972929794,2.5401750093029154,4,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,agreement_current_and_prob_size_score
31,17,21,0.4838709677419355,0.30970967741935485,0.3599768809915865,11.15928331073918,8.634873171912089,0.773783847176125,0.11262464231608119,1.4590998847344159,5,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,current_gate_size_min_score_p
27,16,20,0.48148148148148145,0.2859629629629629,0.4398286135353704,11.875372565455,10.269688530632278,0.864788744439598,0.20655057314668523,1.5004317333361876,5,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,blend50_gate_size_blend50
26,17,18,0.46153846153846156,0.29773076923076924,0.4485550983720019,11.66243255767205,9.312407470568893,0.7984961477391601,0.14062543006949424,1.5102562828035628,5,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,blend70score_gate_size_blend70
11,11,9,0.5454545454545454,0.4518181818181819,0.6059921454545455,6.6659136000000005,1.7603875677966159,0.26408796654619343,-0.4283425570536406,0.9621296851677221,5,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,diagnostic_current_gate_prob_disagrees
25,17,16,0.52,0.30639999999999995,0.46915382400000005,11.728845600000001,10.923432098930583,0.9313305393781108,0.18773118184658355,1.767156789922184,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,baseline_current_score_gate_size_score
22,15,16,0.45454545454545453,0.28363636363636363,0.4800795754220138,10.561750659284304,8.35554119286537,0.7911132786987766,-0.1036826238253912,1.6082553542093943,7,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,prob_p_ge_ask_size_p
33,15,19,0.5151515151515151,0.3727878787878787,0.3521471624242425,11.620856360000001,8.936272087220036,0.7689856763034661,0.001350600885226079,1.542921699130108,3,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,prob_p_ge_ask_size_current_score
19,14,14,0.47368421052631576,0.2757894736842105,0.49925189630762606,9.485786029844895,8.337491083822364,0.8789457254876213,-0.07861735786465623,1.7337227037683418,7,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,prob_p_ge_ask_plus05_size_p
15,12,10,0.5333333333333333,0.252,0.5172025022962773,7.75803753444416,8.860882453205786,1.14215514089294,0.11886605651991719,2.213192708251735,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,prob_ratio_ge125_size_p
17,13,13,0.47058823529411764,0.24882352941176472,0.4539831764705883,7.717714000000001,8.792970541992958,1.1393231910372628,-0.028460526394060756,2.476904014240681,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,agreement_current_and_prob_size_score
29,17,20,0.5862068965517241,0.31417241379310346,0.40465997112668645,11.735139162673907,10.676385976217082,0.9097792389352813,0.14318745147923678,1.6640857536820133,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,current_gate_size_min_score_p
23,15,17,0.4782608695652174,0.2986956521739131,0.4764270455694347,10.957822048096999,8.342785782779302,0.7613543773717479,0.01487651262669154,1.6054369882068769,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,blend50_gate_size_blend50
25,16,18,0.48,0.30004000000000003,0.4609659398556832,11.52414849639208,9.263272416642852,0.8038140448765433,0.08582020573750603,1.5762096656513445,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,blend70score_gate_size_blend70
11,10,10,0.5454545454545454,0.4091818181818182,0.49502196363636375,5.445241600000001,2.182298526634595,0.4007716621122182,-0.45934090232090696,1.102527392242415,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,diagnostic_current_gate_prob_disagrees
25,17,16,0.52,0.30639999999999995,0.46915382400000005,11.728845600000001,10.923432098930583,0.9313305393781108,0.18773118184658355,1.767156789922184,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,baseline_current_score_gate_size_score
21,16,16,0.5238095238095238,0.2866666666666666,0.5066384470230482,10.639407387484011,10.889431426486276,1.0234998087672051,0.216225052928244,1.7923805098777774,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,prob_p_ge_ask_size_p
30,16,19,0.5,0.33973333333333333,0.36900156533333334,11.07004696,9.127708081610741,0.8245410443688616,0.056450706004336194,1.6380678717972101,4,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,prob_p_ge_ask_size_current_score
