target_date,rows,cost,pnl,wins,roi,evidence_layer,scope,model,shadow_variant
2026-06-08,1,0.5120000000000001,1.1396129032258067,1.0,2.225806451612903,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-09,2,0.8064000000000001,2.0380444444444454,1.0,2.5273368606701947,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-10,2,0.8296,-0.8296,0.0,-1.0,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-11,1,0.5760000000000002,2.812235294117648,1.0,4.88235294117647,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-12,1,0.8,3.4105263157894736,1.0,4.263157894736842,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-13,1,0.5760000000000002,0.8640000000000002,1.0,1.5,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-14,2,0.9600000000000002,0.10666666666666647,1.0,0.11111111111111088,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-15,2,0.9280000000000002,0.17969230769230782,1.0,0.193633952254642,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-16,2,0.9887040000000001,1.2080344615384617,2.0,1.2218363246618418,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-17,1,0.4894720000000001,-0.4894720000000001,0.0,-1.0,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-18,1,0.606464,-0.606464,0.0,-1.0,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-19,2,0.8384,0.24887272727272725,1.0,0.2968424705065926,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-20,2,0.6593600000000002,-0.6593600000000002,0.0,-1.0,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-21,2,0.8813000000000001,0.42714444444444466,1.0,0.4846754163672355,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-23,1,0.2639999999999999,0.9931428571428568,1.0,3.761904761904762,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-25,1,0.5139456000000002,0.579555676595745,1.0,1.1276595744680853,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
2026-06-26,1,0.4992000000000001,-0.4992000000000001,0.0,-1.0,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,baseline_current_score_gate_size_score
