snapshot_ts_utc,ts_local,city,target_date,leg,bracket,unit,win,entry_price,p_market_entry_v1,p_heating_done_score_v1,p_leg_win_physical_base_lodo_v2,p_leg_win_physical_base_expanding_v2,p_leg_win_physical_clean_lodo_v2,p_leg_win_physical_clean_expanding_v2,p_leg_win_physical_plus_lodo_v2,p_leg_win_physical_plus_expanding_v2,p_leg_win_physical_base_full_v2,p_leg_win_physical_clean_full_v2,p_leg_win_physical_plus_full_v2,local_time_float,forecast_peak_delta_hours_local,forecast_gap_to_running_native,decline_native,target_distance_native,forecast_margin_to_target_native,metar_obs_count_today,running_value,true_local_time_float,hours_past_local_noon,solar_runway_hours_proxy,local_late_day_index,native_tick_size,target_distance_ticks,forecast_margin_to_target_ticks,forecast_gap_to_running_ticks,decline_ticks,latest_gap_to_running_native,latest_gap_to_running_ticks,obs_age_minutes,obs_count_log1p,forecast_peak_delta_abs,leg,unit,path_state,peak_delta_bucket,forecast_gap_bucket,forecast_source,obs_age_bucket,obs_count_bucket,true_local_time_bucket,solar_runway_bucket
2026-06-20T10:02:16Z,2026-06-20 12:02:16,Amsterdam,2026-06-20,d1_no,26,C,1.0,0.5,0.5,0.1,0.8116914010717824,,0.7893164439741011,,0.8293850973322335,,0.8024278382635428,0.7990172530962757,0.8399898066183982,18.033333333333335,-1.97,-1.1000000000000014,0.0,1.0,2.1000000000000014,24,25,12.033333333333333,0.033333333333333215,5.966666666666667,0.0,1.0,1.0,2.1000000000000014,-1.1000000000000014,0.0,0.0,0.0,7.266666666666667,3.2188758248682006,1.97,d1_no,C,at_high,peak_gt1h_ahead,busted_lt_minus1,open_meteo_live_ecmwf,fresh_0_15m,dense_13_24,early_afternoon,open
2026-06-20T10:02:16Z,2026-06-20 13:02:16,Ankara,2026-06-20,current_yes,23,C,0.0,0.3,0.3,0.1,0.39641136173786456,,0.2994381471770698,,0.29553923638646656,,0.3734264861624575,0.27919958508791604,0.2711475184886413,18.033333333333335,-2.97,-1.1000000000000014,0.0,0.0,1.1000000000000014,26,23,13.033333333333333,1.0333333333333332,4.966666666666667,0.0,1.0,0.0,1.1000000000000014,-1.1000000000000014,0.0,0.0,0.0,12.266666666666667,3.295836866004329,2.97,current_yes,C,at_high,peak_gt1h_ahead,busted_lt_minus1,open_meteo_live_ecmwf,fresh_0_15m,very_dense_25_plus,early_afternoon,open
2026-06-20T10:02:16Z,2026-06-20 13:02:16,Ankara,2026-06-20,d1_no,24,C,0.0,0.56,0.56,0.1,0.8312646548040864,,0.7661539807087989,,0.762651220199179,,0.8211528642887864,0.7540961301395248,0.7471656204940533,18.033333333333335,-2.97,-1.1000000000000014,0.0,1.0,2.1000000000000014,26,23,13.033333333333333,1.0333333333333332,4.966666666666667,0.0,1.0,1.0,2.1000000000000014,-1.1000000000000014,0.0,0.0,0.0,12.266666666666667,3.295836866004329,2.97,d1_no,C,at_high,peak_gt1h_ahead,busted_lt_minus1,open_meteo_live_ecmwf,fresh_0_15m,very_dense_25_plus,early_afternoon,open
2026-06-21T07:04:50Z,2026-06-21 09:04:50,Amsterdam,2026-06-21,d1_no,24,C,1.0,0.999,0.999,1e-06,0.8099681496801252,,0.8582650748178761,,0.8283229508298346,,0.8161669562957329,0.8649871874734425,0.837280007549305,15.066666666666666,-5.93,2.1000000000000014,0.0,1.0,-1.1000000000000014,18,23,9.066666666666666,0.0,8.933333333333334,0.0,1.0,1.0,-1.1000000000000014,2.1000000000000014,0.0,0.0,0.0,9.833333333333334,2.9444389791664403,5.93,d1_no,C,at_high,peak_gt1h_ahead,room_gt2,open_meteo_live_ecmwf,fresh_0_15m,dense_13_24,morning,open
2026-06-21T07:04:50Z,2026-06-21 10:04:50,Ankara,2026-06-21,d2_no,22,C,1.0,0.999,0.999,1e-06,0.8678118682660101,,0.866290011032867,,0.8543317204778164,,0.8715709101668485,0.8706031414438479,0.8612560761879592,15.066666666666666,-4.93,4.100000000000001,0.0,2.0,-2.1000000000000014,20,20,10.066666666666666,0.0,7.933333333333334,0.0,1.0,2.0,-2.1000000000000014,4.100000000000001,0.0,0.0,0.0,14.833333333333334,3.044522437723423,4.93,d2_no,C,at_high,peak_gt1h_ahead,room_gt2,open_meteo_live_ecmwf,fresh_0_15m,dense_13_24,late_morning,open
2026-06-21T08:54:17Z,2026-06-21 11:54:17,Ankara,2026-06-21,d1_no,23,C,1.0,0.995,0.995,1e-06,0.8116202534720296,,0.82741845879559,,0.8319834967036331,,0.814754824679773,0.832858304037345,0.8375512243813628,16.9,-3.1,2.5,0.0,1.0,-1.5,23,22,11.9,0.0,6.1,0.0,1.0,1.0,-1.5,2.5,0.0,0.0,0.0,34.28333333333333,3.1780538303479458,3.1,d1_no,C,at_high,peak_gt1h_ahead,room_gt2,open_meteo_live_ecmwf,ok_15_35m,dense_13_24,late_morning,open
2026-06-21T10:06:43Z,2026-06-21 12:06:43,Amsterdam,2026-06-21,d1_no,25,C,1.0,0.981,0.981,1e-06,0.8313384933686473,,0.8224411646256585,,0.8675875617990616,,0.8320192883098034,0.8289986252035848,0.872286518491166,18.1,-3.9,2.8999999999999986,0.0,1.0,-1.8999999999999986,24,24,12.1,0.09999999999999964,5.9,0.0,1.0,1.0,-1.8999999999999986,2.8999999999999986,0.0,0.0,0.0,11.716666666666667,3.2188758248682006,3.9,d1_no,C,at_high,peak_gt1h_ahead,room_gt2,open_meteo_live_ecmwf,fresh_0_15m,dense_13_24,early_afternoon,open
2026-06-21T10:06:43Z,2026-06-21 13:06:43,Ankara,2026-06-21,current_yes,23,C,0.0,0.012,0.012,1e-06,0.2494079465199146,,0.20201673853854607,,0.21975086350299702,,0.2385612552154726,0.19290108880071674,0.20698153982637527,18.1,-1.9,1.5,0.5555555555555571,0.0,-1.5,26,23,13.1,1.0999999999999996,4.9,0.0,1.0,0.0,-1.5,1.5,0.5555555555555571,0.5555555555555571,0.5555555555555571,16.716666666666665,3.295836866004329,1.9,current_yes,C,decline,peak_gt1h_ahead,room_1_2,open_meteo_live_ecmwf,ok_15_35m,very_dense_25_plus,early_afternoon,open
2026-06-21T10:06:43Z,2026-06-21 13:06:43,Ankara,2026-06-21,d1_no,24,C,1.0,0.96,0.96,1e-06,0.7141828897462222,,0.6624684539388495,,0.6875905416471257,,0.7070582284583484,0.6542437408310273,0.6746173285239938,18.1,-1.9,1.5,0.5555555555555571,1.0,-0.5,26,23,13.1,1.0999999999999996,4.9,0.0,1.0,1.0,-0.5,1.5,0.5555555555555571,0.5555555555555571,0.5555555555555571,16.716666666666665,3.295836866004329,1.9,d1_no,C,decline,peak_gt1h_ahead,room_1_2,open_meteo_live_ecmwf,ok_15_35m,very_dense_25_plus,early_afternoon,open
2026-06-21T10:42:29Z,2026-06-21 12:42:29,Amsterdam,2026-06-21,current_yes,25,C,0.0,0.068,0.068,1e-06,0.2544457860663473,,0.22157419543693732,,0.2549043582155551,,0.23981656156484443,0.20686938093067536,0.23453041371209565,18.7,-3.3,1.8999999999999984,0.0,0.0,-1.8999999999999986,25,25,12.7,0.6999999999999993,5.300000000000001,0.0,1.0,0.0,-1.8999999999999986,1.8999999999999984,0.0,0.0,0.0,17.483333333333334,3.258096538021482,3.3,current_yes,C,at_high,peak_gt1h_ahead,room_1_2,open_meteo_live_ecmwf,ok_15_35m,very_dense_25_plus,early_afternoon,open
