strategy,rows,dates,cities,win_rate,avg_entry_raw,avg_entry_stress,exec_fee_pnl,exec_fee_roi,ci_low,ci_high,top5_removed_exec_fee_roi,max_daily_loss,recent_rows,recent_exec_fee_roi,avg_p_current,avg_p_d1,avg_tmax_d1_yes_edge_exec,avg_tmax_current_overprice
false_fade_reheat_conflict_d1_yes,47,25,18,0.2978723404255319,0.14523404255319153,0.15523404255319148,22.158843401651424,0.47146475322662607,-0.3640091713345003,1.5280066587958876,-0.24885180965134912,-5.2203,1,-1.04895,0.8340278034619432,0.14289899833121666,-0.019021001668783323,0.03761219653805666
rich_current_b4_d1_yes,70,29,26,0.32857142857142857,0.2169142857142857,0.22691428571428568,18.820554473133537,0.2688650639019077,-0.35685942814159294,1.0056605431661192,-0.21019012654275632,-5.2203,0,,0.7441115858025412,0.2176989812659506,-0.027301018734049408,0.06117788788166922
rich_current_b4_current_bracket_no,70,29,26,0.32857142857142857,0.2690571428571429,0.2790571428571428,3.9894976688782497,0.056992823841117854,-0.45917218392245923,0.657517240888322,-0.33344822438204536,-5.219250000000001,0,,0.7441115858025412,0.2176989812659506,-0.06140628189194415,0.06117788788166922
