strategy,description,city,target_date,decision_hour_local,entry_raw,entry_stress,fee_usd_per_1_notional,win,raw_pnl_per_1,exec_no_fee_pnl_per_1,exec_fee_pnl_per_1,cash_roi_exec_fee,current_high_yes_ask,forecast_gap_native,temp_trend_1h_f,forecast_peak_delta_hours_local_x,current_yes_ask,forecast_steps,steps,leg_steps,leg,ask_size,relative_humidity_pct,wind_speed_kt,temp_trend_3h_f,minutes_since_running_max,forecast_source,forecast_peak_delta_hours_local_y,city_family,solar_window,day_regime,moisture_cloud_regime,wind_regime,running_max_state,intraday_state,current_no,tmax_p_current,tmax_p_not_d1,d2_no,scope,tmax_p_d1,current_yes_ref,trend3h_positive,no_trend3h_flat,day_open_runway,active_warming_or_reheat,tmax_d1_yes_edge_exec,tmax_current_overprice,tmax_d1_edge_pos,tmax_current_overprice_pos,tmax_both_pos,ask_band
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Lucknow,2026-05-20,14,0.13,0.14,0.043,True,6.692307692307692,6.142857142857142,6.099857142857142,5.848376934666484,0.87,4.111111111111114,1.7999999999999972,-1.0,,,,,,,22.22,9.0,7.199999999999989,,gfs_seamless,-1.0,continental_dry_hot,solar_peak_window,day_open_runway,dry_heat_inertia,light_wind,running_max_clock_unknown,active_warming,,,,,,,0.87,True,True,True,True,,,False,False,False,10-20c
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Houston,2026-05-20,14,0.3,0.31,0.0344999999999999,True,2.3333333333333335,2.2258064516129035,2.1913064516129035,2.118227599432483,0.45,2.299999999999997,2.0,-3.0,,,,,,,76.58,7.0,8.0,37.88333333333333,gfs_seamless,-3.0,humid_low_latitude,solar_peak_window,day_marginal_runway,humid_convective_risk,light_wind,fresh_running_high,active_warming,,,,,,,0.45,True,True,False,True,,,False,False,False,30-40c
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Houston,2026-05-20,16,0.11,0.12,0.044,True,8.090909090909092,7.333333333333334,7.289333333333334,6.982120051085569,0.87,2.299999999999997,2.0,-1.0,,,,,,,76.58,12.0,2.0,7.883333333333334,gfs_seamless,-1.0,humid_low_latitude,afternoon_decay_window,day_marginal_runway,humid_convective_risk,moderate_wind,fresh_running_high,active_warming,,,,,,,0.87,True,True,False,True,,,False,False,False,10-20c
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,LA,2026-05-21,12,0.09,0.0999999999999999,0.045,False,-1.0,-1.0,-1.045,-1.0,0.968,2.5,1.0,0.0,,,,,,,65.84,11.0,3.0,158.88333333333333,gfs_seamless,0.0,southern_or_maritime,solar_peak_window,day_marginal_runway,mixed_moisture,moderate_wind,mature_fade,active_warming,,,,,,,0.968,True,True,False,True,,,False,False,False,5-10c
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Houston,2026-05-23,15,0.03,0.04,0.048,False,-1.0,-1.0,-1.048,-1.0,0.999,8.700000000000003,1.0,-1.0,,,,,,,93.47,9.0,-7.0,218.88333333333333,gfs_seamless,-1.0,humid_low_latitude,afternoon_decay_window,day_open_runway,humid_convective_risk,light_wind,mature_fade,reheating_after_dip,,,,,,,0.999,False,True,True,True,,,False,False,False,0-5c
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Beijing,2026-05-24,14,0.17,0.18,0.041,True,4.88235294117647,4.5555555555555545,4.514555555555554,4.336748852598996,0.86,2.666666666666668,1.7999999999999972,0.0,,,,,,,58.4,7.78,3.6000000000000085,0.8833333333333333,gfs_seamless,0.0,continental_dry_hot,solar_peak_window,day_open_runway,mixed_moisture,light_wind,pullback_from_high,false_fade_risk,,,,,,,0.86,True,True,True,False,,,False,False,False,10-20c
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Ankara,2026-05-24,13,0.17,0.18,0.041,False,-1.0,-1.0,-1.041,-1.0,0.83,1.5555555555555536,1.7999999999999972,0.0,,,,,,,63.16,6.0,-1.8000000000000045,130.88333333333333,gfs_seamless,0.0,continental_dry_hot,solar_peak_window,day_open_runway,mixed_moisture,light_wind,mature_fade,reheating_after_dip,,,,,,,0.83,False,True,True,True,,,False,False,False,10-20c
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Shanghai,2026-05-25,13,0.14,0.15,0.0425,False,-1.0,-1.0,-1.0425,-1.0,0.85,3.1666666666666643,1.8000000000000114,-1.0,,,,,,,83.82,9.72,3.6000000000000085,0.8833333333333333,gfs_seamless,-1.0,humid_low_latitude,solar_peak_window,day_open_runway,humid_convective_risk,light_wind,fresh_running_high,active_warming,,,,,,,0.85,True,True,True,True,,,False,False,False,10-20c
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Istanbul,2026-05-27,14,0.24,0.25,0.0375,False,-1.0,-1.0,-1.0375,-1.0,0.73,1.9444444444444429,1.7999999999999972,0.0,,,,,,,41.18,9.0,0.0,10.883333333333333,gfs_seamless,0.0,southern_or_maritime,solar_peak_window,day_open_runway,dry_heat_inertia,light_wind,fresh_running_high,active_warming,,,,,,,0.73,False,False,True,True,,,False,False,False,20-30c
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Helsinki,2026-05-27,16,0.049,0.059,0.04705,False,-1.0,-1.0,-1.04705,-1.0,0.97,1.5555555555555554,1.7999999999999972,-1.0,,,,,,,76.17,13.0,0.0,310.8833333333333,gfs_seamless,-1.0,europe_cloud_break,afternoon_decay_window,day_open_runway,humid_convective_risk,moderate_wind,mature_fade,reheating_after_dip,,,,,,,0.97,False,False,True,True,,,False,False,False,0-5c
