strategy,variant,description,base_rows,rows,dates,cities,win_rate,avg_entry_raw,avg_entry_stress,exec_fee_pnl,exec_fee_roi,ci_low,ci_high,top5_removed_exec_fee_roi,max_daily_loss,recent_rows,recent_exec_fee_roi,avg_p_current,avg_p_d1,avg_tmax_d1_yes_edge_exec,avg_tmax_current_overprice,retained_vs_base
false_fade_reheat_conflict_d1_yes,base,no overlay,47,47,25,18,0.2978723404255319,0.14523404255319153,0.15523404255319148,22.158843401651424,0.47146475322662607,-0.3640091713345003,1.5280066587958876,-0.24885180965134912,-5.2203,1,-1.04895,0.8340278034619432,0.14289899833121666,-0.019021001668783323,0.03761219653805666,1.0
false_fade_reheat_conflict_d1_yes,trend3h_positive,3h trend still positive,47,33,22,13,0.3939393939393939,0.15824242424242427,0.16824242424242422,32.77164340165143,0.9930801030803464,-0.17283157295406687,2.2892650000786494,0.0057508569515479935,-4.17725,0,,0.813202972917959,0.15930915469681434,-0.009913067525407866,0.04290813819315216,0.7021276595744681
false_fade_reheat_conflict_d1_yes,day_open_runway,regime atlas day_open_runway only,47,29,19,13,0.3793103448275862,0.15472413793103448,0.1647241379310345,26.04042028337186,0.8979455270128227,-0.08254793009739839,1.9841999933710388,-0.15814255607743513,-3.1336500000000003,0,,0.8063569024326188,0.16626177216752824,-0.011317175200892803,0.041695729146328527,0.6170212765957447
false_fade_reheat_conflict_d1_yes,trend3h_positive_and_day_open_runway,both sustained trend and open-runway regime,47,21,16,9,0.47619047619047616,0.16252380952380954,0.17252380952380952,30.38272028337186,1.4467962039700886,0.1687408088604942,2.8176925031874505,0.03417991588384739,-2.0854999999999997,0,,0.792327618436914,0.17734795662417777,-0.005918710042488909,0.050339048229752645,0.44680851063829785
false_fade_reheat_conflict_d1_yes,tmax_overlap_base,same denominator where clean tmax P5 probability exists,47,25,13,12,0.28,0.15192,0.16192,4.500166749379653,0.1800066699751861,-0.6581985096153847,1.0707932708400756,-0.7200993548387096,-3.1315,0,,0.8340278034619434,0.1428989983312167,-0.01902100166878332,0.03761219653805666,0.5319148936170213
false_fade_reheat_conflict_d1_yes,tmax_d1_edge_exec_gt0,clean tmax p(d1) exceeds stressed d1 YES entry,47,7,6,5,0.5714285714285714,0.1942857142857143,0.20428571428571432,9.793460297766748,1.3990657568238212,-0.4866111111111111,3.303470518728583,-1.0442500000000008,-1.047,0,,0.726680171398707,0.2265230534186575,0.022237339132943228,0.0821769714584359,0.14893617021276595
false_fade_reheat_conflict_d1_yes,tmax_d1_edge_and_current_overprice_gt0,tmax supports d1 YES and says current is overpriced,47,7,6,5,0.5714285714285714,0.1942857142857143,0.20428571428571432,9.793460297766748,1.3990657568238212,-0.4866111111111111,3.303470518728583,-1.0442500000000008,-1.047,0,,0.726680171398707,0.2265230534186575,0.022237339132943228,0.0821769714584359,0.14893617021276595
rich_current_b4_d1_yes,base,no overlay,70,70,29,26,0.32857142857142857,0.2169142857142857,0.22691428571428568,18.820554473133537,0.2688650639019077,-0.35685942814159294,1.0056605431661192,-0.21019012654275632,-5.2203,0,,0.7441115858025412,0.2176989812659506,-0.027301018734049408,0.06117788788166922,1.0
rich_current_b4_d1_yes,trend3h_positive,3h trend still positive,70,51,27,23,0.37254901960784315,0.24827450980392157,0.2582745098039215,18.663474972242266,0.36595048965180915,-0.2985969966209321,1.1961166861551058,-0.16681720809400594,-4.17725,0,,0.7001136121006666,0.25398738427247897,-0.02456433986545207,0.07333466376140227,0.7285714285714285
rich_current_b4_d1_yes,day_open_runway,regime atlas day_open_runway only,70,37,19,17,0.43243243243243246,0.24575675675675676,0.25575675675675674,19.050825374454433,0.5148871722825522,-0.2303774451107963,1.2680288472872774,-0.09248149489933666,-3.11275,0,,0.7018404172629803,0.255667594818026,-0.01954073851530734,0.06995124940368636,0.5285714285714286
rich_current_b4_d1_yes,trend3h_positive_and_day_open_runway,both sustained trend and open-runway regime,70,28,18,14,0.5,0.2746071428571429,0.2846071428571429,21.4849489038662,0.7673196037095071,-0.05828710284554703,1.7047735450922863,-0.0042701251650251616,-2.0854999999999997,0,,0.670415157232274,0.2818633976906127,-0.01713660230938733,0.08208484276772601,0.4
rich_current_b4_d1_yes,tmax_overlap_base,same denominator where clean tmax P5 probability exists,70,38,16,19,0.3684210526315789,0.235,0.24499999999999997,12.281089257956559,0.3231865594199094,-0.5486274454493255,1.2202821039904421,-0.3296631848793273,-5.18025,0,,0.7441115858025413,0.2176989812659506,-0.027301018734049408,0.06117788788166922,0.5428571428571428
rich_current_b4_d1_yes,tmax_d1_edge_exec_gt0,clean tmax p(d1) exceeds stressed d1 YES entry,70,12,9,8,0.4166666666666667,0.22591666666666665,0.23591666666666664,8.459664143920595,0.7049720119933829,-0.5605372023809524,2.331267981615158,-1.0389214285714286,-2.0730000000000004,0,,0.6793479017967671,0.26428363212048694,0.028366965453820295,0.0958187648698996,0.17142857142857143
rich_current_b4_d1_yes,tmax_d1_edge_and_current_overprice_gt0,tmax supports d1 YES and says current is overpriced,70,12,9,8,0.4166666666666667,0.22591666666666665,0.23591666666666664,8.459664143920595,0.7049720119933829,-0.5605372023809524,2.331267981615158,-1.0389214285714286,-2.0730000000000004,0,,0.6793479017967671,0.26428363212048694,0.028366965453820295,0.0958187648698996,0.17142857142857143
