target_date,rows,wins,cost,pnl,roi
2026-05-06,2,0,1.54583,-1.54583,-1.0
2026-05-07,3,1,2.5571124999999997,3.4428875,1.3463965703503464
2026-05-08,4,1,2.08349625,3.9165037500000004,1.8797748016105142
2026-05-09,2,1,2.0754325,7.9245675,3.8182728178343557
2026-05-10,1,0,0.9607100000000001,-0.9607100000000001,-1.0
2026-05-11,2,0,2.3552763000000003,-2.3552763000000003,-1.0
2026-05-12,3,1,3.2207775000000005,6.7792224999999995,2.1048403685135026
2026-05-13,7,2,6.55049565,13.449504349999998,2.0532040731910106
2026-05-14,10,4,10.7793898,25.2206102,2.3397066687392636
2026-05-15,5,1,4.510153825,3.4898461750000003,0.7737754210633826
2026-05-16,11,1,11.670034875,-3.6700348750000007,-0.3144836253113597
2026-05-17,4,0,2.8338757,-2.8338757,-1.0
2026-05-20,5,1,4.8570494250000005,3.142950575,0.6470905070108484
2026-05-21,6,0,5.2895753249999995,-5.2895753249999995,-1.0
2026-05-22,9,2,10.0675793,5.932420699999999,0.5892598928920281
2026-05-23,7,0,6.958300325,-6.958300325,-1.0
2026-05-24,5,3,3.8188932,18.1811068,4.76083143671051
2026-05-25,6,0,5.3962578,-5.3962578,-1.0
2026-05-26,4,1,3.8970034,6.102996599999999,1.5660742302662602
2026-05-27,4,1,4.0274,5.972600000000001,1.4829915081690421
2026-05-28,12,1,9.64028005,-3.6402800500000008,-0.37761144189996854
2026-05-29,11,0,11.037585,-11.037585,-1.0
2026-05-30,4,1,4.518447500000001,5.481552499999999,1.213149538641314
2026-05-31,7,2,5.251356825,12.748643175,2.4276855677199194
2026-06-01,6,1,7.326682425,2.6733175749999996,0.3648742254581888
2026-06-02,6,1,4.5723013,5.4276987000000005,1.1870824654534469
2026-06-03,2,1,1.4824100000000002,6.517589999999999,4.396617669875404
2026-06-04,5,0,5.1606525,-5.1606525,-1.0
2026-06-05,5,1,3.4221937000000002,2.5778063,0.7532613656556028
2026-06-06,9,0,7.200692825,-7.200692825,-1.0
2026-06-07,8,0,5.7092882,-5.7092882,-1.0
2026-06-08,7,1,8.5607183,1.4392816999999996,0.1681262774409946
2026-06-09,6,0,3.31873995,-3.31873995,-1.0
2026-06-10,4,0,3.5372100000000004,-3.5372100000000004,-1.0
2026-06-11,15,1,10.178292175,-2.1782921749999997,-0.21401352383559374
2026-06-12,7,1,4.439751,3.560249,0.8019028544618831
2026-06-13,6,2,6.8732775,9.1267225,1.3278559610025928
2026-06-14,7,1,7.9206175000000005,0.0793824999999998,0.01002226152190783
2026-06-15,10,2,6.296053925,7.703946075,1.2236150081894352
2026-06-16,9,2,5.8420546,8.1579454,1.3964171782988812
2026-06-17,10,0,10.481716425,-10.481716425,-1.0
2026-06-18,7,1,6.968607625000001,1.0313923749999998,0.1480055170992641
2026-06-19,6,0,4.49153,-4.49153,-1.0
2026-06-20,6,1,7.4878346,2.5121653999999998,0.335499584886664
2026-06-21,10,1,7.161520725,2.8384792749999987,0.3963514711465139
2026-06-22,7,1,6.1162762,3.8837237999999994,0.6349817557290823
2026-06-23,11,2,10.037534475,7.962465525000001,0.7932690587346651
2026-06-24,9,2,6.597503525,7.4024964749999995,1.1220147813410983
2026-06-25,6,1,4.2398736,3.7601264,0.886848702282068
2026-06-26,6,1,6.59208,3.4079200000000003,0.5169718814092062
2026-06-27,5,0,4.2643981250000005,-4.2643981250000005,-1.0
2026-06-28,3,1,2.1773995,5.8226005,2.6741075764920494
2026-06-30,1,1,0.3455925,5.6544075,16.361487879511273
