strategy,mechanism,rows,dates,cities,support,win_rate,avg_entry_stress,roi,roi_ci_low,roi_ci_high,top5_removed_roi,recent_rows,recent_roi,complement_roi,roi_delta_vs_complement
false_fade_reheat_conflict_d1_yes,all_labeled_states,47,25,18,support_ok,0.2978723404255319,0.15523404255319148,0.45527861547217713,-0.3454054917049204,1.4691970114963129,-0.23465891151383864,1.0,-1.0,,
false_fade_reheat_conflict_d1_yes,trend3h_cooling_lt_neg0_5,7,7,6,thin_do_not_select,0.0,0.0792857142857143,-1.0,-1.0,-1.0,-1.0,0.0,,0.7099523731798082,-1.7099523731798083
false_fade_reheat_conflict_d1_yes,trend3h_flat_abs_lt0_5,7,6,5,thin_do_not_select,0.14285714285714285,0.16985714285714285,-0.4492254733218589,-1.0,0.9277108433734936,-1.0,1.0,-1.0,0.6135668310111335,-1.0627923043329925
false_fade_reheat_conflict_d1_yes,trend3h_warming_ge0_5,33,22,13,support_ok,0.3939393939393939,0.16824242424242422,0.9558385830437981,-0.1634856948251458,2.2003756106450085,0.010318001059706816,0.0,,-0.7246127366609294,1.6804513197047275
false_fade_reheat_conflict_d1_yes,trend3h_strong_warming_ge2,29,20,12,support_ok,0.41379310344827586,0.17386206896551723,1.0187790560773065,-0.1749591062177496,2.4603779531281305,-0.043660200955300134,0.0,,-0.4525832055027532,1.4713622615800597
false_fade_reheat_conflict_d1_yes,legacy_trend3h_positive_gt0,33,22,13,support_ok,0.3939393939393939,0.16824242424242422,0.9558385830437981,-0.1634856948251458,2.2003756106450085,0.010318001059706816,0.0,,-0.7246127366609294,1.6804513197047275
false_fade_reheat_conflict_d1_yes,sustained_warming_1h3h,33,22,13,support_ok,0.3939393939393939,0.16824242424242422,0.9558385830437981,-0.1634856948251458,2.2003756106450085,0.010318001059706816,0.0,,-0.7246127366609294,1.6804513197047275
false_fade_reheat_conflict_d1_yes,one_hour_warm_without_3h,14,13,10,thin_do_not_select,0.07142857142857142,0.12457142857142857,-0.7246127366609294,-1.0,-0.1102873030583875,-1.0,1.0,-1.0,0.9558385830437981,-1.6804513197047275
false_fade_reheat_conflict_d1_yes,runway_sustained_warming,33,22,13,support_ok,0.3939393939393939,0.16824242424242422,0.9558385830437981,-0.1634856948251458,2.2003756106450085,0.010318001059706816,0.0,,-0.7246127366609294,1.6804513197047275
false_fade_reheat_conflict_d1_yes,solar_runway_sustained_warming,20,16,12,support_ok,0.5,0.20245000000000002,1.3472528590184933,0.003019108634297926,2.6292581280423017,0.06817463936385622,0.0,,-0.20544304641398276,1.552695905432476
false_fade_reheat_conflict_d1_yes,late_reheat_after_dip,7,5,5,thin_do_not_select,0.7142857142857143,0.21971428571428572,2.0172848369136185,0.06571911423927981,3.6219198583380248,-1.0,0.0,,0.18192752671992501,1.8353573101936935
false_fade_reheat_conflict_d1_yes,humid_or_cloud_warming,8,7,5,thin_do_not_select,0.5,0.21574999999999997,1.179898395776828,-0.5545389143667881,2.9639882467250724,-1.0,0.0,,0.30663866053788985,0.8732597352389382
false_fade_reheat_conflict_d1_yes,mature_cooling_or_fade,0,0,0,thin_do_not_select,,,,,,,,,,
false_fade_reheat_conflict_d1_yes,plateau_flat_path,0,0,0,thin_do_not_select,,,,,,,,,,
rich_current_b4_d1_yes,all_labeled_states,70,29,26,support_ok,0.32857142857142857,0.22691428571428568,0.2603779716890105,-0.34127087484432905,0.9672135309186073,-0.19853922928118067,0.0,,,
rich_current_b4_d1_yes,trend3h_cooling_lt_neg0_5,10,10,9,thin_do_not_select,0.2,0.1115,0.2501456394207139,-1.0,2.4572290778844903,-1.0,0.0,,0.2620833604003933,-0.011937720979679434
rich_current_b4_d1_yes,trend3h_flat_abs_lt0_5,9,8,7,thin_do_not_select,0.2222222222222222,0.17744444444444443,-0.2552622272778452,-1.0,0.9178557328606415,-1.0,0.0,,0.3364560338316614,-0.5917182611095066
rich_current_b4_d1_yes,trend3h_warming_ge0_5,51,27,23,support_ok,0.37254901960784315,0.2582745098039215,0.35337964057890603,-0.2857379177782035,1.1500257330688177,-0.15758025938920717,0.0,,0.010741913089817446,0.3426377274890886
rich_current_b4_d1_yes,trend3h_strong_warming_ge2,43,25,21,support_ok,0.3953488372093023,0.25002325581395346,0.4768190961672799,-0.2488391549988428,1.4190372747018931,-0.12546927542722877,0.0,,-0.08432455988749253,0.5611436560547725
rich_current_b4_d1_yes,legacy_trend3h_positive_gt0,51,27,23,support_ok,0.37254901960784315,0.2582745098039215,0.35337964057890603,-0.2857379177782035,1.1500257330688177,-0.15758025938920717,0.0,,0.010741913089817446,0.3426377274890886
rich_current_b4_d1_yes,sustained_warming_1h3h,51,27,23,support_ok,0.37254901960784315,0.2582745098039215,0.35337964057890603,-0.2857379177782035,1.1500257330688177,-0.15758025938920717,0.0,,0.010741913089817446,0.3426377274890886
rich_current_b4_d1_yes,one_hour_warm_without_3h,19,17,13,support_ok,0.21052631578947367,0.14273684210526316,0.010741913089817446,-1.0,1.3286149509911505,-1.0,0.0,,0.35337964057890603,-0.3426377274890886
rich_current_b4_d1_yes,runway_sustained_warming,48,25,21,support_ok,0.3958333333333333,0.26147916666666665,0.4379658681150876,-0.22514282610849276,1.2995613411231157,-0.09880678911403556,0.0,,-0.12708652960424857,0.5650523977193361
rich_current_b4_d1_yes,solar_runway_sustained_warming,31,20,18,support_ok,0.3870967741935484,0.28632258064516114,0.33972596734975086,-0.34936467426233037,1.105288627940738,-0.28918434677004734,0.0,,0.1973064879586785,0.14241947939107236
rich_current_b4_d1_yes,late_reheat_after_dip,10,7,7,thin_do_not_select,0.6,0.22479999999999997,1.109297585022464,-0.17896171498476987,2.79222186754846,-0.5477722128636195,0.0,,0.11889136946676829,0.9904062155556957
rich_current_b4_d1_yes,humid_or_cloud_warming,13,11,8,thin_do_not_select,0.5384615384615384,0.29430769230769227,0.8740290748059321,-0.39233602367280845,2.205765118852025,-0.4910805250422241,0.0,,0.12042245694304601,0.7536066178628861
rich_current_b4_d1_yes,mature_cooling_or_fade,0,0,0,thin_do_not_select,,,,,,,,,,
rich_current_b4_d1_yes,plateau_flat_path,0,0,0,thin_do_not_select,,,,,,,,,,
rich_current_b4_current_bracket_no,all_labeled_states,70,29,26,support_ok,0.32857142857142857,0.2790571428571428,0.05614815362807732,-0.4400113774848084,0.6354269664620447,-0.3184649912005245,0.0,,,
rich_current_b4_current_bracket_no,trend3h_cooling_lt_neg0_5,10,10,9,thin_do_not_select,0.2,0.1284,0.0078061303090312785,-1.0,1.7527763902115165,-1.0,0.0,,0.06420515751458497,-0.05639902720555369
