trend_3h_bucket,day_regime,rows,dates,future_break_rate,current_hold_rate,d1_hit_rate,d2_hit_rate
cooling_lt_neg0_5,day_forecast_busted,1436,40,0.004874651810584958,0.9108635097493036,0.004874651810584958,0.0
cooling_lt_neg0_5,day_forecast_capped,737,40,0.016282225237449117,0.8738127544097694,0.023066485753052916,0.0
cooling_lt_neg0_5,day_open_runway,493,38,0.06896551724137931,0.8032454361054767,0.056795131845841784,0.05070993914807302
cooling_lt_neg0_5,day_marginal_runway,457,39,0.03938730853391685,0.8862144420131292,0.019693654266958426,0.0087527352297593
cooling_lt_neg0_5,day_space_unknown,364,8,0.01098901098901099,0.8571428571428571,0.008241758241758242,0.0027472527472527475
flat_abs_lt0_5,day_forecast_busted,630,39,0.047619047619047616,0.9365079365079365,0.03492063492063492,0.004761904761904762
flat_abs_lt0_5,day_open_runway,369,38,0.3116531165311653,0.6016260162601627,0.1842818428184282,0.05962059620596206
flat_abs_lt0_5,day_forecast_capped,367,38,0.1444141689373297,0.8228882833787466,0.12806539509536785,0.035422343324250684
flat_abs_lt0_5,day_marginal_runway,262,38,0.16412213740458015,0.8320610687022901,0.08778625954198473,0.04580152671755725
flat_abs_lt0_5,day_space_unknown,165,7,0.09696969696969697,0.8909090909090909,0.08484848484848485,0.006060606060606061
strong_warming_ge2,day_open_runway,2455,40,0.9042769857433809,0.10386965376782077,0.13767820773930753,0.1934826883910387
strong_warming_ge2,day_forecast_busted,1009,39,0.423191278493558,0.6154608523290387,0.26362735381565905,0.09415262636273539
strong_warming_ge2,day_marginal_runway,948,40,0.7985232067510548,0.23417721518987342,0.2911392405063291,0.31223628691983124
strong_warming_ge2,day_forecast_capped,844,40,0.6196682464454977,0.4206161137440758,0.35545023696682465,0.15995260663507108
strong_warming_ge2,day_space_unknown,577,8,0.7660311958405546,0.2530329289428076,0.25996533795493937,0.1681109185441941
unknown,day_open_runway,8,3,0.125,0.375,0.0,0.125
unknown,day_space_unknown,6,3,0.16666666666666666,0.6666666666666666,0.0,0.0
unknown,day_forecast_capped,5,4,0.4,0.4,0.0,0.0
unknown,day_forecast_busted,2,2,0.0,1.0,0.0,0.0
unknown,day_marginal_runway,1,1,1.0,0.0,0.0,1.0
warming_0_5_to_2,day_forecast_busted,569,38,0.16520210896309315,0.8330404217926186,0.13708260105448156,0.01757469244288225
warming_0_5_to_2,day_open_runway,439,38,0.5899772209567198,0.3621867881548975,0.27107061503416857,0.12984054669703873
warming_0_5_to_2,day_forecast_capped,391,40,0.340153452685422,0.6572890025575447,0.2608695652173913,0.061381074168797956
warming_0_5_to_2,day_marginal_runway,265,40,0.39622641509433965,0.6113207547169811,0.2641509433962264,0.09056603773584905
warming_0_5_to_2,day_space_unknown,173,7,0.35260115606936415,0.6647398843930635,0.2023121387283237,0.09826589595375723
