policy,friction,period,rows,dates,cities,win_rate_final,avg_entry,tp_hit_rate,tp_then_final_lost,tp_then_final_won,roi,delta_vs_hold,delta_ci_low,delta_ci_high,roi_ci_low,roi_ci_high,top5_removed_roi,daily_win_rate,losing_days,le_minus50pct_days,max_daily_loss_roi,path_coverage
hold_to_settlement,quoted_bidask,full,476,53,48,0.13655462184873948,0.1050997899159664,0.0,0,0,0.25905685155994507,0.0,0.0,0.0,-0.03546237693996511,0.7797560934440406,0.09670044549338078,0.49056603773584906,27,18,-1.0,0.8319327731092437
hold_to_settlement,quoted_bidask,train_le_2026_06_20,383,44,48,0.13054830287206268,0.10471148825065274,0.0,0,0,0.20437047380445122,0.0,0.0,0.0,-0.15658701369050662,0.5111902588005482,0.012137550347109453,0.4772727272727273,23,15,-1.0,0.7963446475195822
hold_to_settlement,quoted_bidask,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.1085135135135135,0.0,0,0,0.43929024585223786,0.0,0.0,0.0,-0.4091168019348916,1.5341688312194954,-0.34475793626496354,0.5,3,3,-0.5670995670995671,1.0
hold_to_settlement,quoted_bidask,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.0996315789473684,0.0,0,0,0.6594574569664968,0.0,0.0,0.0,-0.4805194805194805,8.090909090909092,-1.0000000000000002,0.6666666666666666,1,0,-0.4805194805194805,0.8947368421052632
hold_to_settlement,quoted_bidask,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.1066989247311828,0.0,0,0,0.48427064382181767,0.0,0.0,0.0,-0.16652639611513814,3.2042827153278726,-0.22632516565826918,0.5555555555555556,4,3,-0.5670995670995671,0.978494623655914
hold_to_settlement,sell_minus_1c,full,476,53,48,0.13655462184873948,0.1050997899159664,0.0,0,0,0.25905685155994507,0.0,0.0,0.0,-0.03546237693996511,0.7797560934440406,0.09670044549338078,0.49056603773584906,27,18,-1.0,0.8319327731092437
hold_to_settlement,sell_minus_1c,train_le_2026_06_20,383,44,48,0.13054830287206268,0.10471148825065274,0.0,0,0,0.20437047380445122,0.0,0.0,0.0,-0.15658701369050662,0.5111902588005482,0.012137550347109453,0.4772727272727273,23,15,-1.0,0.7963446475195822
hold_to_settlement,sell_minus_1c,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.1085135135135135,0.0,0,0,0.43929024585223786,0.0,0.0,0.0,-0.4091168019348916,1.5341688312194954,-0.34475793626496354,0.5,3,3,-0.5670995670995671,1.0
hold_to_settlement,sell_minus_1c,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.0996315789473684,0.0,0,0,0.6594574569664968,0.0,0.0,0.0,-0.4805194805194805,8.090909090909092,-1.0000000000000002,0.6666666666666666,1,0,-0.4805194805194805,0.8947368421052632
hold_to_settlement,sell_minus_1c,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.1066989247311828,0.0,0,0,0.48427064382181767,0.0,0.0,0.0,-0.16652639611513814,3.2042827153278726,-0.22632516565826918,0.5555555555555556,4,3,-0.5670995670995671,0.978494623655914
