policy,friction,period,rows,dates,cities,win_rate_final,avg_entry,tp_hit_rate,tp_then_final_lost,tp_then_final_won,roi,delta_vs_hold,delta_ci_low,delta_ci_high,roi_ci_low,roi_ci_high,top5_removed_roi,daily_win_rate,losing_days,le_minus50pct_days,max_daily_loss_roi,path_coverage,slice,slice_value
hold_to_settlement,entry_plus_1c_sell_minus_1c,full,137,48,41,0.1386861313868613,0.13365693430656933,0.0,0,0,-0.003514958735091275,0.0,0.0,0.0,-0.504710208421529,0.4845044686084207,-0.27700879838516124,0.2916666666666667,34,32,-1.0,0.8686131386861314,entry_band,entry_10_15c
full_sell_bid_ge_0p20,entry_plus_1c_sell_minus_1c,full,137,48,41,0.1386861313868613,0.13365693430656933,0.4306569343065693,42,17,0.7080126695504084,0.7115276282854996,0.31494850118868256,0.8845472464223102,0.07624573180602114,1.085960046898763,0.4653372601295577,0.5208333333333334,23,16,-1.0,0.8686131386861314,entry_band,entry_10_15c
full_sell_bid_ge_0p30,entry_plus_1c_sell_minus_1c,full,137,48,41,0.1386861313868613,0.13365693430656933,0.2773722627737226,22,16,0.488849594869117,0.4923645536042082,0.20833378809836595,0.6677079428440494,-0.10486953907851,0.9355573947085714,0.23787255383155065,0.4791666666666667,25,24,-1.0,0.8686131386861314,entry_band,entry_10_15c
recover_stake_bid_ge_0p30,entry_plus_1c_sell_minus_1c,full,137,48,41,0.1386861313868613,0.13365693430656933,0.2773722627737226,22,16,0.14992231980688425,0.15343727854197547,0.0730292123665802,0.209598444344513,-0.3617276467909809,0.6154338937987512,-0.11728388217937696,0.3125,32,30,-1.0,0.8686131386861314,entry_band,entry_10_15c
adaptive_entry_2x_floor20_cap30_full,entry_plus_1c_sell_minus_1c,full,137,48,41,0.1386861313868613,0.13365693430656933,0.35766423357664234,32,17,0.5976924867989029,0.6012074455339942,0.2303187224140755,0.756715521396346,-0.032206076150219136,0.9885604102455671,0.3508382825768586,0.4791666666666667,25,19,-1.0,0.8686131386861314,entry_band,entry_10_15c
adaptive_entry_le10c_full20_else30,entry_plus_1c_sell_minus_1c,full,137,48,41,0.1386861313868613,0.13365693430656933,0.2773722627737226,22,16,0.488849594869117,0.4923645536042082,0.20833378809836595,0.6677079428440494,-0.10486953907851,0.9355573947085714,0.23787255383155065,0.4791666666666667,25,24,-1.0,0.8686131386861314,entry_band,entry_10_15c
adaptive_model_high_full30_else20,entry_plus_1c_sell_minus_1c,full,137,48,41,0.1386861313868613,0.13365693430656933,0.30656934306569344,26,16,0.5403408616039572,0.5438558203390484,0.2391416827461518,0.6976032627928508,-0.06784787192723601,0.9666997470809172,0.29131424733664996,0.4791666666666667,25,23,-1.0,0.8686131386861314,entry_band,entry_10_15c
adaptive_model_high_recover30_else_full20,entry_plus_1c_sell_minus_1c,full,137,48,41,0.1386861313868613,0.13365693430656933,0.30656934306569344,26,16,0.2606134436122919,0.2641284023473831,0.08089305344276305,0.35304156789094177,-0.2839563838439812,0.6953726400542549,-0.0005221063711574569,0.3541666666666667,30,27,-1.0,0.8686131386861314,entry_band,entry_10_15c
adaptive_path_high_full30_else20,entry_plus_1c_sell_minus_1c,full,137,48,41,0.1386861313868613,0.13365693430656933,0.35766423357664234,33,16,0.6257145450304112,0.6292295037655025,0.30947934739555066,0.803701695121074,0.014474146511266587,1.0470036109496577,0.3799217824080454,0.5208333333333334,23,20,-1.0,0.8686131386861314,entry_band,entry_10_15c
hold_to_settlement,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,27,9,19,0.18518518518518517,0.1312222222222222,0.0,0,0,0.4879929859886691,0.0,0.0,0.0,-0.873015873015873,1.357408216890167,-0.9999999999999999,0.3333333333333333,6,6,-1.0,1.0,entry_band,entry_10_15c
