slice_type,slice,method,n,dates,cities,logloss,brier,top1,winner_prob,winner_rank,entropy
all,all,forecast_anchor,8347,48,36,2.0544515218228283,0.6813434636228914,0.49215286929435725,0.42427368608675675,1.7649454893973884,0.58503001507719
all,all,market_local_norm,8347,48,36,0.6373048592336686,0.3455703425222781,0.7387085180304301,0.6472580244401679,1.3441955193482689,0.45828322599277294
all,all,runningmax_anchor,8347,48,36,2.4307689603814406,0.7327851557251813,0.5122798610279142,0.38151074957694275,1.8847490116209416,0.5830565152993492
all,all,uniform,8347,48,36,1.3862943611198904,0.75,0.5122798610279142,0.25,1.0,1.0
day_regime,day_forecast_busted,forecast_anchor,1975,46,35,1.2216100916516701,0.3965126656002484,0.7843037974683544,0.714226277646001,1.28,0.2221080817391556
day_regime,day_forecast_busted,market_local_norm,1975,46,35,0.39109643905154656,0.22256708121052843,0.8405063291139241,0.7629923475937196,1.1898734177215189,0.32464282668380867
day_regime,day_forecast_busted,runningmax_anchor,1975,46,35,0.8891065357616341,0.48119352340787164,0.7843037974683544,0.5023599504606168,1.2845569620253166,0.5989130291734134
day_regime,day_forecast_busted,uniform,1975,46,35,1.3862943611198908,0.75,0.7843037974683544,0.25,1.0,1.0
day_regime,day_forecast_capped,forecast_anchor,1582,47,35,1.318833719327891,0.5761184318138054,0.5865992414664981,0.4613837096469098,1.5695322376738305,0.5807245440911242
day_regime,day_forecast_capped,market_local_norm,1582,47,35,0.6302472605410776,0.35021373404486544,0.7357774968394437,0.6491982843785545,1.3394437420986094,0.4449343485057591
day_regime,day_forecast_capped,runningmax_anchor,1582,47,35,1.3242857528602323,0.5886713590494107,0.5941845764854614,0.45156536308664375,1.5714285714285714,0.5865994536903075
day_regime,day_forecast_capped,uniform,1582,47,35,1.3862943611198906,0.75,0.5941845764854614,0.25,1.0,1.0
day_regime,day_marginal_runway,forecast_anchor,1444,47,35,1.57787132842235,0.7539570426956318,0.28462603878116344,0.29812624248564784,2.164819944598338,0.814542990600809
day_regime,day_marginal_runway,market_local_norm,1444,47,35,0.7412045885059104,0.4013764168167505,0.6918282548476454,0.5901690717843623,1.4030470914127424,0.52872688629762
day_regime,day_marginal_runway,runningmax_anchor,1444,47,35,2.392558087582265,0.7893126700608731,0.4314404432132964,0.3524658023869808,1.9826869806094183,0.5837099179220546
day_regime,day_marginal_runway,uniform,1444,47,35,1.3862943611198906,0.75,0.4314404432132964,0.25,1.0,1.0
day_regime,day_open_runway,forecast_anchor,2378,47,36,3.7969103607487162,0.9158654531193658,0.31791421362489486,0.30631296745358283,2.3662741799831792,0.5810242923611211
day_regime,day_open_runway,market_local_norm,2378,47,36,0.7937642901501129,0.41356920868207503,0.6795626576955425,0.5831513363556401,1.4499579478553406,0.5357238494415411
day_regime,day_open_runway,runningmax_anchor,2378,47,36,4.433919290227224,1.002280711117282,0.2943650126156434,0.25017242728264033,2.530277544154752,0.5736268461938494
day_regime,day_open_runway,uniform,2378,47,36,1.3862943611198904,0.75,0.2943650126156434,0.25,1.0,1.0
day_regime,day_space_unknown,forecast_anchor,968,14,36,1.3862943611198906,0.75,0.4793388429752066,0.25,1.0,1.0
day_regime,day_space_unknown,market_local_norm,968,14,36,0.6118245030383683,0.33864918621314277,0.7510330578512396,0.6506024174661988,1.3192148760330578,0.4574394912596018
day_regime,day_space_unknown,runningmax_anchor,968,14,36,2.520567244339502,0.7352596792216696,0.4793388429752066,0.386427964288258,1.8894628099173554,0.5671047552889346
day_regime,day_space_unknown,uniform,968,14,36,1.3862943611198906,0.75,0.4793388429752066,0.25,1.0,1.0
forecast_source,gfs_seamless,forecast_anchor,6209,33,36,2.125860411174101,0.6699464059293014,0.49621517152520533,0.4511329940540298,1.8576260267353841,0.5227681320940782
forecast_source,gfs_seamless,market_local_norm,6209,33,36,0.6326536335574553,0.3493792066318977,0.7324851022708971,0.6446373491948112,1.3509421807054276,0.4600906875915544
forecast_source,gfs_seamless,runningmax_anchor,6209,33,36,2.3937174942173383,0.7248166846304155,0.5224673860525044,0.3866340975127322,1.862940892253181,0.580216953208533
forecast_source,gfs_seamless,uniform,6209,33,36,1.3862943611198904,0.75,0.5224673860525044,0.25,1.0,1.0
forecast_source,open_meteo_live_ecmwf,forecast_anchor,845,14,20,1.765280581010348,0.702751164186202,0.4887573964497041,0.3655667857533938,1.6745562130177514,0.7224245717866234
forecast_source,open_meteo_live_ecmwf,market_local_norm,845,14,20,0.665220784606588,0.3346152544399617,0.7526627218934911,0.6587788509771432,1.336094674556213,0.44419747983734037
forecast_source,open_meteo_live_ecmwf,runningmax_anchor,845,14,20,2.173860383091668,0.7672011866154566,0.4757396449704142,0.34302652652882343,2.021301775147929,0.6380267198715218
forecast_source,open_meteo_live_ecmwf,uniform,845,14,20,1.3862943611198904,0.75,0.4757396449704142,0.25,1.0,1.0
forecast_source,open_meteo_live_gfs,forecast_anchor,819,16,34,2.198136680769941,0.705924203550552,0.4993894993894994,0.38208029758616613,1.5982905982905984,0.6751275219993612
forecast_source,open_meteo_live_gfs,market_local_norm,819,16,34,0.6448136846715604,0.33027435667625543,0.7594627594627594,0.6606657583022778,1.3223443223443223,0.44316140039954494
forecast_source,open_meteo_live_gfs,runningmax_anchor,819,16,34,2.6209510115804706,0.7249141238506763,0.518925518925519,0.38686241215869405,1.8522588522588523,0.578444646584616
