decision_hour_local,city_days,cities,p50_residual_c,p90_residual_c,p95_residual_c,residual_ge_1_0c_rate,bucket_delta_ge_1_rate
18,22545,49,0.0,0.0,0.0,0.012597028165890442,0.014105123087159015
19,22545,49,0.0,0.0,0.0,0.00860501219782657,0.009669549789310268
20,22545,49,0.0,0.0,0.0,0.006564648480816146,0.007584830339321357
21,22545,49,0.0,0.0,0.0,0.005012197826569084,0.005854956753160346
