city,icao,timezone,cache_path,cache_exists,input_rows,usable_days,output_rows
Amsterdam,EHAM,Europe/Amsterdam,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_EHAM.csv,True,17471,365,1460
Ankara,LTAC,Europe/Istanbul,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_LTAC.csv,True,17802,365,1460
Atlanta,KATL,America/New_York,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KATL.csv,True,10280,365,1460
Austin,KAUS,America/Chicago,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KAUS.csv,True,20132,735,2940
Beijing,ZBAA,Asia/Shanghai,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_ZBAA.csv,True,35777,736,2944
BuenosAires,SAEZ,America/Argentina/Buenos_Aires,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_SAEZ.csv,True,9497,365,1460
Busan,RKPK,Asia/Seoul,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_RKPK.csv,True,9759,366,1464
CapeTown,FACT,Africa/Johannesburg,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_FACT.csv,True,9968,365,1460
Chengdu,ZUUU,Asia/Shanghai,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_ZUUU.csv,True,8758,366,1464
Chicago,KMDW,America/Chicago,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KMDW.csv,True,20297,735,2940
Chongqing,ZUCK,Asia/Shanghai,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_ZUCK.csv,True,8759,366,1464
Dallas,KDAL,America/Chicago,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KDAL.csv,True,9908,365,1460
Denver,KBKF,America/Denver,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KBKF.csv,True,9109,360,1440
Guangzhou,ZGGG,Asia/Shanghai,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_ZGGG.csv,True,18104,366,1464
Helsinki,EFHK,Europe/Helsinki,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_EFHK.csv,True,17507,365,1460
HongKong,VHHH,Asia/Hong_Kong,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_VHHH.csv,True,18848,366,1464
Houston,KHOU,America/Chicago,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KHOU.csv,True,10071,365,1460
Istanbul,LTFM,Europe/Istanbul,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_LTFM.csv,True,17505,365,1460
Jakarta,WIII,Asia/Jakarta,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_WIII.csv,True,17672,366,1464
Jeddah,OEJN,Asia/Riyadh,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_OEJN.csv,True,8831,365,1460
Karachi,OPKC,Asia/Karachi,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_OPKC.csv,True,17438,366,1464
KualaLumpur,WMSA,Asia/Kuala_Lumpur,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_WMSA.csv,True,9345,366,1464
LA,KLAX,America/Los_Angeles,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KLAX.csv,True,21274,736,2944
Lagos,DNMM,Africa/Lagos,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_DNMM.csv,True,7027,331,1324
London,EGLL,Europe/London,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_EGLL.csv,True,35266,735,2940
Lucknow,VILK,Asia/Kolkata,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_VILK.csv,True,16819,366,1464
Madrid,LEMD,Europe/Madrid,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_LEMD.csv,True,35780,735,2940
Manila,RPLL,Asia/Manila,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_RPLL.csv,True,8910,366,1464
MexicoCity,MMMX,America/Mexico_City,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_MMMX.csv,True,11557,365,1460
Miami,KMIA,America/New_York,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KMIA.csv,True,19899,735,2940
Milan,LIML,Europe/Rome,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_LIML.csv,True,17396,365,1460
Moscow,UUWW,Europe/Moscow,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_UUWW.csv,True,22052,366,1464
Munich,EDDM,Europe/Berlin,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_EDDM.csv,True,17510,365,1460
