target_date,knmi_obs_ts_utc,knmi_ta_c,knmi_tx_c,knmi_ta_round_c,knmi_tx_round_c,next_metar_report_ts_utc,next_metar_detect_ts_utc,next_metar_temp_c,lead_to_next_metar_min,ta_minus_next_metar_c,tx_minus_next_metar_c,ta_exact_next_metar,tx_exact_next_metar,ta_within1_next_metar,tx_within1_next_metar,raw_metar
2026-07-22,2026-07-22T01:20:00+00:00,15.6,15.8,16,16,2026-07-22T01:25:00+00:00,2026-07-22T01:28:55.401013+00:00,16.0,5.0,0,0,1,1,1,1,METAR EHAM 220125Z 33005KT 9999 -RADZ FEW011 SCT017 BKN032 16/14 Q1024 NOSIG
2026-07-22,2026-07-22T01:30:00+00:00,15.5,15.6,16,16,2026-07-22T01:55:00+00:00,2026-07-22T01:57:39.920939+00:00,15.0,25.0,1,1,0,0,1,1,METAR EHAM 220155Z 33008KT 280V360 9999 -RADZ FEW007 BKN026 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T01:40:00+00:00,15.6,15.6,16,16,2026-07-22T01:55:00+00:00,2026-07-22T01:57:39.920939+00:00,15.0,15.0,1,1,0,0,1,1,METAR EHAM 220155Z 33008KT 280V360 9999 -RADZ FEW007 BKN026 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T01:50:00+00:00,15.2,15.5,15,16,2026-07-22T01:55:00+00:00,2026-07-22T01:57:39.920939+00:00,15.0,5.0,0,1,1,0,1,1,METAR EHAM 220155Z 33008KT 280V360 9999 -RADZ FEW007 BKN026 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T02:00:00+00:00,14.8,15.2,15,15,2026-07-22T02:25:00+00:00,2026-07-22T02:29:11.116555+00:00,15.0,25.0,0,0,1,1,1,1,METAR EHAM 220225Z 29005KT 3900 -RADZ FEW007 SCT015 BKN029 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T02:10:00+00:00,14.9,14.9,15,15,2026-07-22T02:25:00+00:00,2026-07-22T02:29:11.116555+00:00,15.0,15.0,0,0,1,1,1,1,METAR EHAM 220225Z 29005KT 3900 -RADZ FEW007 SCT015 BKN029 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T02:20:00+00:00,14.9,15.0,15,15,2026-07-22T02:25:00+00:00,2026-07-22T02:29:11.116555+00:00,15.0,5.0,0,0,1,1,1,1,METAR EHAM 220225Z 29005KT 3900 -RADZ FEW007 SCT015 BKN029 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T02:30:00+00:00,14.9,14.9,15,15,2026-07-22T02:55:00+00:00,2026-07-22T02:59:03.124767+00:00,15.0,25.0,0,0,1,1,1,1,METAR EHAM 220255Z 31004KT 9999 -RADZ FEW007 SCT016 BKN033 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T02:40:00+00:00,14.9,14.9,15,15,2026-07-22T02:55:00+00:00,2026-07-22T02:59:03.124767+00:00,15.0,15.0,0,0,1,1,1,1,METAR EHAM 220255Z 31004KT 9999 -RADZ FEW007 SCT016 BKN033 15/14 Q1024 NOSIG
2026-07-22,2026-07-22T02:50:00+00:00,15.1,15.1,15,15,2026-07-22T02:55:00+00:00,2026-07-22T02:59:03.124767+00:00,15.0,5.0,0,0,1,1,1,1,METAR EHAM 220255Z 31004KT 9999 -RADZ FEW007 SCT016 BKN033 15/14 Q1024 NOSIG
